source_id,archive,path,size_bytes,crc32,sha256,extension,processed,notes
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-P-G7036-P701111.exb,912679,135059d9,0d8de1911a9056d993bae3a0bab03a6ff398133bf76958612114f15b7bf19a87,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5043-P600044.exb,386766,99649da5,9a34e943e169999ef7c0bb909e7c733457c495cd96ffd741b8b4f69ea51a7882,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5097-P600096.exb,1029374,c3e1ff54,44073765062f4af5b4af762a4e7d3079d4de3590074cd3059dab5e781efc1643,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5053-P600052.exb,792642,1d5567e1,00303e4f7e6b8c921422a41d756ca00083cfbb5bd4ecdcab24c9289a58f5cc14,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500048.exb,1179160,c18a2848,7a38778e32a0561fea109c0ef6566a83e5b3222cbafb92082af6a5c1a20d2e66,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500026.exb,1156872,fd563172,32f44d9bbf97292bbcd7ddccc9da7439daef5f9a53d7195dbb421941726a4e28,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500016.exb,1102930,e83bf1fb,5ad759e995f7e4f8e2b3001d19d19aa9891f6bbd230f7616398035b251412dc9,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6012-P601201.exb,1021687,3e33bc0a,203a5a4a4d76c392353a391a3eaa60a037cb429445bf868eb55714d73bf01c86,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G5054-P600052.exb,731195,3a63b6de,affd2a0b01a20a2bf979ff358dec0db66c0aa734c6f57defdf00f4d37855c640,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500054.exb,1113634,ed34056d,2f4a6e5c5ab073f25f2520738d8d223732b5bd932c23dbfda800ace63b27f194,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-N-G6031-P603102.exb,983931,7173e6ce,aaeb0f949fb4f675054e7d45d0797261eccdf85865276dac5affe3c7b3209a68,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P580041.exb,1054649,90a89815,a48e1b3322ea138cacb1e90a10e6f337d2ed3e5e1d658bb58c5990ed83ff938b,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P500034.exb,1054368,87922975,e23dcc12055ec138a883938648f83322b83c0da58da498a14b0be8e43d00994c,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/EXB/Rog-Art-J-Gvecg-P580003.exb,1106625,4666d51d,418349d847f236a3f7c25e731e7b8503b6572cd57e3083ef5afd9521b3e84511,.exb,YES,parsed all EXMARaLDA tiers/events source-faithfully
