TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,PRS-ID,SEX,AGE,1LANG,DIALECT,EDUCATION,PERM-RESD,CHILD-RESD,SENTENCES,WORDS
Rog-Go1-Gos238,Gos238,NZosljdodr-np0908221050.wav,Gos,Af-star-00525,ženski,30 do 59 let,slovenščina,-,višja ali visoka šola,osrednjeslovenska,-,2,21
Rog-Go1-Gos238,Gos238,NZosljdodr-np0908221050.wav,Gos,Bm-star-00526,moški,nad 60 let,slovenščina,-,OŠ ali manj,"osrednjeslovenska, goriška",-,9,62
Rog-Go1-Gos239,Gos239,NZosljdopr-at0909152030.wav,Gos,Pm-prij-06568,moški,30 do 59 let,slovenščina,-,fakulteta ali več,"gorenjska, osrednjeslovenska",-,7,127
Rog-Go1-Gos239,Gos239,NZosljdopr-at0909152030.wav,Gos,Om-prij-06569,moški,nad 60 let,slovenščina,-,fakulteta ali več,osrednjeslovenska,-,5,120
Rog-Go1-Gos240,Gos240,NZosljdopr-bo0908141215.wav,Gos,Mm-prij-09501,moški,30 do 59 let,slovenščina,-,srednja šola,osrednjeslovenska,-,4,29
Rog-Go1-Gos240,Gos240,NZosljdopr-bo0908141215.wav,Gos,Pm-prij-09502,moški,30 do 59 let,slovenščina,-,srednja šola,osrednjeslovenska,-,9,131
Rog-Go1-Gos240,Gos240,NZosljdopr-bo0908141215.wav,Gos,Om-prij-09503,moški,30 do 59 let,slovenščina,-,srednja šola,osrednjeslovenska,-,8,59
Rog-Go1-Gos241,Gos241,NZosljdopr-bo0910181640.wav,Gos,Df-prij-09522,ženski,30 do 59 let,slovenščina,-,višja ali visoka šola,"osrednjeslovenska, gorenjska",-,2,4
Rog-Go1-Gos241,Gos241,NZosljdopr-bo0910181640.wav,Gos,Vm-prij-09524,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,3,14
Rog-Go1-Gos241,Gos241,NZosljdopr-bo0910181640.wav,Gos,Bm-prij-09523,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,10,153
Rog-Go1-Gos242,Gos242,NZosljdopr-bo0910212030.wav,Gos,Mm-prij-09509,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,5,81
Rog-Go1-Gos242,Gos242,NZosljdopr-bo0910212030.wav,Gos,Pm-prij-09508,moški,18 do 34 let,slovenščina,-,srednja šola,"osrednjeslovenska, jugovzhodna Slovenija",-,8,95
Rog-Go1-Gos242,Gos242,NZosljdopr-bo0910212030.wav,Gos,Bf-prij-09525,ženski,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,1,14
Rog-Go1-Gos243,Gos243,NZosljzupr-bo0910192226.wav,Gos,Am-prij-09505,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,6,44
Rog-Go1-Gos243,Gos243,NZosljzupr-bo0910192226.wav,Gos,Pm-prij-09506,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,6,78
Rog-Go1-Gos243,Gos243,NZosljzupr-bo0910192226.wav,Gos,Mm-prij-09507,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,8,46
Rog-Go1-Gos244,Gos244,NZosljzupr-bo0910221200.wav,Gos,Sm-prij-09517,moški,18 do 34 let,slovenščina,-,srednja šola,"posavska, osrednjeslovenska",-,14,152
Rog-Go1-Gos244,Gos244,NZosljzupr-bo0910221200.wav,Gos,Mm-prij-09518,moški,18 do 34 let,slovenščina,-,srednja šola,"posavska, osrednjeslovenska",-,10,65
Rog-Go1-Gos245,Gos245,NZosljzupr-lr0906031349.wav,Gos,Am-prij-02557,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,13,113
