recording_id,TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,TITLE,DATE,SOURCE,URL,TEXT-REGION,DOMAIN,TYPE,CHANNEL,SENTENCES,WORDS,SPK-IDsUTTS
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6031-P603102-avd.wav,Rog-Art-N-G6031-P603102,Artur-N-G6031-P603102,Artur-N-G6031-P603102-avd.wav,Artur-N,"Opis najljubšega filma, najljubšega mesta, poti do mesta, najljubšega poklica, najljubše jedi, najljubše knjige, naravne katastrofe, uporabnega orodja, najljubšega letnega časa in najljubšega hobija",2021-01,lastni posnetek,-,Ljubljana,razlaganje in opisovanje,zasebni,osebni stik,26,922,Artur-N-G6031
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6043-P604301-avd.wav,Rog-Art-N-G6043-P604301,Artur-N-G6043-P604301,Artur-N-G6043-P604301-avd.wav,Artur-N,"Pogovoro o sanjah, prenehanju kajenja in novicah",2021-07,lastni posnetek,-,Ljubljana,prosti monološki govor,zasebni,osebni stik,40,922,Artur-N-G6043
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6047-P604702-avd.wav,Rog-Art-N-G6047-P604702,Artur-N-G6047-P604702,Artur-N-G6047-P604702-avd.wav,Artur-N,"Opis najljubšega filma, najljubšega izletniškega kraja, poti do njega, najljubšega poklica in prostega časa",2021-02,lastni posnetek,-,Naklo,razlaganje in opisovanje,zasebni,osebni stik,41,844,Artur-N-G6047
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6060-P606001-avd.wav,Rog-Art-N-G6060-P606001,Artur-N-G6060-P606001,Artur-N-G6060-P606001-avd.wav,Artur-N,"Opis plesa lindy hop, začetki plesanja, zgodovina plesa, opis poteka festivalov, opis obutve in oblačil",2021-05,lastni posnetek,-,Idrija,prosti monološki govor,zasebni,osebni stik,31,915,Artur-N-G6060
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6083-P608301-avd.wav,Rog-Art-N-G6083-P608301,Artur-N-G6083-P608301,Artur-N-G6083-P608301-avd.wav,Artur-N,"Opis veganstva, veganske prehrane, oblačil veganskega izvora, pozitivni učinki veganstva, opis veganskih certifikatov ",2021-05,lastni posnetek,-,Idrija,prosti monološki govor,zasebni,osebni stik,39,861,Artur-N-G6083
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6100-P610002-avd.wav,Rog-Art-N-G6100-P610002,Artur-N-G6100-P610002,Artur-N-G6100-P610002-avd.wav,Artur-N,"Opis najljubšega filma, najljubšega izletniškega kraja in najljubšega poklica",2021-07,lastni posnetek,-,Vrhnika,razlaganje in opisovanje,zasebni,osebni stik,23,965,Artur-N-G6100
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6103-P610302-avd.wav,Rog-Art-N-G6103-P610302,Artur-N-G6103-P610302,Artur-N-G6103-P610302-avd.wav,Artur-N,"Opis najljubšega filma, najljubšega izletniškega kraja, poti do njega, najljubšega poklica in najljubše jedi",2021-05,lastni posnetek,-,Nova Gorica,razlaganje in opisovanje,zasebni,osebni stik,25,931,Artur-N-G6103
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6112-P611202-avd.wav,Rog-Art-N-G6112-P611202,Artur-N-G6112-P611202,Artur-N-G6112-P611202-avd.wav,Artur-N,"Opis najljubšega filma, najljubšega izletniškega kraja, najljubšega poklica, najljubše jedi in najljubše knjige",2021-08,lastni posnetek,-,Ljubljana,razlaganje in opisovanje,zasebni,osebni stik,35,871,Artur-N-G6112
rog_slovenian_1_0_1_1_manual_prosody::Artur-N-G6116-P611601-avd.wav,Rog-Art-N-G6116-P611601,Artur-N-G6116-P611601,Artur-N-G6116-P611601-avd.wav,Artur-N,"Govor o kmetijski dejavnosti, vrtninah, vplivu vremena na njih in primerjavi količine pridelkov letos s pridelki v prejšnjih letih",2021-06,lastni posnetek,-,Ljubljana,prosti monološki govor,zasebni,osebni stik,48,930,Artur-N-G6116
rog_slovenian_1_0_1_1_manual_prosody::Artur-P-G7001-P700192-avd.wav,Rog-Art-P-G7001-P700192,Artur-P-G7001-P700192,Artur-P-G7001-P700192-avd.wav,Artur-P,Govor o poročilu varuhinje in kršitvah volilne pravice,-,Državni zbor RS,-,Ljubljana,seja državnega zbora,informativno-izobraževalni,osebni stik,39,854,Artur-P-G7001
rog_slovenian_1_0_1_1_manual_prosody::Artur-P-G7002-P700444-avd.wav,Rog-Art-P-G7002-P700444,Artur-P-G7002-P700444,Artur-P-G7002-P700444-avd.wav,Artur-P,"Govor o Romih in romski problematiki (izobrazbena struktura, brezposelnost, nelegalna aktivnost, zadloženost, varnostne razmere)",-,Državni zbor RS,-,Ljubljana,seja državnega zbora,informativno-izobraževalni,osebni stik,34,819,Artur-P-G7002
rog_slovenian_1_0_1_1_manual_prosody::Artur-P-G7036-P701111-avd.wav,Rog-Art-P-G7036-P701111,Artur-P-G7036-P701111,Artur-P-G7036-P701111-avd.wav,Artur-P,"Govor o šolstvu, dostopnosti šolstva, primerjavi med javnim in zasebnim šolstvom in financiranju šol ",-,Državni zbor RS,-,Ljubljana,seja državnega zbora,informativno-izobraževalni,osebni stik,43,858,Artur-P-G7036
rog_slovenian_1_0_1_1_manual_prosody::Artur-P-G7065-P701064-avd.wav,Rog-Art-P-G7065-P701064,Artur-P-G7065-P701064,Artur-P-G7065-P701064-avd.wav,Artur-P,Govor o predmetni parlamentarni preiskavi stranke SDS,-,Državni zbor RS,-,Ljubljana,seja državnega zbora,informativno-izobraževalni,osebni stik,31,825,Artur-P-G7065
rog_slovenian_1_0_1_1_manual_prosody::Artur-P-G7155-P700259-avd.wav,Rog-Art-P-G7155-P700259,Artur-P-G7155-P700259,Artur-P-G7155-P700259-avd.wav,Artur-P,"Govor o obrtnikih in podjetnikih, njihovih prihodkih in bolniškem staležu",-,Državni zbor RS,-,Ljubljana,seja državnega zbora,informativno-izobraževalni,osebni stik,3,816,Artur-P-G7155
rog_slovenian_1_0_1_1_manual_prosody::Artur-P-G7165-P700926-avd.wav,Rog-Art-P-G7165-P700926,Artur-P-G7165-P700926,Artur-P-G7165-P700926-avd.wav,Artur-P,Govor o predlogu zakona za razbremenitev davčnega dohodninskega zavezanca,-,Državni zbor RS,-,Ljubljana,seja državnega zbora,informativno-izobraževalni,osebni stik,34,893,Artur-P-G7165
