recording_id,TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,TITLE,DATE,SOURCE,URL,TEXT-REGION,DOMAIN,TYPE,CHANNEL,SENTENCES,WORDS,SPK-IDsUTTS
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakjp-rd0906111356.wav,Rog-Go1-Gos025,Gos025,JIrajzakjp-rd0906111356.wav,Gos,Poročilo in debata o bolniških odsotnostih in zavodu za zdravstveno zavarovanje.,2009-07,-,-,Ljubljana,"Aktual, Aktualno",informativno-izobraževalni,radio,5,62,Fm-mode-05517 Mf-posl-05556
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakjp-rd0906111358.wav,Rog-Go1-Gos026,Gos026,JIrajzakjp-rd0906111358.wav,Gos,Pogovor o upravičenosti povišanja naročnine za javni RTV.,2009-07,-,-,Ljubljana,"Aktual, Aktualno",informativno-izobraževalni,radio,5,45,Am-nast-05525 Bf-novi-05533 Hm-anke-05569
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakjp-rd0906111359.wav,Rog-Go1-Gos027,Gos027,JIrajzakjp-rd0906111359.wav,Gos,Debata o upravičenosti referenduma o vstopu Hrvaške v zvezo Nato.,2009-09,-,-,Ljubljana,"Aktual, Aktualno",informativno-izobraževalni,radio,8,70,Fm-mode-05592 Lm-posl-05607
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakjp-rd0906111401.wav,Rog-Go1-Gos028,Gos028,JIrajzakjp-rd0906111401.wav,Gos,Radijska oddaja o reševanju mejne problematike s Hrvaško.,2009-07,-,-,Ljubljana,"Aktual, Aktualno",informativno-izobraževalni,radio,5,68,Jm-anke-05585 Kf-anke-05586 Lm-anke-05587
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakjp-rd0906111402.wav,Rog-Go1-Gos029,Gos029,JIrajzakjp-rd0906111402.wav,Gos,Razprava o uvedbi vinjet za slovenske avtoceste.,2009-07,-,-,Ljubljana,"Aktual, Aktualno",informativno-izobraževalni,radio,8,78,Mm-posl-06513 Rm-novi-05592 Um-posl-06514
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakns-rd0906111405.wav,Rog-Go1-Gos030,Gos030,JIrajzakns-rd0906111405.wav,Gos,Pogovor o muslimanski veri v Sloveniji.,2009-09,-,-,Ljubljana,"Aktual, Na sredi",informativno-izobraževalni,radio,6,88,Am-mode-05592 Bm-nast-05525 Cf-mode-05533
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakns-rd0906111406.wav,Rog-Go1-Gos031,Gos031,JIrajzakns-rd0906111406.wav,Gos,Pogovor o presejalnih programih za odkrivanje raka v Sloveniji.,2009-09,-,-,Ljubljana,"Aktual, Na sredi",informativno-izobraževalni,radio,4,88,Bf-mode-05533 Cf-gost-05601
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakns-rd0906111408.wav,Rog-Go1-Gos032,Gos032,JIrajzakns-rd0906111408.wav,Gos,Pogovor z gostjo o slovenskih zaporih.,2009-08,-,-,Ljubljana,"Aktual, Na sredi",informativno-izobraževalni,radio,4,113,Bf-gost-05600
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakns-rd0906111410.wav,Rog-Go1-Gos033,Gos033,JIrajzakns-rd0906111410.wav,Gos,Pogovor o brezdomskem načinu življenja.,2009-07,-,-,Ljubljana,"Aktual, Na sredi",informativno-izobraževalni,radio,7,133,Ef-anke-05595 Fm-anke-05596 Gf-anke-05597
rog_slovenian_1_0_1_1_manual_prosody::JIrajzkkna-rd0906111422.wav,Rog-Go1-Gos034,Gos034,JIrajzkkna-rd0906111422.wav,Gos,Pogovor o predstavitvi dela teatra v letu 2009.,2009-06,-,-,Novo mesto,"Krka, intervju",informativno-izobraževalni,radio,3,48,Af-mode-05513 Bm-gost-05514
rog_slovenian_1_0_1_1_manual_prosody::JIrajzkkna-rd0906111425.wav,Rog-Go1-Gos035,Gos035,JIrajzkkna-rd0906111425.wav,Gos,Pogovor z organizatorjem glasbenega festivala.,2009-07,-,-,Novo mesto,"Krka, intervju",informativno-izobraževalni,radio,4,72,Af-mode-04527 Bm-inte-04528
rog_slovenian_1_0_1_1_manual_prosody::JIrajzkrsp-rd0906111417.wav,Rog-Go1-Gos036,Gos036,JIrajzkrsp-rd0906111417.wav,Gos,Pogovor z znanim slovenskim igralcem.,2009-09,-,-,Kranj,"Kranj, intervju",informativno-izobraževalni,radio,5,78,Am-novi-00522 Bm-gost-00521
rog_slovenian_1_0_1_1_manual_prosody::JIrajzkrsp-rd0906111419.wav,Rog-Go1-Gos037,Gos037,JIrajzkrsp-rd0906111419.wav,Gos,Pogovor z znano slovensko pesnico in pisateljico.,2009-09,-,-,Kranj,"Kranj, intervju",informativno-izobraževalni,radio,6,87,Bf-novi-00524
rog_slovenian_1_0_1_1_manual_prosody::JIraslogak-rd0906101516.wav,Rog-Go1-Gos038,Gos038,JIraslogak-rd0906101516.wav,Gos,Pogovor o reševanju mejnega spora s Hrvaško.,2009-07,-,-,Ljubljana,"Ognjišče, Pogovor o",informativno-izobraževalni,radio,10,242,Am-novi-02052 Cm-gost-02054
rog_slovenian_1_0_1_1_manual_prosody::JIraslogng-rd0906101509.wav,Rog-Go1-Gos039,Gos039,JIraslogng-rd0906101509.wav,Gos,"Pogovor z gostom, jezikoslovcem etimologom.",2009-07,-,-,Ljubljana,"Ognjišče, Naš gost",informativno-izobraževalni,radio,11,184,Af-novi-02046 Bm-gost-02047
rog_slovenian_1_0_1_1_manual_prosody::JIraslslin-rd0906101506.wav,Rog-Go1-Gos040,Gos040,JIraslslin-rd0906101506.wav,Gos,"Pogovor z znano slovensko ustvarjalko, pesnico in pisateljico.",2009-07,-,-,Ljubljana,"Slovenija1, Intervju",informativno-izobraževalni,radio,7,133,Af-novi-02064 Bf-gost-02065
rog_slovenian_1_0_1_1_manual_prosody::JIraslslin-rd1009161011.wav,Rog-Go1-Gos041,Gos041,JIraslslin-rd1009161011.wav,Gos,Pogovor s slovenskim odvetnikom.,2010-09,-,-,Ljubljana,"Slovenija1, Intervju",informativno-izobraževalni,radio,8,143,Bf-novi-07195 Cm-gost-07196
rog_slovenian_1_0_1_1_manual_prosody::JIraslvaak-rd0906101455.wav,Rog-Go1-Gos042,Gos042,JIraslvaak-rd0906101455.wav,Gos,Pogovor o prenehanju financiranja družbeno koristnega dela kot nadomestila za zaporno kazen.,2009-07,-,-,Ljubljana,"Val202, Aktualna",informativno-izobraževalni,radio,5,127,Am-novi-02093 Cf-gost-02095
rog_slovenian_1_0_1_1_manual_prosody::JIraslvavm-rd0906101457.wav,Rog-Go1-Gos043,Gos043,JIraslvavm-rd0906101457.wav,Gos,Pogovor o posledicah in ukrepih ob finančni krizi.,2009-07,-,-,Ljubljana,"Val202, Vroči mikrofon",informativno-izobraževalni,radio,8,165,Af-novi-02087 Bm-gost-02088
rog_slovenian_1_0_1_1_manual_prosody::JIrasvkoso-rd0908250950.wav,Rog-Go1-Gos044,Gos044,JIrasvkoso-rd0908250950.wav,Gos,Intervju z voditeljico centra za otroke in mladostnike.,2009-10,-,-,Slovenj Gradec,"Koroški, intervju",informativno-izobraževalni,radio,1,59,Bf-gost-07002
rog_slovenian_1_0_1_1_manual_prosody::JIrasvmbrt-rd0908250915.wav,Rog-Go1-Gos045,Gos045,JIrasvmbrt-rd0908250915.wav,Gos,Pogovor o stanju mariborskih cest.,2009-11,-,-,Maribor,"Maribor1, Tribuna",informativno-izobraževalni,radio,10,217,Af-mode-02141 Cm-gost-02143
rog_slovenian_1_0_1_1_manual_prosody::JIrasvstin-rd0908311457.wav,Rog-Go1-Gos046,Gos046,JIrasvstin-rd0908311457.wav,Gos,Intervju z znanim francistom.,2009-11,-,-,Šmarje pri Jelšah,"Štajerski, intervju",informativno-izobraževalni,radio,8,161,Af-mode-07011 Bm-gost-07012
rog_slovenian_1_0_1_1_manual_prosody::JIrasvstin-rd0908311500.wav,Rog-Go1-Gos047,Gos047,JIrasvstin-rd0908311500.wav,Gos,Intervju z nagrajenko zlatega grba Občine Kozje.,2009-10,-,-,Šmarje pri Jelšah,"Štajerski, intervju",informativno-izobraževalni,radio,7,155,Af-novi-04534 Bf-inte-04535
rog_slovenian_1_0_1_1_manual_prosody::JIrasvstin-rd0908311503.wav,Rog-Go1-Gos048,Gos048,JIrasvstin-rd0908311503.wav,Gos,Intervju s kostumografinjo in zbirateljico spodnjega perila.,2009-12,-,-,Šmarje pri Jelšah,"Štajerski, intervju",informativno-izobraževalni,radio,11,98,Bf-novi-04534 Cf-gost-07017
rog_slovenian_1_0_1_1_manual_prosody::JIrasvstin-rd0908311504.wav,Rog-Go1-Gos049,Gos049,JIrasvstin-rd0908311504.wav,Gos,Intervju z eno najvidnejših osebnosti na področju kulturnega dogajanja v Slovenski Bistrici.,2009-11,-,-,Šmarje pri Jelšah,"Štajerski, intervju",informativno-izobraževalni,radio,2,128,Cm-gost-07010
rog_slovenian_1_0_1_1_manual_prosody::JIrasvstin-rd0908311506.wav,Rog-Go1-Gos050,Gos050,JIrasvstin-rd0908311506.wav,Gos,Intervju s podjetnikom iz Štajerske.,2009-11,-,-,Šmarje pri Jelšah,"Štajerski, intervju",informativno-izobraževalni,radio,10,180,Cm-gost-07015
rog_slovenian_1_0_1_1_manual_prosody::JIssjzgidr-ak1003221205.wav,Rog-Go1-Gos051,Gos051,JIssjzgidr-ak1003221205.wav,Gos,"Učna ura slovenščine v gimnaziji. Obravnavali so književnost, poezijo. Med uro so obnavljali, kar so se naučili v preteklih urah.",2010-03,lastni posnetek,-,Kranj,"gimnazija, družboslovje",informativno-izobraževalni,osebni stik,15,182,Af-prof-07124 Gf-ucen-07130 Hf-ucen-07131 Jf-ucen-07133 Kf-ucen-07134 Pn-vsiucenci-10000
rog_slovenian_1_0_1_1_manual_prosody::JIssjzgidr-bo0912020845.wav,Rog-Go1-Gos052,Gos052,JIssjzgidr-bo0912020845.wav,Gos,Drugi letnik gimnazije,2009-12,lastni posnetek,-,Ivančna Gorica,"gimnazija, družboslovje",informativno-izobraževalni,osebni stik,10,102,Am-prof-07057 Gm-ucen-07063
rog_slovenian_1_0_1_1_manual_prosody::JIssjzgina-bo0912020755.wav,Rog-Go1-Gos053,Gos053,JIssjzgina-bo0912020755.wav,Gos,"Prvi letnik gimnazije, kemija. Najprej so ponovili snov prejšnje učne ure - zgradbo atoma, nato so se pogovarjali o eksperimentu s pospeševalnikom delcev v Cernu in začeli obravnavati elektrone v elektronskem ovoju.",2009-12,lastni posnetek,-,Ivančna Gorica,"gimnazija, naravoslovje",informativno-izobraževalni,osebni stik,21,112,Af-prof-07037 Dm-ucen-07041 Ff-ucen-07043 Jm-ucen-07047 Nm-ucen-07038 Pm-ucen-07052
rog_slovenian_1_0_1_1_manual_prosody::JIssjzpsdr-bo0911270730.wav,Rog-Go1-Gos054,Gos054,JIssjzpsdr-bo0911270730.wav,Gos,"Prvi letnik poklicne srednje šole, geografija. Tema so Alpe s predalpskim svetom, govorili so o gospodarstvu, poselitvi, pomembnosti regije in razdelitvi regij.",2009-12,lastni posnetek,-,Ljubljana,"poklicna strokovna, družboslovje",informativno-izobraževalni,osebni stik,12,92,Am-prof-07076 Dm-ucen-07079 Gf-ucen-07082 Pn-vsiucenci-10000
rog_slovenian_1_0_1_1_manual_prosody::JIssjzpsdr-bo0911300910.wav,Rog-Go1-Gos055,Gos055,JIssjzpsdr-bo0911300910.wav,Gos,"Prvi letnik poklicne srednje šole, slovenščina. Najprej so ponovili snov - razlika med uradnimi in neuradnimi besedili. Nato so začeli novo temo - besedila glede na namen. Iz učbenika so prebrali nekaj besedil in jih poskušali razvrstiti po namenu (vabilo, predstavitev, izražanje čustvenega odnosa itd.).",2009-12,lastni posnetek,-,Ljubljana,"poklicna strokovna, družboslovje",informativno-izobraževalni,osebni stik,13,121,Af-prof-07085 Bm-ucen-07086 Cm-ucen-07087 Kf-ucen-07095
rog_slovenian_1_0_1_1_manual_prosody::JIssjzpsdr-bo0912021235.wav,Rog-Go1-Gos056,Gos056,JIssjzpsdr-bo0912021235.wav,Gos,"Šolska ura psihologije v četrtem letniku poklicne šole, profesor sprašuje o mišljenju, ustvarjalnosti itd.",2009-12,lastni posnetek,-,Ivančna Gorica,"poklicna strokovna, družboslovje",informativno-izobraževalni,osebni stik,20,143,Af-ucen-02331 Bm-prof-02332 Cm-ucen-02333 Ef-ucen-02335 If-ucen-02339
rog_slovenian_1_0_1_1_manual_prosody::JIssjzpsdr-bo1003011145.wav,Rog-Go1-Gos057,Gos057,JIssjzpsdr-bo1003011145.wav,Gos,"Učna ura v 4. letniku srednje ekonomske šole, psihologija. Učitelj sprašuje učence, teme so: čustva, konflikti itd. Ostali učenci med uro večino časa precej na glas klepetajo.",2010-03,lastni posnetek,-,Ljubljana,"poklicna strokovna, družboslovje",informativno-izobraževalni,osebni stik,14,110,Am-prof-07143 Cm-ucen-07141 Em-ucen-07144
rog_slovenian_1_0_1_1_manual_prosody::JIssjzpsna-bo1003011235.wav,Rog-Go1-Gos058,Gos058,JIssjzpsna-bo1003011235.wav,Gos,"Šolska ura matematike v tretjem letniku poklicne srednje šole, priprave na test.",2010-03,lastni posnetek,-,Ljubljana,"poklicna strokovna, naravoslovje",informativno-izobraževalni,osebni stik,19,147,Am-prof-02300 Lm-ucen-02311
rog_slovenian_1_0_1_1_manual_prosody::JIsssvgidr-ms1001211824.wav,Rog-Go1-Gos059,Gos059,JIsssvgidr-ms1001211824.wav,Gos,Učna ura slovenščine v 3. letniku gimnazije. Tema je povedek.,2010-01,lastni posnetek,-,Slovenske Konjice,"gimnazija, družboslovje",informativno-izobraževalni,osebni stik,17,123,Af-prof-02185 Mf-ucen-02197 Pn-vsiucenci-10000 Rm-ucen-02201
rog_slovenian_1_0_1_1_manual_prosody::JIsssvgina-ms1001211851.wav,Rog-Go1-Gos060,Gos060,JIsssvgina-ms1001211851.wav,Gos,Učna ura matematike v 4. letniku gimnazije. Reševanje vaj in utrjevanje snovi.,2010-01,lastni posnetek,-,Slovenske Konjice,"gimnazija, naravoslovje",informativno-izobraževalni,osebni stik,19,132,Af-prof-02204 Bf-ucen-02205 Cf-ucen-02206 Df-ucen-02207
rog_slovenian_1_0_1_1_manual_prosody::JIsssvpsdr-is0912131924.wav,Rog-Go1-Gos061,Gos061,JIsssvpsdr-is0912131924.wav,Gos,"Učna ura v poklicni strokovni šoli, prvi letnik, slovenščina. Obravnavajo književnost srednjega veka.",2010-07,lastni posnetek,-,Maribor,"poklicna strokovna, družboslovje",informativno-izobraževalni,osebni stik,19,175,Af-prof-05568 Bm-ucen-05569 Gm-ucen-05574 Hm-ucen-05575 Pn-vsiucenci-10000
rog_slovenian_1_0_1_1_manual_prosody::JIsssvpsnr-pv0911260930.wav,Rog-Go1-Gos062,Gos062,JIsssvpsnr-pv0911260930.wav,Gos,"Ura kemije v prvem letniku srednje šole programa elektrotehnike, o zgradbi trdih snovi.",2009-12,lastni posnetek,-,Maribor,"poklicna strokovna, naravoslovje",informativno-izobraževalni,osebni stik,16,145,Af-prof-02174 Em-ucen-02178 Km-ucen-02184
rog_slovenian_1_0_1_1_manual_prosody::JIsssvpsnr-pv0911261100.wav,Rog-Go1-Gos063,Gos063,JIsssvpsnr-pv0911261100.wav,Gos,"Šolska ura tretjega letnika srednje poklicne šole, v kateri obravnavajo sestavo digitalnega vezja.",2009-12,lastni posnetek,-,Maribor,"poklicna strokovna, naravoslovje",informativno-izobraževalni,osebni stik,13,126,Am-prof-07158 Dm-ucen-07161 Fm-ucen-07162
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903232105.wav,Rog-Go1-Gos064,Gos064,JItvslpopr-rd0903232105.wav,Gos,"Vrnitev ženske, žrtve nasilja v družini, na njen dom.",2009-06,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,2,38,Af-novi-00501 Em-inte-00505
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903232121.wav,Rog-Go1-Gos065,Gos065,JItvslpopr-rd0903232121.wav,Gos,Pregled politične kariere znanega slovenskega politika.,2009-05,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,1,37,Bm-inte-02501
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903232135.wav,Rog-Go1-Gos066,Gos066,JItvslpopr-rd0903232135.wav,Gos,Reportaža o prevarantskih podjetnikih.,2009-05,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,4,53,Bf-anke-01503 Df-novi-01501
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903232219.wav,Rog-Go1-Gos067,Gos067,JItvslpopr-rd0903232219.wav,Gos,Doživetje ljubljanskega boljšjega s sejma z enim od prodajalcev na sejmu.,2009-05,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,4,40,Af-novi-02029 Bm-nast-02030
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903232249.wav,Rog-Go1-Gos068,Gos068,JItvslpopr-rd0903232249.wav,Gos,Pomanjkanje dijakov na šolah z lesarskimi smermi.,2009-05,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,2,48,Jf-novi-02509 Km-inte-02510
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903232305.wav,Rog-Go1-Gos069,Gos069,JItvslpopr-rd0903232305.wav,Gos,Nevarna šolska pot v Biščah pri Domžalah.,2009-05,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,4,47,Bf-novi-01501 Hm-anke-04506
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903240741.wav,Rog-Go1-Gos070,Gos070,JItvslpopr-rd0903240741.wav,Gos,Redno zaposleni duhovniki tudi v bolnišnicah in zaporih.,2009-05,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,1,30,Am-novi-05505
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopr-rd0903240759.wav,Rog-Go1-Gos071,Gos071,JItvslpopr-rd0903240759.wav,Gos,Ženske v politiki.,2009-05,-,-,Ljubljana,"PopTV, Preverjeno",informativno-izobraževalni,televizija,1,70,Ff-inte-05516
rog_slovenian_1_0_1_1_manual_prosody::JItvslpopv-rd0903231214.wav,Rog-Go1-Gos072,Gos072,JItvslpopv-rd0903231214.wav,Gos,Predvolilno soočenje predsednikov strank.,2009-12,-,-,Ljubljana,"PopTV, predvolilna",informativno-izobraževalni,televizija,14,316,Af-novi-03507 Gm-gost-05581 Km-gost-02172
rog_slovenian_1_0_1_1_manual_prosody::JItvslpotr-rd0903291848.wav,Rog-Go1-Gos073,Gos073,JItvslpotr-rd0903291848.wav,Gos,Oddaja z gosti o prodaji večinskega deleža večjega slovenskega trgovskega podjetja.,2009-11,-,-,Ljubljana,"PopTV, Trenja",informativno-izobraževalni,televizija,20,386,Am-novi-02535 Hm-gost-03510 Im-gost-03517 Lm-gost-02115
rog_slovenian_1_0_1_1_manual_prosody::JItvslpotr-rd0903302024.wav,Rog-Go1-Gos074,Gos074,JItvslpotr-rd0903302024.wav,Gos,Oddaja o ministrski ekipi nove vlade.,2009-06,-,-,Ljubljana,"PopTV, Trenja",informativno-izobraževalni,televizija,18,157,Am-novi-02535 Bm-nast-02536 Pm-gost-02549 Qm-gost-02550
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141036.wav,Rog-Go1-Gos075,Gos075,JItvslpour-rd0904141036.wav,Gos,Ameriške predsedniške volitve.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,2,29,Nf-novi-03502
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141044.wav,Rog-Go1-Gos076,Gos076,JItvslpour-rd0904141044.wav,Gos,Grafiti na cerkvi.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,11,Mm-novi-03001
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141046.wav,Rog-Go1-Gos077,Gos077,JItvslpour-rd0904141046.wav,Gos,Krajani zahtevali zaprtje deponije gum v Kidričevem.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,35,Af-novi-02001
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141243.wav,Rog-Go1-Gos078,Gos078,JItvslpour-rd0904141243.wav,Gos,Prispevek o novem mandatarju.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,16,Af-novi-02006
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141245.wav,Rog-Go1-Gos079,Gos079,JItvslpour-rd0904141245.wav,Gos,Popust za upokojence.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,11,Bf-anke-02011
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141247.wav,Rog-Go1-Gos080,Gos080,JItvslpour-rd0904141247.wav,Gos,Poslanci Desusa pripravljeni vstopiti v vlado tudi brez svojega predsednika.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,34,Dm-nast-03508
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141249.wav,Rog-Go1-Gos081,Gos081,JItvslpour-rd0904141249.wav,Gos,Prisilni dopust v podjetju usnja.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,11,Sm-inte-03525
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141250.wav,Rog-Go1-Gos082,Gos082,JItvslpour-rd0904141250.wav,Gos,Svinčnik predelan v orožje.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,27,Mf-inte-04504
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904141252.wav,Rog-Go1-Gos083,Gos083,JItvslpour-rd0904141252.wav,Gos,Impro liga v Ljubljani.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,23,Rm-anke-01514
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150901.wav,Rog-Go1-Gos084,Gos084,JItvslpour-rd0904150901.wav,Gos,Novi predsednik ZDA.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,2,19,Em-novi-03501
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150906.wav,Rog-Go1-Gos085,Gos085,JItvslpour-rd0904150906.wav,Gos,O pridržanih vinjenih voznikih.,2009-09,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,20,Bm-inte-05001
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150908.wav,Rog-Go1-Gos086,Gos086,JItvslpour-rd0904150908.wav,Gos,Požar v kliničnem centru.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,25,Bm-anke-01520
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150911.wav,Rog-Go1-Gos087,Gos087,JItvslpour-rd0904150911.wav,Gos,Predsednik Slovenije o zmagi novega ameriškega predsednika.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,27,Dm-inte-02007
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150912.wav,Rog-Go1-Gos088,Gos088,JItvslpour-rd0904150912.wav,Gos,Priznanja za hrabrost.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,28,Af-novi-00001
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150914.wav,Rog-Go1-Gos089,Gos089,JItvslpour-rd0904150914.wav,Gos,Prodaja večjega slovenskega trgovskega podjetja tujcem.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,3,34,Pf-novi-03503
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150917.wav,Rog-Go1-Gos090,Gos090,JItvslpour-rd0904150917.wav,Gos,Slovenska sončna elektrarna.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,20,Pm-inte-03513
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150918.wav,Rog-Go1-Gos091,Gos091,JItvslpour-rd0904150918.wav,Gos,Znani slovenski novinar v studiu komentira izbor novega ameriškega predsednika.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,24,Vm-gost-03514
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150920.wav,Rog-Go1-Gos092,Gos092,JItvslpour-rd0904150920.wav,Gos,Visoke temperature motijo ritem živali.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,16,Bm-nast-04001
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150922.wav,Rog-Go1-Gos093,Gos093,JItvslpour-rd0904150922.wav,Gos,Zaposleni v davčni upravi razburjeni.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,23,Nf-inte-03523
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904150959.wav,Rog-Go1-Gos094,Gos094,JItvslpour-rd0904150959.wav,Gos,Nova vlada skoraj oblikovana.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,31,Sf-novi-02006
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904151003.wav,Rog-Go1-Gos095,Gos095,JItvslpour-rd0904151003.wav,Gos,Nove podražitve.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,24,Am-anke-01518
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904151004.wav,Rog-Go1-Gos096,Gos096,JItvslpour-rd0904151004.wav,Gos,Pocenitev zdravil.,2009-05,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,11,Bf-inte-05502
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904151207.wav,Rog-Go1-Gos097,Gos097,JItvslpour-rd0904151207.wav,Gos,Policija pridržala 176 voznikov na Martinov konec tedna.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,44,Rm-inte-03531
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904151208.wav,Rog-Go1-Gos098,Gos098,JItvslpour-rd0904151208.wav,Gos,Razdelitev resorjev v novi vladi.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,11,Kf-novi-03516
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904151210.wav,Rog-Go1-Gos099,Gos099,JItvslpour-rd0904151210.wav,Gos,Sodba v prid učitelju.,2009-06,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,19,Am-inte-03538
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904151211.wav,Rog-Go1-Gos100,Gos100,JItvslpour-rd0904151211.wav,Gos,Svetovno prvenstvo v bodybuildingu na Obali.,2010-07,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,31,Am-novi-05591
rog_slovenian_1_0_1_1_manual_prosody::JItvslpour-rd0904151213.wav,Rog-Go1-Gos101,Gos101,JItvslpour-rd0904151213.wav,Gos,Težave v vladi z dvema resorjema.,2009-04,-,-,Ljubljana,"PopTV, 24ur",informativno-izobraževalni,televizija,1,32,Sm-inte-03504
