speaker,ipu,stimulus,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,voice_ons,voice_off,c1_rel,c2_rel
it16,ipu_31,Ha detto 'teto' sei volte,137.83386203607444,139.14000623242822,138.1906375012123,138.444943,138.274943,138.32294173620093,138.404943,138.26702209181727,138.3407369827988,138.25277539707102,138.3807255609859
it16,ipu_32,Scrivete 'taco' sul foglio,140.12648392645895,141.54653346512237,140.59772485332851,140.889932,140.68840528405107,140.76570663483093,140.8444945500489,140.68685994094136,140.7803046513357,140.6718502302782,140.8190254868646
it16,ipu_33,Sentivo 'chipo' di nuovo,142.74968324151803,144.02139460118505,143.19267944406423,143.54933752557363,143.32944337236705,143.384943,143.48838838361257,143.3151480048013,143.39918884638007,143.2715200349727,143.46627712566095
it16,ipu_34,Sentivo 'cuto' di nuovo,145.4373027113456,146.733040956633,145.8921914293964,146.244943,146.024943,146.104943,146.18926246240017,146.02321385784856,146.12084726604857,--undefined--,146.16042219001065
it16,ipu_35,Ha detto 'chipo' sei volte,147.8639021076314,149.23991483257495,148.24074973636058,148.58,148.39386587348224,148.44,148.5231969795947,148.38959708181216,148.4517718318603,148.32619155058535,148.49970573743602
it16,ipu_36,Scrivete 'cato' sul foglio,150.53330939125402,151.97869984821048,150.9822518515525,151.25633982758043,151.079932,151.149932,151.209932,151.07585507410698,151.16222402962228,151.04922242896438,151.18313463220537
it16,ipu_37,Scrivete 'tipo' sul foglio,153.1433785683364,154.54422724028765,153.5848882064445,153.869955,153.68300145935743,153.729955,153.809955,153.6771762656738,153.749412268197,153.6560158362583,153.79174899641308
it16,ipu_38,Scrivete 'popo' sul foglio,155.5663202453411,157.054966,156.02120896339187,156.339932,156.119932,156.179932,156.299932,156.11604828600912,156.19830290960985,156.1097306397101,156.27531082551613
it16,ipu_39,Ha detto 'teco' sei volte,158.29859888380224,159.69839663975498,158.64794152674975,159.019955,158.8010576638714,158.86646649914667,158.9690394453738,158.80072824843214,158.88073456714235,158.7773835524292,158.94318395790322
it16,ipu_40,Scrivete 'pepo' sul foglio,160.83619981636696,162.32085621627252,161.324921,161.654921,161.424921,161.48731504024354,161.5898879864707,161.42342446783002,161.50056661651908,--undefined--,--undefined--
it16,ipu_41,Ha detto 'coto' sei volte,163.484921,164.79657447450603,163.8414461920117,164.13578595075043,163.954921,164.024921,164.1030815331128,163.9515984084376,164.03389046211862,163.91908095281033,164.0775740715585
it16,ipu_42,Ripete 'tupo' da sempre,165.88766471126988,167.20570142312843,166.26227894966465,166.58932312604102,166.3737712825202,166.42431447341474,166.509048646385,166.36846265039392,166.44736027153738,166.35314735785633,166.497434899622
it16,ipu_43,Ripete 'copo' da sempre,168.334943,169.65361060547818,168.69965770996518,169.0177824997131,168.81115004282074,168.87358574921987,168.964943,168.80681253143604,168.88831783294003,168.78545136075883,--undefined--
it16,ipu_44,Scrivete 'checo' sul foglio,170.72884651735416,172.23096827756848,171.20157400866182,171.544943,171.364943,171.40671990111608,171.504943,171.36314481964934,171.42222158096382,171.30609344594168,171.4781073460361
it16,ipu_45,Sentivo 'tito' di nuovo,173.35662999671058,174.60802025082128,173.819955,174.149955,173.949955,173.99733926952064,174.0746406203005,173.95054960168468,174.0329374164846,173.90906891952454,174.05949063215567
it16,ipu_46,Scrivete 'cupo' sul foglio,176.00206554285006,177.44404722249087,176.45100800314853,176.779932,176.5743928515087,176.639932,176.739932,176.57594822402737,176.64976321711106,176.5294505220383,176.70762967662233
it16,ipu_47,Scrivete 'paco' sul foglio,178.8082367547754,180.35397385497902,179.319955,179.65156152695735,179.429955,179.509955,179.609955,179.42917034467135,179.52436207658292,--undefined--,179.5826799524367
