speaker,ipu,stimulus,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,voice_ons,voice_off,c1_rel,c2_rel
it07,ipu_139,Scrivete 'chipo' sul foglio,539.0255173770939,540.924989,539.6637025266879,540.1475144003438,539.8372240996133,539.9293895354739,540.056885055081,539.8302853014802,539.943835533738,--undefined--,540.0398889779034
it07,ipu_140,Sentivo 'pato' di nuovo,542.1972687964904,543.7683831800822,542.734921,543.1540679284925,542.8341751469623,542.984921,543.0803355798041,--undefined--,--undefined--,542.826430204786,543.0529900504994
it07,ipu_141,Ripete 'teco' da sempre,545.1100488170564,546.8093662718131,545.6315554040956,546.0693412244332,545.7375456553352,545.8665772655401,545.9863923321587,545.7356244021864,545.8834013442903,545.7199378552579,545.94800976182
it07,ipu_142,Ripete 'cato' da sempre,547.9439812924452,549.629977,548.4493550990804,548.9160770075549,548.5660979845038,548.7025604144781,548.825447662292,--undefined--,--undefined--,548.5276623527084,--undefined--
it07,ipu_143,Ripete 'tito' da sempre,550.9747906558124,552.694966,551.5009698375135,551.938755657851,551.6422901724995,551.7513526049346,551.8573428561741,551.640652669297,551.7646870556057,551.6158668203163,551.8338503704493
it07,ipu_144,Ha detto 'copo' sei volte,554.1195999960094,555.826790872361,554.6050046248748,555.029955,554.7186753291029,554.8354182145262,554.9420516944551,554.7207244675501,554.8502613974607,554.6808181572999,554.9279317963083
it07,ipu_145,Ha detto 'tato' sei volte,556.8653320786412,558.554966,557.324943,557.7697111617152,557.4517404079965,557.5853802899942,557.6990509942221,--undefined--,--undefined--,557.4378716237946,557.6749818615438
it07,ipu_146,Ripete 'tico' da sempre,559.6678995133866,561.48153090106,560.2162838567567,560.6855066988627,560.3683568259266,560.4574500805918,560.6056299877836,560.3594159451313,560.4901633846429,560.3278435502647,560.5615175134885
it07,ipu_147,Ha detto 'pupo' sei volte,562.3542386456603,564.054966,562.8580763616978,563.3266559751147,562.9825716812353,563.0916341136702,563.211449180289,--undefined--,--undefined--,562.9685580533516,563.1720745980074
it07,ipu_148,Ha detto 'chito' sei volte,565.1615429979373,566.94157336107,565.6723612736623,566.1440773911432,565.8445397245965,565.9382412510547,566.0503758646851,565.84315986278,565.9476960953264,565.7709389319295,566.0291655990101
