source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s,source_file,source_blob_sha
pavoque,pavoque::m0075,m0075,1,H#,0.000000,0.318102,0.318102,0.318102,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,2,z,0.318102,0.396479,0.078377,0.396479,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,3,i:,0.396479,0.456888,0.060409,0.456888,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,4,?,0.456888,0.464871,0.007983,0.464871,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,5,I,0.464871,0.510000,0.045129,0.510000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,6,s,0.510000,0.556986,0.046986,0.556986,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,7,t,0.556986,0.614610,0.057624,0.614610,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,8,?,0.614610,0.669365,0.054755,0.669365,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,9,aU,0.669365,0.765000,0.095635,0.765000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,10,s,0.765000,0.840000,0.075000,0.840000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,11,6,0.840000,0.902108,0.062108,0.902108,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,12,h,0.902108,0.946323,0.044215,0.946323,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,13,a,0.946323,0.994836,0.048513,0.994836,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,14,l,0.994836,1.029840,0.035004,1.029840,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,15,p,1.029840,1.084678,0.054838,1.084678,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,16,C,1.084678,1.188446,0.103768,1.188446,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,17,i:,1.188446,1.255000,0.066554,1.255000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,18,n,1.255000,1.300000,0.045000,1.300000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,19,a:,1.300000,1.405000,0.105000,1.405000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,20,s,1.405000,1.496553,0.091553,1.496553,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,21,k,1.496553,1.625059,0.128506,1.625059,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,22,aU,1.625059,1.765000,0.139941,1.765000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,23,m,1.765000,1.814041,0.049041,1.814041,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,24,b,1.814041,1.859028,0.044987,1.859028,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,25,@,1.859028,1.914753,0.055725,1.914753,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,26,k,1.914753,2.055797,0.141044,2.055797,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,27,a,2.055797,2.165000,0.109203,2.165000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,28,n,2.165000,2.280754,0.115754,2.280754,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,29,t,2.280754,2.439191,0.158437,2.439191,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0075,m0075,30,_,2.439191,3.775000,1.335809,3.775000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,1,H#,0.000000,0.349427,0.349427,0.349427,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,2,d,0.349427,0.399345,0.049918,0.399345,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,3,i:,0.399345,0.480000,0.080655,0.480000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,4,z,0.480000,0.550000,0.070000,0.550000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,5,6,0.550000,0.625000,0.075000,0.625000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,6,f,0.625000,0.740000,0.115000,0.740000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,7,a,0.740000,0.800000,0.060000,0.800000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0076,m0076,8,n,0.800000,0.840000,0.040000,0.840000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
