source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s,source_file,source_blob_sha
pavoque,pavoque::m0070,m0070,1,H#,0.000000,0.039303,0.039303,0.039303,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,2,m,0.039303,0.105000,0.065697,0.105000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,3,a,0.105000,0.170000,0.065000,0.170000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,4,n,0.170000,0.225377,0.055377,0.225377,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,5,n,0.225377,0.280000,0.054623,0.280000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,6,a,0.280000,0.375000,0.095000,0.375000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,7,n,0.375000,0.451981,0.076981,0.451981,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,8,t,0.451981,0.525603,0.073622,0.525603,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,9,@,0.525603,0.570504,0.044901,0.570504,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,10,d,0.570504,0.620000,0.049496,0.620000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,11,a,0.620000,0.710000,0.090000,0.710000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,12,s,0.710000,0.822901,0.112901,0.822901,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,13,v,0.822901,0.870000,0.047099,0.870000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,14,E,0.870000,0.942652,0.072652,0.942652,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,15,6,0.942652,1.040908,0.098256,1.040908,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,16,k,1.040908,1.116785,0.075877,1.116785,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,17,?,1.116785,1.164958,0.048173,1.164958,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,18,aU,1.164958,1.295000,0.130042,1.295000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,19,x,1.295000,1.345000,0.050000,1.345000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,20,d,1.345000,1.425000,0.080000,1.425000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,21,a,1.425000,1.520000,0.095000,1.520000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,22,s,1.520000,1.594831,0.074831,1.594831,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,23,b,1.594831,1.676645,0.081814,1.676645,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,24,u:,1.676645,1.818366,0.141721,1.818366,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,25,x,1.818366,1.955000,0.136634,1.955000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,26,R,1.955000,2.065000,0.110000,2.065000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,27,O,2.065000,2.145000,0.080000,2.145000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,28,d,2.145000,2.194418,0.049418,2.194418,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,29,Z,2.194418,2.250000,0.055582,2.250000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,30,6,2.250000,2.395000,0.145000,2.395000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,31,s,2.395000,2.532570,0.137570,2.532570,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,32,_,2.532570,2.645565,0.112995,2.645565,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,33,?,2.645565,2.670130,0.024565,2.670130,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,34,U,2.670130,2.745000,0.074870,2.745000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,35,n,2.745000,2.800000,0.055000,2.800000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,36,t,2.800000,2.832868,0.032868,2.832868,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,37,d,2.832868,2.870000,0.037132,2.870000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,38,a,2.870000,2.985000,0.115000,2.985000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,39,s,2.985000,3.157729,0.172729,3.157729,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,40,r,3.157729,3.265000,0.107271,3.265000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,41,O,3.265000,3.350000,0.085000,3.350000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,42,d,3.350000,3.393420,0.043420,3.393420,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,43,Z,3.393420,3.445745,0.052325,3.445745,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,44,6,3.445745,3.535000,0.089255,3.535000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,45,b,3.535000,3.605815,0.070815,3.605815,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,46,u:,3.605815,3.830000,0.224185,3.830000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,47,x,3.830000,3.989228,0.159228,3.989228,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0070,m0070,48,_,3.989228,5.335000,1.345772,5.335000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,1,H#,0.000000,0.326779,0.326779,0.326779,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,2,?,0.326779,0.354420,0.027641,0.354420,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,3,a,0.354420,0.415000,0.060580,0.415000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,4,l,0.415000,0.470000,0.055000,0.470000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,5,s,0.470000,0.563263,0.093263,0.563263,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,6,m,0.563263,0.620000,0.056737,0.620000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,7,E,0.620000,0.746923,0.126923,0.746923,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,8,?,0.746923,0.789920,0.042997,0.789920,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,9,a,0.789920,0.880000,0.090080,0.880000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,10,n,0.880000,0.956995,0.076995,0.956995,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,11,d,0.956995,1.002340,0.045345,1.002340,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0071,m0071,12,6,1.002340,1.160000,0.157660,1.160000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
