source_id,source_file,prompt,style,segment_index,original_label,original_end_s,derived_start_s,derived_duration_s,derived_absolute_start_s,derived_absolute_end_s,normalized_ipa,provenance
PAVOQUE,pavoque-angry.yaml,spike0014,angry,13,a,0.95,0.88,0.07,47.44,47.51,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,14,s,1.06,0.95,0.11,47.51,47.62,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,15,f,1.172924,1.06,0.112924,47.62,47.732924,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,16,a,1.245,1.172924,0.072076,47.732924,47.805,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,17,l,1.29266,1.245,0.04766,47.805,47.85266,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,18,S,1.401368,1.29266,0.108708,47.85266,47.961368,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,19,@,1.44804,1.401368,0.046672,47.961368,48.00804,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,20,s,1.514976,1.44804,0.066936,48.00804,48.074976,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,21,g,1.566241,1.514976,0.051265,48.074976,48.126241,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,22,@,1.623671,1.566241,0.05743,48.126241,48.183671,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,23,z,1.735,1.623671,0.111329,48.183671,48.295,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,24,a:,1.970022,1.735,0.235022,48.295,48.530022,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,25,k,2.06,1.970022,0.089978,48.530022,48.62,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,26,t,2.219959,2.06,0.159959,48.62,48.779959,,upstream manually corrected segment
PAVOQUE,pavoque-angry.yaml,spike0014,angry,27,_,3.355,2.219959,1.135041,48.779959,49.915,,upstream manually corrected segment
