source_id,utterance_id,segment_index,label_original,start_rel_s,end_rel_s,duration_s
pavoque,pavoque::spike0017,1,H#,0.0,0.536751,0.536751
pavoque,pavoque::spike0017,2,?,0.536751,0.563773,0.027022
pavoque,pavoque::spike0017,3,I,0.563773,0.61,0.046227
pavoque,pavoque::spike0017,4,C,0.61,0.745556,0.135556
pavoque,pavoque::spike0017,5,g,0.745556,0.809603,0.064047
pavoque,pavoque::spike0017,6,l,0.809603,0.86,0.050397
pavoque,pavoque::spike0017,7,aU,0.86,0.995507,0.135507
pavoque,pavoque::spike0017,8,b,0.995507,1.055,0.059493
pavoque,pavoque::spike0017,9,@,1.055,1.098681,0.043681
pavoque,pavoque::spike0017,10,d,1.098681,1.148507,0.049826
pavoque,pavoque::spike0017,11,u:,1.148507,1.232562,0.084055
pavoque,pavoque::spike0017,12,h,1.232562,1.28722,0.054658
pavoque,pavoque::spike0017,13,a,1.28722,1.33,0.04278
pavoque,pavoque::spike0017,14,s,1.33,1.416187,0.086187
pavoque,pavoque::spike0017,15,t,1.416187,1.484568,0.068381
pavoque,pavoque::spike0017,16,m,1.484568,1.504622,0.020054
pavoque,pavoque::spike0017,17,i:,1.504622,1.539014,0.034392
pavoque,pavoque::spike0017,18,6,1.539014,1.57,0.030986
pavoque,pavoque::spike0017,19,?,1.57,1.585,0.015
pavoque,pavoque::spike0017,20,aI,1.585,1.665,0.08
pavoque,pavoque::spike0017,21,n,1.665,1.715,0.05
pavoque,pavoque::spike0017,22,@,1.715,1.79,0.075
pavoque,pavoque::spike0017,23,f,1.79,1.88,0.09
pavoque,pavoque::spike0017,24,R,1.88,1.97,0.09
pavoque,pavoque::spike0017,25,a:,1.97,2.125,0.155
pavoque,pavoque::spike0017,26,g,2.125,2.181559,0.056559
pavoque,pavoque::spike0017,27,@,2.181559,2.226227,0.044668
pavoque,pavoque::spike0017,28,g,2.226227,2.291329,0.065102
pavoque,pavoque::spike0017,29,@,2.291329,2.338613,0.047284
pavoque,pavoque::spike0017,30,S,2.338613,2.472494,0.133881
pavoque,pavoque::spike0017,31,t,2.472494,2.542843,0.070349
pavoque,pavoque::spike0017,32,E,2.542843,2.673929,0.131086
pavoque,pavoque::spike0017,33,l,2.673929,2.755,0.081071
pavoque,pavoque::spike0017,34,t,2.755,2.94169,0.18669
pavoque,pavoque::spike0017,35,_,2.94169,4.075,1.13331
pavoque,pavoque::spike0018,1,H#,0.0,0.542247,0.542247
pavoque,pavoque::spike0018,2,?,0.542247,0.59,0.047753
pavoque,pavoque::spike0018,3,I,0.59,0.69,0.1
pavoque,pavoque::spike0018,4,C,0.69,0.819819,0.129819
pavoque,pavoque::spike0018,5,k,0.819819,0.930411,0.110592
pavoque,pavoque::spike0018,6,a,0.930411,0.995,0.064589
pavoque,pavoque::spike0018,7,n,0.995,1.075,0.08
pavoque,pavoque::spike0018,8,f,1.075,1.155,0.08
pavoque,pavoque::spike0018,9,R,1.155,1.229421,0.074421
pavoque,pavoque::spike0018,10,a:,1.229421,1.385,0.155579
pavoque,pavoque::spike0018,11,g,1.385,1.452338,0.067338
pavoque,pavoque::spike0018,12,@,1.452338,1.457251,0.004913
pavoque,pavoque::spike0018,13,n,1.457251,1.492254,0.035003
pavoque,pavoque::spike0018,14,n,1.492254,1.525,0.032746
pavoque,pavoque::spike0018,15,I,1.525,1.585,0.06
pavoque,pavoque::spike0018,16,C,1.585,1.653148,0.068148
pavoque,pavoque::spike0018,17,t,1.653148,1.685695,0.032547
pavoque,pavoque::spike0018,18,b,1.685695,1.753792,0.068097
pavoque,pavoque::spike0018,19,@,1.753792,1.79439,0.040598
pavoque,pavoque::spike0018,20,?,1.79439,1.837377,0.042987
pavoque,pavoque::spike0018,21,a,1.837377,1.925,0.087623
pavoque,pavoque::spike0018,22,n,1.925,1.982918,0.057918
pavoque,pavoque::spike0018,23,t,1.982918,2.061938,0.07902
pavoque,pavoque::spike0018,24,v,2.061938,2.0867,0.024762
pavoque,pavoque::spike0018,25,O,2.0867,2.180043,0.093343
pavoque,pavoque::spike0018,26,6,2.180043,2.226714,0.046671
pavoque,pavoque::spike0018,27,t,2.226714,2.316986,0.090272
pavoque,pavoque::spike0018,28,@,2.316986,2.32804,0.011054
pavoque,pavoque::spike0018,29,n,2.32804,2.399275,0.071235
pavoque,pavoque::spike0018,30,_,2.399275,2.65781,0.258535
pavoque,pavoque::spike0018,31,?,2.65781,2.691585,0.033775
pavoque,pavoque::spike0018,32,E,2.691585,2.72229,0.030705
pavoque,pavoque::spike0018,33,6,2.72229,2.741327,0.019037
pavoque,pavoque::spike0018,34,ts,2.741327,2.853092,0.111765
pavoque,pavoque::spike0018,35,E:,2.853092,2.928012,0.07492
pavoque,pavoque::spike0018,36,l,2.928012,2.960559,0.032547
pavoque,pavoque::spike0018,37,m,2.960559,3.015,0.054441
pavoque,pavoque::spike0018,38,i:,3.015,3.045,0.03
pavoque,pavoque::spike0018,39,6,3.045,3.08,0.035
pavoque,pavoque::spike0018,40,?,3.08,3.095,0.015
pavoque,pavoque::spike0018,41,aI,3.095,3.225,0.13
pavoque,pavoque::spike0018,42,n,3.225,3.251641,0.026641
pavoque,pavoque::spike0018,43,f,3.251641,3.310594,0.058953
pavoque,pavoque::spike0018,44,a,3.310594,3.357266,0.046672
pavoque,pavoque::spike0018,45,x,3.357266,3.403937,0.046671
pavoque,pavoque::spike0018,46,?,3.403937,3.417447,0.01351
pavoque,pavoque::spike0018,47,E,3.417447,3.48684,0.069393
pavoque,pavoque::spike0018,48,t,3.48684,3.558361,0.071521
pavoque,pavoque::spike0018,49,v,3.558361,3.57834,0.019979
pavoque,pavoque::spike0018,50,a,3.57834,3.645,0.06666
pavoque,pavoque::spike0018,51,s,3.645,3.72,0.075
pavoque,pavoque::spike0018,52,?,3.72,3.727566,0.007566
pavoque,pavoque::spike0018,53,U,3.727566,3.781606,0.05404
pavoque,pavoque::spike0018,54,n,3.781606,3.813539,0.031933
pavoque,pavoque::spike0018,55,t,3.813539,3.864018,0.050479
pavoque,pavoque::spike0018,56,?,3.864018,3.872978,0.00896
pavoque,pavoque::spike0018,57,I,3.872978,3.920392,0.047414
pavoque,pavoque::spike0018,58,C,3.920392,3.985,0.064608
pavoque,pavoque::spike0018,59,v,3.985,4.032772,0.047772
pavoque,pavoque::spike0018,60,e:,4.032772,4.085,0.052228
pavoque,pavoque::spike0018,61,6,4.085,4.145,0.06
pavoque,pavoque::spike0018,62,d,4.145,4.169176,0.024176
pavoque,pavoque::spike0018,63,@,4.169176,4.21393,0.044754
pavoque,pavoque::spike0018,64,?,4.21393,4.228668,0.014738
pavoque,pavoque::spike0018,65,a,4.228668,4.33982,0.111152
pavoque,pavoque::spike0018,66,n,4.33982,4.39,0.05018
pavoque,pavoque::spike0018,67,t,4.39,4.461411,0.071411
pavoque,pavoque::spike0018,68,v,4.461411,4.495186,0.033775
pavoque,pavoque::spike0018,69,O,4.495186,4.570106,0.07492
pavoque,pavoque::spike0018,70,6,4.570106,4.64,0.069894
