source_id,utterance_id,segment_index,label_original,start_rel_s,end_rel_s,duration_s
pavoque,pavoque::spike0035,1,H#,0.0,0.31,0.31
pavoque,pavoque::spike0035,2,?,0.31,0.333183,0.023183
pavoque,pavoque::spike0035,3,I,0.333183,0.425,0.091817
pavoque,pavoque::spike0035,4,C,0.425,0.513969,0.088969
pavoque,pavoque::spike0035,5,f,0.513969,0.59,0.076031
pavoque,pavoque::spike0035,6,6,0.59,0.685,0.095
pavoque,pavoque::spike0035,7,S,0.685,0.799839,0.114839
pavoque,pavoque::spike0035,8,t,0.799839,0.852132,0.052293
pavoque,pavoque::spike0035,9,e:,0.852132,0.984609,0.132477
pavoque,pavoque::spike0035,10,@,0.984609,1.07,0.085391
pavoque,pavoque::spike0035,11,n,1.07,1.137006,0.067006
pavoque,pavoque::spike0035,12,I,1.137006,1.19179,0.054784
pavoque,pavoque::spike0035,13,C,1.19179,1.237111,0.045321
pavoque,pavoque::spike0035,14,t,1.237111,1.298867,0.061756
pavoque,pavoque::spike0035,15,v,1.298867,1.33,0.031133
pavoque,pavoque::spike0035,16,i:,1.33,1.4,0.07
pavoque,pavoque::spike0035,17,z,1.4,1.488119,0.088119
pavoque,pavoque::spike0035,18,o:,1.488119,1.565,0.076881
pavoque,pavoque::spike0035,19,d,1.565,1.718707,0.153707
pavoque,pavoque::spike0035,20,u:,1.718707,1.901485,0.182778
pavoque,pavoque::spike0035,21,?,1.901485,1.937343,0.035858
pavoque,pavoque::spike0035,22,I,1.937343,1.97868,0.041337
pavoque,pavoque::spike0035,23,n,1.97868,2.063345,0.084665
pavoque,pavoque::spike0035,24,z,2.063345,2.177892,0.114547
pavoque,pavoque::spike0035,25,o:,2.177892,2.333776,0.155884
pavoque,pavoque::spike0035,26,?,2.333776,2.372623,0.038847
pavoque,pavoque::spike0035,27,aI,2.372623,2.467747,0.095124
pavoque,pavoque::spike0035,28,n,2.467747,2.52,0.052253
pavoque,pavoque::spike0035,29,6,2.52,2.625125,0.105125
pavoque,pavoque::spike0035,30,g,2.625125,2.706802,0.081677
pavoque,pavoque::spike0035,31,u:,2.706802,2.837784,0.130982
pavoque,pavoque::spike0035,32,t,2.837784,2.93,0.092216
pavoque,pavoque::spike0035,33,@,2.93,2.941375,0.011375
pavoque,pavoque::spike0035,34,n,2.941375,3.0,0.058625
pavoque,pavoque::spike0035,35,S,3.0,3.097757,0.097757
pavoque,pavoque::spike0035,36,t,3.097757,3.153536,0.055779
pavoque,pavoque::spike0035,37,I,3.153536,3.215,0.061464
pavoque,pavoque::spike0035,38,m,3.215,3.285,0.07
pavoque,pavoque::spike0035,39,U,3.285,3.355,0.07
pavoque,pavoque::spike0035,40,N,3.355,3.42,0.065
pavoque,pavoque::spike0035,41,b,3.42,3.505147,0.085147
pavoque,pavoque::spike0035,42,I,3.505147,3.62,0.114853
pavoque,pavoque::spike0035,43,s,3.62,3.754163,0.134163
pavoque,pavoque::spike0035,44,t,3.754163,3.869706,0.115543
pavoque,pavoque::spike0035,45,_,3.869706,5.155,1.285294
pavoque,pavoque::spike0036,1,H#,0.0,0.545,0.545
pavoque,pavoque::spike0036,2,v,0.545,0.589035,0.044035
pavoque,pavoque::spike0036,3,i:,0.589035,0.69,0.100965
pavoque,pavoque::spike0036,4,z,0.69,0.82415,0.13415
pavoque,pavoque::spike0036,5,o:,0.82415,1.187055,0.362905
pavoque,pavoque::spike0036,6,_,1.187055,1.855,0.667945
