source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s,source_file,source_blob_sha
pavoque,pavoque::m0072,m0072,1,H#,0.000000,0.424371,0.424371,0.424371,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,2,d,0.424371,0.454334,0.029963,0.454334,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,3,2:,0.454334,0.603086,0.148752,0.603086,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,4,b,0.603086,0.654084,0.050998,0.654084,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,5,@,0.654084,0.747409,0.093325,0.747409,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,6,l,0.747409,0.808823,0.061414,0.808823,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,7,h,0.808823,0.902172,0.093349,0.902172,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,8,a,0.902172,0.960000,0.057828,0.960000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,9,t,0.960000,1.020000,0.060000,1.020000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,10,@,1.020000,1.105000,0.085000,1.105000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,11,k,1.105000,1.269981,0.164981,1.269981,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,12,aI,1.269981,1.435000,0.165019,1.435000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,13,n,1.435000,1.527367,0.092367,1.527367,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,14,?,1.527367,1.610890,0.083523,1.610890,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,15,aI,1.610890,1.745000,0.134110,1.745000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,16,g,1.745000,1.790000,0.045000,1.790000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,17,@,1.790000,1.850000,0.060000,1.850000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,18,n,1.850000,1.890000,0.040000,1.890000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,19,@,1.890000,1.970000,0.080000,1.970000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,20,s,1.970000,2.062897,0.092897,2.062897,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,21,g,2.062897,2.123816,0.060919,2.123816,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,22,O,2.123816,2.222574,0.098758,2.222574,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,23,t,2.222574,2.280000,0.057426,2.280000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,24,@,2.280000,2.330000,0.050000,2.330000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,25,s,2.330000,2.415000,0.085000,2.415000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,26,h,2.415000,2.465000,0.050000,2.465000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,27,aU,2.465000,2.675000,0.210000,2.675000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,28,s,2.675000,2.915938,0.240938,2.915938,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0072,m0072,29,_,2.915938,3.655000,0.739062,3.655000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,1,H#,0.000000,0.497525,0.497525,0.497525,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,2,f,0.497525,0.589260,0.091735,0.589260,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,3,y:,0.589260,0.635726,0.046466,0.635726,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,4,6,0.635726,0.657224,0.021498,0.657224,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,5,d,0.657224,0.707699,0.050475,0.707699,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,6,i:,0.707699,0.790000,0.082301,0.790000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,7,?,0.790000,0.845000,0.055000,0.845000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,8,a,0.845000,0.920000,0.075000,0.920000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,9,p,0.920000,0.995000,0.075000,0.995000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,10,k,0.995000,1.092382,0.097382,1.092382,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,11,Y,1.092382,1.151063,0.058681,1.151063,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,12,6,1.151063,1.184232,0.033169,1.184232,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,13,ts,1.184232,1.285000,0.100768,1.285000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,14,U,1.285000,1.335000,0.050000,1.335000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,15,N,1.335000,1.405000,0.070000,1.405000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,16,@,1.405000,1.455000,0.050000,1.455000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,17,n,1.455000,1.509773,0.054773,1.509773,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,18,z,1.509773,1.584737,0.074964,1.584737,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,19,i:,1.584737,1.649817,0.065080,1.649817,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,20,@,1.649817,1.725000,0.075183,1.725000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,21,S,1.725000,1.808287,0.083287,1.808287,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,22,t,1.808287,1.849023,0.040736,1.849023,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,23,a,1.849023,1.946489,0.097466,1.946489,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,24,t,1.946489,2.050664,0.104175,2.050664,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,25,I,2.050664,2.105000,0.054336,2.105000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,26,s,2.105000,2.177439,0.072439,2.177439,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,27,t,2.177439,2.241537,0.064098,2.241537,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,28,I,2.241537,2.330000,0.088463,2.330000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,29,k,2.330000,2.451384,0.121384,2.451384,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,30,_,2.451384,2.620911,0.169527,2.620911,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,31,b,2.620911,2.664395,0.043484,2.664395,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,32,EI,2.664395,2.795000,0.130605,2.795000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,33,s,2.795000,2.903456,0.108456,2.903456,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,34,b,2.903456,2.950000,0.046544,2.950000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0073,m0073,35,o:,2.950000,3.135020,0.185020,3.135020,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
