source_id,source_utterance_id,segment_index,original_label,source_end_s,derived_start_s,derived_duration_s,absolute_start_s,absolute_end_s,normalized_ipa,annotation_provenance,upstream_blob_sha
pavoque,pavoque::spike0018,1,H#,0.491784,0,0.491784,60.36,60.851784,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,2,g,0.535736,0.491784,0.043952,60.851784,60.895736,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,3,aI,0.65,0.535736,0.114264,60.895736,61.01,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,4,s,0.725,0.65,0.075,61.01,61.085,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,5,t,0.763639,0.725,0.038639,61.085,61.123639,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,6,I,0.806612,0.763639,0.042973,61.123639,61.166612,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,7,g,0.85,0.806612,0.043388,61.166612,61.21,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,8,a,0.92,0.85,0.07,61.21,61.28,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,9,b,0.953432,0.92,0.033432,61.28,61.313432,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,10,d,1.005443,0.953432,0.052011,61.313432,61.365443,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,11,a,1.03,1.005443,0.024557,61.365443,61.39,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,12,s,1.090291,1.03,0.060291,61.39,61.450291,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,13,l,1.156977,1.090291,0.066686,61.450291,61.516977,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0018,14,O,1.215,1.156977,0.058023,61.516977,61.575,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
