source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s
pavoque,pavoque::m0137,m0137,1,H#,0.000000,0.385000,0.385000,0.385000
pavoque,pavoque::m0137,m0137,2,n,0.385000,0.448471,0.063471,0.448471
pavoque,pavoque::m0137,m0137,3,j,0.448471,0.463610,0.015139,0.463610
pavoque,pavoque::m0137,m0137,4,u:,0.463610,0.517032,0.053422,0.517032
pavoque,pavoque::m0137,m0137,5,j,0.517032,0.587648,0.070616,0.587648
pavoque,pavoque::m0137,m0137,6,O,0.587648,0.686511,0.098863,0.686511
pavoque,pavoque::m0137,m0137,7,6,0.686511,0.760197,0.073686,0.760197
pavoque,pavoque::m0137,m0137,8,k,0.760197,0.875025,0.114828,0.875025
pavoque,pavoque::m0137,m0137,9,_,0.875025,1.199245,0.324220,1.199245
pavoque,pavoque::m0137,m0137,10,S,1.199245,1.340000,0.140755,1.340000
pavoque,pavoque::m0137,m0137,11,p,1.340000,1.441373,0.101373,1.441373
pavoque,pavoque::m0137,m0137,12,R,1.441373,1.530000,0.088627,1.530000
pavoque,pavoque::m0137,m0137,13,I,1.530000,1.600000,0.070000,1.600000
pavoque,pavoque::m0137,m0137,14,N,1.600000,1.660000,0.060000,1.660000
pavoque,pavoque::m0137,m0137,15,6,1.660000,1.761717,0.101717,1.761717
pavoque,pavoque::m0137,m0137,16,f,1.761717,1.850000,0.088283,1.850000
pavoque,pavoque::m0137,m0137,17,6,1.850000,1.920000,0.070000,1.920000
pavoque,pavoque::m0137,m0137,18,l,1.920000,1.965000,0.045000,1.965000
pavoque,pavoque::m0137,m0137,19,a:,1.965000,2.132605,0.167605,2.132605
pavoque,pavoque::m0137,m0137,20,k,2.132605,2.262784,0.130179,2.262784
pavoque,pavoque::m0137,m0137,21,_,2.262784,3.055000,0.792216,3.055000
