source_id,prompt,style,utterance_start_s,utterance_end_s,segment_index,original_label,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,annotation_method,source_blob_sha
PAVOQUE,spike0011,angry,35.52,39.36,1,H#,,0.000000,0.280000,0.280000,35.520000,35.800000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,2,?,,0.280000,0.308966,0.028966,35.800000,35.828966,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,3,I,,0.308966,0.401102,0.092136,35.828966,35.921102,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,4,C,,0.401102,0.474812,0.073710,35.921102,35.994812,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,5,b,,0.474812,0.535255,0.060443,35.994812,36.055255,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,6,I,,0.535255,0.605000,0.069745,36.055255,36.125000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,7,n,,0.605000,0.655000,0.050000,36.125000,36.175000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,8,s,,0.655000,0.722353,0.067353,36.175000,36.242353,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,9,p,,0.722353,0.817076,0.094723,36.242353,36.337076,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,10,aI,,0.817076,1.065000,0.247924,36.337076,36.585000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,11,k,,1.065000,1.191636,0.126636,36.585000,36.711636,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,12,_,,1.191636,1.258560,0.066924,36.711636,36.778560,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,13,v,,1.258560,1.279474,0.020914,36.778560,36.799474,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,14,E,,1.279474,1.329842,0.050368,36.799474,36.849842,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,15,l,,1.329842,1.365000,0.035158,36.849842,36.885000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,16,C,,1.365000,1.429964,0.064964,36.885000,36.949964,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,17,@,,1.429964,1.475418,0.045454,36.949964,36.995418,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,18,s,,1.475418,1.520000,0.044582,36.995418,37.040000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,19,p,,1.520000,1.591574,0.071574,37.040000,37.111574,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,20,R,,1.591574,1.611166,0.019592,37.111574,37.131166,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,21,o:,,1.611166,1.667063,0.055897,37.131166,37.187063,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,22,b,,1.667063,1.743635,0.076572,37.187063,37.263635,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,23,l,,1.743635,1.785000,0.041365,37.263635,37.305000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,24,e:,,1.785000,1.895000,0.110000,37.305000,37.415000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,25,m,,1.895000,1.950000,0.055000,37.415000,37.470000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,26,h,,1.950000,2.010000,0.060000,37.470000,37.530000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,27,a,,2.010000,2.085000,0.075000,37.530000,37.605000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,28,s,,2.085000,2.155388,0.070388,37.605000,37.675388,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,29,t,,2.155388,2.190400,0.035012,37.675388,37.710400,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,30,d,,2.190400,2.230000,0.039600,37.710400,37.750000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,31,u:,,2.230000,2.452683,0.222683,37.750000,37.972683,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
PAVOQUE,spike0011,angry,35.52,39.36,32,_,,2.452683,3.835000,1.382317,37.972683,39.355000,manually corrected phonetic segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
