source_id,utterance_id,segment_index,label_original,start_rel_s,end_rel_s,duration_s
pavoque,pavoque::spike0031,1,H#,0.0,0.255,0.255
pavoque,pavoque::spike0031,2,?,0.255,0.298884,0.043884
pavoque,pavoque::spike0031,3,I,0.298884,0.37,0.071116
pavoque,pavoque::spike0031,4,C,0.37,0.493657,0.123657
pavoque,pavoque::spike0031,5,b,0.493657,0.564393,0.070736
pavoque,pavoque::spike0031,6,I,0.564393,0.64808,0.083687
pavoque,pavoque::spike0031,7,n,0.64808,0.67,0.02192
pavoque,pavoque::spike0031,8,n,0.67,0.690422,0.020422
pavoque,pavoque::spike0031,9,I,0.690422,0.78,0.089578
pavoque,pavoque::spike0031,10,C,0.78,0.84086,0.06086
pavoque,pavoque::spike0031,11,t,0.84086,0.904124,0.063264
pavoque,pavoque::spike0031,12,v,0.904124,0.925,0.020876
pavoque,pavoque::spike0031,13,y:,0.925,1.10886,0.18386
pavoque,pavoque::spike0031,14,t,1.10886,1.187068,0.078208
pavoque,pavoque::spike0031,15,@,1.187068,1.198027,0.010959
pavoque,pavoque::spike0031,16,n,1.198027,1.340495,0.142468
pavoque,pavoque::spike0031,17,t,1.340495,1.460048,0.119553
pavoque,pavoque::spike0031,18,_,1.460048,1.84,0.379952
pavoque,pavoque::spike0031,19,?,1.84,1.885,0.045
pavoque,pavoque::spike0031,20,I,1.885,1.94,0.055
pavoque,pavoque::spike0031,21,C,1.94,2.01,0.07
pavoque,pavoque::spike0031,22,b,2.01,2.035,0.025
pavoque,pavoque::spike0031,23,I,2.035,2.095,0.06
pavoque,pavoque::spike0031,24,n,2.095,2.14,0.045
pavoque,pavoque::spike0031,25,R,2.14,2.21,0.07
pavoque,pavoque::spike0031,26,e:,2.21,2.29,0.08
pavoque,pavoque::spike0031,27,a,2.29,2.375,0.085
pavoque,pavoque::spike0031,28,l,2.375,2.415,0.04
pavoque,pavoque::spike0031,29,I,2.415,2.505,0.09
pavoque,pavoque::spike0031,30,s,2.505,2.675,0.17
pavoque,pavoque::spike0031,31,t,2.675,2.78,0.105
pavoque,pavoque::spike0031,32,_,2.78,3.775,0.995
pavoque,pavoque::spike0032,1,H#,0.0,0.4,0.4
pavoque,pavoque::spike0032,2,d,0.4,0.436729,0.036729
pavoque,pavoque::spike0032,3,E,0.436729,0.47,0.033271
