source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s
pavoque,pavoque::m0112,m0112,1,H#,0.000000,0.645000,0.645000,0.645000
pavoque,pavoque::m0112,m0112,2,d,0.645000,0.672230,0.027230,0.672230
pavoque,pavoque::m0112,m0112,3,i:,0.672230,0.742697,0.070467,0.742697
pavoque,pavoque::m0112,m0112,4,f,0.742697,0.830000,0.087303,0.830000
pavoque,pavoque::m0112,m0112,5,a,0.830000,0.890000,0.060000,0.890000
pavoque,pavoque::m0112,m0112,6,m,0.890000,0.955000,0.065000,0.955000
pavoque,pavoque::m0112,m0112,7,i:,0.955000,1.042479,0.087479,1.042479
pavoque,pavoque::m0112,m0112,8,l,1.042479,1.095000,0.052521,1.095000
pavoque,pavoque::m0112,m0112,9,i:,1.095000,1.155512,0.060512,1.155512
pavoque,pavoque::m0112,m0112,10,@,1.155512,1.195000,0.039488,1.195000
pavoque,pavoque::m0112,m0112,11,S,1.195000,1.315846,0.120846,1.315846
pavoque,pavoque::m0112,m0112,12,t,1.315846,1.370526,0.054680,1.370526
pavoque,pavoque::m0112,m0112,13,aI,1.370526,1.525000,0.154474,1.525000
pavoque,pavoque::m0112,m0112,14,n,1.525000,1.595000,0.070000,1.595000
pavoque,pavoque::m0112,m0112,15,v,1.595000,1.639585,0.044585,1.639585
pavoque,pavoque::m0112,m0112,16,a:,1.639585,1.739103,0.099518,1.739103
pavoque,pavoque::m0112,m0112,17,6,1.739103,1.787633,0.048530,1.787633
pavoque,pavoque::m0112,m0112,18,d,1.787633,1.893219,0.105586,1.893219
pavoque,pavoque::m0112,m0112,19,OY,1.893219,2.060386,0.167167,2.060386
pavoque,pavoque::m0112,m0112,20,tS,2.060386,2.215000,0.154614,2.215000
pavoque,pavoque::m0112,m0112,21,j,2.215000,2.260000,0.045000,2.260000
pavoque,pavoque::m0112,m0112,22,y:,2.260000,2.348496,0.088496,2.348496
pavoque,pavoque::m0112,m0112,23,d,2.348496,2.393962,0.045466,2.393962
pavoque,pavoque::m0112,m0112,24,I,2.393962,2.460000,0.066038,2.460000
pavoque,pavoque::m0112,m0112,25,S,2.460000,2.555000,0.095000,2.555000
pavoque,pavoque::m0112,m0112,26,6,2.555000,2.645000,0.090000,2.645000
pavoque,pavoque::m0112,m0112,27,h,2.645000,2.715000,0.070000,2.715000
pavoque,pavoque::m0112,m0112,28,e:,2.715000,2.780000,0.065000,2.780000
pavoque,pavoque::m0112,m0112,29,6,2.780000,2.839941,0.059941,2.839941
pavoque,pavoque::m0112,m0112,30,k,2.839941,2.955069,0.115128,2.955069
pavoque,pavoque::m0112,m0112,31,U,2.955069,3.040000,0.084931,3.040000
pavoque,pavoque::m0112,m0112,32,n,3.040000,3.115000,0.075000,3.115000
pavoque,pavoque::m0112,m0112,33,f,3.115000,3.220000,0.105000,3.220000
