source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s
pavoque,pavoque::m0125,m0125,1,H#,0.000000,0.628436,0.628436,0.628436
pavoque,pavoque::m0125,m0125,2,z,0.628436,0.710796,0.082360,0.710796
pavoque,pavoque::m0125,m0125,3,aI,0.710796,0.860000,0.149204,0.860000
pavoque,pavoque::m0125,m0125,4,n,0.860000,0.915000,0.055000,0.915000
pavoque,pavoque::m0125,m0125,5,n,0.915000,0.965000,0.050000,0.965000
pavoque,pavoque::m0125,m0125,6,a:,0.965000,1.095000,0.130000,1.095000
pavoque,pavoque::m0125,m0125,7,x,1.095000,1.150000,0.055000,1.150000
pavoque,pavoque::m0125,m0125,8,f,1.150000,1.250000,0.100000,1.250000
pavoque,pavoque::m0125,m0125,9,O,1.250000,1.325675,0.075675,1.325675
pavoque,pavoque::m0125,m0125,10,l,1.325675,1.375000,0.049325,1.375000
pavoque,pavoque::m0125,m0125,11,g,1.375000,1.426487,0.051487,1.426487
pavoque,pavoque::m0125,m0125,12,6,1.426487,1.541296,0.114809,1.541296
pavoque,pavoque::m0125,m0125,13,v,1.541296,1.589212,0.047916,1.589212
pavoque,pavoque::m0125,m0125,14,U,1.589212,1.666001,0.076789,1.666001
pavoque,pavoque::m0125,m0125,15,6,1.666001,1.702245,0.036244,1.702245
pavoque,pavoque::m0125,m0125,16,d,1.702245,1.737828,0.035583,1.737828
pavoque,pavoque::m0125,m0125,17,@,1.737828,1.790000,0.052172,1.790000
pavoque,pavoque::m0125,m0125,18,d,1.790000,1.860000,0.070000,1.860000
pavoque,pavoque::m0125,m0125,19,Z,1.860000,1.920324,0.060324,1.920324
pavoque,pavoque::m0125,m0125,20,O,1.920324,2.051785,0.131461,2.051785
pavoque,pavoque::m0125,m0125,21,6,2.051785,2.093558,0.041773,2.093558
pavoque,pavoque::m0125,m0125,22,d,2.093558,2.124556,0.030998,2.124556
pavoque,pavoque::m0125,m0125,23,Z,2.124556,2.230549,0.105993,2.230549
pavoque,pavoque::m0125,m0125,24,r,2.230549,2.299351,0.068802,2.299351
pavoque,pavoque::m0125,m0125,25,a,2.299351,2.380000,0.080649,2.380000
pavoque,pavoque::m0125,m0125,26,s,2.380000,2.480000,0.100000,2.480000
pavoque,pavoque::m0125,m0125,27,@,2.480000,2.506373,0.026373,2.506373
pavoque,pavoque::m0125,m0125,28,l,2.506373,2.651963,0.145590,2.651963
pavoque,pavoque::m0125,m0125,29,_,2.651963,3.715000,1.063037,3.715000
pavoque,pavoque::m0126,m0126,1,H#,0.000000,0.521937,0.521937,0.521937
pavoque,pavoque::m0126,m0126,2,d,0.521937,0.562778,0.040841,0.562778
pavoque,pavoque::m0126,m0126,3,a:,0.562778,0.722730,0.159952,0.722730
pavoque,pavoque::m0126,m0126,4,b,0.722730,0.791804,0.069074,0.791804
pavoque,pavoque::m0126,m0126,5,aI,0.791804,0.970189,0.178385,0.970189
pavoque,pavoque::m0126,m0126,6,v,0.970189,1.017471,0.047282,1.017471
pavoque,pavoque::m0126,m0126,7,e:,1.017471,1.077647,0.060176,1.077647
pavoque,pavoque::m0126,m0126,8,6,1.077647,1.121858,0.044211,1.121858
pavoque,pavoque::m0126,m0126,9,d,1.121858,1.173515,0.051657,1.173515
pavoque,pavoque::m0126,m0126,10,@,1.173515,1.185000,0.011485,1.185000
pavoque,pavoque::m0126,m0126,11,n,1.185000,1.239755,0.054755,1.239755
pavoque,pavoque::m0126,m0126,12,d,1.239755,1.302709,0.062954,1.302709
pavoque,pavoque::m0126,m0126,13,i:,1.302709,1.372388,0.069679,1.372388
pavoque,pavoque::m0126,m0126,14,b,1.372388,1.438754,0.066366,1.438754
pavoque,pavoque::m0126,m0126,15,aI,1.438754,1.590000,0.151246,1.590000
pavoque,pavoque::m0126,m0126,16,n,1.590000,1.645000,0.055000,1.645000
pavoque,pavoque::m0126,m0126,17,@,1.645000,1.746341,0.101341,1.746341
pavoque,pavoque::m0126,m0126,18,_,1.746341,1.904764,0.158423,1.904764
pavoque,pavoque::m0126,m0126,19,?,1.904764,1.945000,0.040236,1.945000
pavoque,pavoque::m0126,m0126,20,a,1.945000,2.012836,0.067836,2.012836
pavoque,pavoque::m0126,m0126,21,p,2.012836,2.195000,0.182164,2.195000
pavoque,pavoque::m0126,m0126,22,v,2.195000,2.210000,0.015000,2.210000
pavoque,pavoque::m0126,m0126,23,E,2.210000,2.285000,0.075000,2.285000
pavoque,pavoque::m0126,m0126,24,k,2.285000,2.367583,0.082583,2.367583
pavoque,pavoque::m0126,m0126,25,s,2.367583,2.470000,0.102417,2.470000
pavoque,pavoque::m0126,m0126,26,@,2.470000,2.506527,0.036527,2.506527
pavoque,pavoque::m0126,m0126,27,l,2.506527,2.555000,0.048473,2.555000
pavoque,pavoque::m0126,m0126,28,n,2.555000,2.604160,0.049160,2.604160
pavoque,pavoque::m0126,m0126,29,t,2.604160,2.644073,0.039913,2.644073
pavoque,pavoque::m0126,m0126,30,g,2.644073,2.696441,0.052368,2.696441
pavoque,pavoque::m0126,m0126,31,@,2.696441,2.790829,0.094388,2.790829
pavoque,pavoque::m0126,m0126,32,g,2.790829,2.856532,0.065703,2.856532
pavoque,pavoque::m0126,m0126,33,R,2.856532,2.970744,0.114212,2.970744
pavoque,pavoque::m0126,m0126,34,E:,2.970744,3.154957,0.184213,3.154957
pavoque,pavoque::m0126,m0126,35,tS,3.154957,3.335000,0.180043,3.335000
pavoque,pavoque::m0126,m0126,36,t,3.335000,3.463821,0.128821,3.463821
pavoque,pavoque::m0126,m0126,37,_,3.463821,4.315000,0.851179,4.315000
pavoque,pavoque::m0127,m0127,1,H#,0.000000,0.573075,0.573075,0.573075
pavoque,pavoque::m0127,m0127,2,d,0.573075,0.612752,0.039677,0.612752
pavoque,pavoque::m0127,m0127,3,a,0.612752,0.685000,0.072248,0.685000
pavoque,pavoque::m0127,m0127,4,s,0.685000,0.762871,0.077871,0.762871
pavoque,pavoque::m0127,m0127,5,g,0.762871,0.812435,0.049564,0.812435
pavoque,pavoque::m0127,m0127,6,@,0.812435,0.875000,0.062565,0.875000
pavoque,pavoque::m0127,m0127,7,S,0.875000,0.961881,0.086881,0.961881
pavoque,pavoque::m0127,m0127,8,t,0.961881,1.010000,0.048119,1.010000
pavoque,pavoque::m0127,m0127,9,aU,1.010000,1.149835,0.139835,1.149835
pavoque,pavoque::m0127,m0127,10,t,1.149835,1.220000,0.070165,1.220000
pavoque,pavoque::m0127,m0127,11,@,1.220000,1.270000,0.050000,1.270000
pavoque,pavoque::m0127,m0127,12,g,1.270000,1.319472,0.049472,1.319472
pavoque,pavoque::m0127,m0127,13,@,1.319472,1.402897,0.083425,1.402897
pavoque,pavoque::m0127,m0127,14,v,1.402897,1.460000,0.057103,1.460000
pavoque,pavoque::m0127,m0127,15,E,1.460000,1.545000,0.085000,1.545000
pavoque,pavoque::m0127,m0127,16,s,1.545000,1.640000,0.095000,1.640000
pavoque,pavoque::m0127,m0127,17,6,1.640000,1.727209,0.087209,1.727209
pavoque,pavoque::m0127,m0127,18,?,1.727209,1.780000,0.052791,1.780000
pavoque,pavoque::m0127,m0127,19,I,1.780000,1.812587,0.032587,1.812587
