source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s
pavoque,pavoque::m0095,m0095,1,H#,0.000000,0.552875,0.552875,0.552875
pavoque,pavoque::m0095,m0095,2,d,0.552875,0.585800,0.032925,0.585800
pavoque,pavoque::m0095,m0095,3,e:,0.585800,0.705000,0.119200,0.705000
pavoque,pavoque::m0095,m0095,4,n,0.705000,0.772754,0.067754,0.772754
pavoque,pavoque::m0095,m0095,5,p,0.772754,0.847833,0.075079,0.847833
pavoque,pavoque::m0095,m0095,6,R,0.847833,0.905000,0.057167,0.905000
pavoque,pavoque::m0095,m0095,7,aI,0.905000,1.092175,0.187175,1.092175
pavoque,pavoque::m0095,m0095,8,s,1.092175,1.219330,0.127155,1.219330
pavoque,pavoque::m0095,m0095,9,n,1.219330,1.260000,0.040670,1.260000
pavoque,pavoque::m0095,m0095,10,a:,1.260000,1.360000,0.100000,1.360000
pavoque,pavoque::m0095,m0095,11,m,1.360000,1.405000,0.045000,1.405000
pavoque,pavoque::m0095,m0095,12,S,1.405000,1.504966,0.099966,1.504966
pavoque,pavoque::m0095,m0095,13,t,1.504966,1.547501,0.042535,1.547501
pavoque,pavoque::m0095,m0095,14,E,1.547501,1.625978,0.078477,1.625978
pavoque,pavoque::m0095,m0095,15,l,1.625978,1.680000,0.054022,1.680000
pavoque,pavoque::m0095,m0095,16,f,1.680000,1.790000,0.110000,1.790000
pavoque,pavoque::m0095,m0095,17,6,1.790000,1.859401,0.069401,1.859401
pavoque,pavoque::m0095,m0095,18,t,1.859401,1.925000,0.065599,1.925000
pavoque,pavoque::m0095,m0095,19,R,1.925000,1.985000,0.060000,1.985000
pavoque,pavoque::m0095,m0095,20,e:,1.985000,2.100000,0.115000,2.100000
pavoque,pavoque::m0095,m0095,21,t,2.100000,2.190000,0.090000,2.190000
pavoque,pavoque::m0095,m0095,22,@,2.190000,2.205000,0.015000,2.205000
pavoque,pavoque::m0095,m0095,23,n,2.205000,2.256835,0.051835,2.256835
pavoque,pavoque::m0095,m0095,24,t,2.256835,2.283863,0.027028,2.283863
pavoque,pavoque::m0095,m0095,25,f,2.283863,2.380000,0.096137,2.380000
pavoque,pavoque::m0095,m0095,26,R,2.380000,2.410000,0.030000,2.410000
pavoque,pavoque::m0095,m0095,27,aU,2.410000,2.556600,0.146600,2.556600
pavoque,pavoque::m0095,m0095,28,Z,2.556600,2.685000,0.128400,2.685000
pavoque,pavoque::m0095,m0095,29,o~,2.685000,2.829951,0.144951,2.829951
pavoque,pavoque::m0095,m0095,30,m,2.829951,2.880000,0.050049,2.880000
pavoque,pavoque::m0095,m0095,31,a:,2.880000,3.000000,0.120000,3.000000
pavoque,pavoque::m0095,m0095,32,R,3.000000,3.080000,0.080000,3.080000
