source_id,utterance_id,source_utterance_id,segment_index,label_original,interval_start_s,interval_end_s,interval_duration_s,endpoint_original_s,source_file,source_blob_sha
pavoque,pavoque::m0082,m0082,1,H#,0.000000,0.455000,0.455000,0.455000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,2,p,0.455000,0.496521,0.041521,0.496521,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,3,l,0.496521,0.564548,0.068027,0.564548,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,4,9,0.564548,0.700000,0.135452,0.700000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,5,ts,0.700000,0.865000,0.165000,0.865000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,6,l,0.865000,0.910000,0.045000,0.910000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,7,I,0.910000,0.981663,0.071663,0.981663,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,8,C,0.981663,1.065208,0.083545,1.065208,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,9,d,1.065208,1.127210,0.062002,1.127210,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,10,R,1.127210,1.180000,0.052790,1.180000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,11,e:,1.180000,1.313388,0.133388,1.313388,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,12,t,1.313388,1.374001,0.060613,1.374001,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,13,?,1.374001,1.378898,0.004897,1.378898,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,14,e:,1.378898,1.433178,0.054280,1.433178,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,15,6,1.433178,1.485000,0.051822,1.485000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,16,d,1.485000,1.574764,0.089764,1.574764,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,17,U,1.574764,1.693644,0.118880,1.693644,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,18,6,1.693644,1.840000,0.146356,1.840000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,19,C,1.840000,2.067757,0.227757,2.067757,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0082,m0082,20,_,2.067757,2.995000,0.927243,2.995000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,1,H#,0.000000,0.305855,0.305855,0.305855,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,2,?,0.305855,0.340000,0.034145,0.340000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,3,e:,0.340000,0.407193,0.067193,0.407193,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,4,6,0.407193,0.500000,0.092807,0.500000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,5,h,0.500000,0.560000,0.060000,0.560000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,6,a,0.560000,0.638733,0.078733,0.638733,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,7,t,0.638733,0.698296,0.059563,0.698296,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,8,?,0.698296,0.712433,0.014137,0.712433,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,9,aI,0.712433,0.790000,0.077567,0.790000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,10,n,0.790000,0.825000,0.035000,0.825000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0083,m0083,11,@,0.825000,0.895000,0.070000,0.895000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
