source_id,source_utterance_id,segment_index,original_label,source_end_s,derived_start_s,derived_duration_s,absolute_start_s,absolute_end_s,normalized_ipa,annotation_provenance,upstream_blob_sha
pavoque,pavoque::spike0016,27,n,2.154066,2.061959,0.092107,54.441959,54.534066,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0016,28,v,2.195,2.154066,0.040934,54.534066,54.575,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0016,29,I,2.299594,2.195,0.104594,54.575,54.679594,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0016,30,l,2.415649,2.299594,0.116055,54.679594,54.795649,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0016,31,s,2.533545,2.415649,0.117896,54.795649,54.913545,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0016,32,t,2.60678,2.533545,0.073235,54.913545,54.98678,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0016,33,_,3.895,2.60678,1.28822,54.98678,56.275,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,1,H#,0.536751,0,0.536751,56.28,56.816751,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,2,?,0.563773,0.536751,0.027022,56.816751,56.843773,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,3,I,0.61,0.563773,0.046227,56.843773,56.89,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,4,C,0.745556,0.61,0.135556,56.89,57.025556,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,5,g,0.809603,0.745556,0.064047,57.025556,57.089603,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
