source_id,utterance_id,segment_index,label_original,start_rel_s,end_rel_s,duration_s
pavoque,pavoque::spike0021,1,H#,0.0,0.304714,0.304714
pavoque,pavoque::spike0021,2,S,0.304714,0.395636,0.090922
pavoque,pavoque::spike0021,3,p,0.395636,0.485223,0.089587
pavoque,pavoque::spike0021,4,R,0.485223,0.507447,0.022224
pavoque,pavoque::spike0021,5,I,0.507447,0.555,0.047553
pavoque,pavoque::spike0021,6,C,0.555,0.665332,0.110332
pavoque,pavoque::spike0021,7,l,0.665332,0.71448,0.049148
pavoque,pavoque::spike0021,8,i:,0.71448,0.796187,0.081707
pavoque,pavoque::spike0021,9,b,0.796187,0.85,0.053813
pavoque,pavoque::spike0021,10,6,0.85,0.935,0.085
pavoque,pavoque::spike0021,11,m,0.935,0.985,0.05
pavoque,pavoque::spike0021,12,a:,0.985,1.043767,0.058767
pavoque,pavoque::spike0021,13,l,1.043767,1.086157,0.04239
pavoque,pavoque::spike0021,14,m,1.086157,1.14,0.053843
pavoque,pavoque::spike0021,15,I,1.14,1.192438,0.052438
pavoque,pavoque::spike0021,16,t,1.192438,1.261223,0.068785
pavoque,pavoque::spike0021,17,?,1.261223,1.285204,0.023981
pavoque,pavoque::spike0021,18,@,1.285204,1.318378,0.033174
pavoque,pavoque::spike0021,19,U,1.318378,1.365682,0.047304
pavoque,pavoque::spike0021,20,b,1.365682,1.425808,0.060126
pavoque,pavoque::spike0021,21,@,1.425808,1.49,0.064192
pavoque,pavoque::spike0021,22,d,1.49,1.563021,0.073021
pavoque,pavoque::spike0021,23,aI,1.563021,1.737359,0.174338
pavoque,pavoque::spike0021,24,j,1.737359,1.765005,0.027646
pavoque,pavoque::spike0021,25,a,1.765005,1.991083,0.226078
pavoque,pavoque::spike0021,26,_,1.991083,3.295,1.303917
pavoque,pavoque::spike0022,1,H#,0.0,0.345,0.345
pavoque,pavoque::spike0022,2,S,0.345,0.486979,0.141979
pavoque,pavoque::spike0022,3,p,0.486979,0.577949,0.09097
pavoque,pavoque::spike0022,4,R,0.577949,0.6,0.022051
pavoque,pavoque::spike0022,5,I,0.6,0.65,0.05
pavoque,pavoque::spike0022,6,C,0.65,0.813064,0.163064
pavoque,pavoque::spike0022,7,l,0.813064,0.865,0.051936
pavoque,pavoque::spike0022,8,i:,0.865,0.985011,0.120011
pavoque,pavoque::spike0022,9,b,0.985011,1.039668,0.054657
pavoque,pavoque::spike0022,10,6,1.039668,1.125,0.085332
pavoque,pavoque::spike0022,11,m,1.125,1.195,0.07
pavoque,pavoque::spike0022,12,a:,1.195,1.272408,0.077408
pavoque,pavoque::spike0022,13,l,1.272408,1.299428,0.02702
pavoque,pavoque::spike0022,14,m,1.299428,1.355,0.055572
pavoque,pavoque::spike0022,15,I,1.355,1.42,0.065
pavoque,pavoque::spike0022,16,t,1.42,1.476902,0.056902
pavoque,pavoque::spike0022,17,p,1.476902,1.64001,0.163108
pavoque,pavoque::spike0022,18,r,1.64001,1.673421,0.033411
pavoque,pavoque::spike0022,19,u:,1.673421,1.795,0.121579
pavoque,pavoque::spike0022,20,d,1.795,1.870336,0.075336
pavoque,pavoque::spike0022,21,@,1.870336,1.91,0.039664
pavoque,pavoque::spike0022,22,n,1.91,2.07,0.16
pavoque,pavoque::spike0022,23,s,2.07,2.315758,0.245758
pavoque,pavoque::spike0022,24,_,2.315758,3.355,1.039242
pavoque,pavoque::spike0023,1,H#,0.0,0.267422,0.267422
pavoque,pavoque::spike0023,2,R,0.267422,0.41,0.142578
pavoque,pavoque::spike0023,3,e:,0.41,0.52065,0.11065
pavoque,pavoque::spike0023,4,t,0.52065,0.595961,0.075311
pavoque,pavoque::spike0023,5,k,0.595961,0.67376,0.077799
pavoque,pavoque::spike0023,6,aI,0.67376,0.760819,0.087059
pavoque,pavoque::spike0023,7,n,0.760819,0.790911,0.030092
pavoque,pavoque::spike0023,8,@,0.790911,0.855,0.064089
pavoque,pavoque::spike0023,9,n,0.855,0.894814,0.039814
pavoque,pavoque::spike0023,10,?,0.894814,0.941939,0.047125
pavoque,pavoque::spike0023,11,U,0.941939,1.08,0.138061
pavoque,pavoque::spike0023,12,n,1.08,1.181541,0.101541
pavoque,pavoque::spike0023,13,z,1.181541,1.26,0.078459
pavoque,pavoque::spike0023,14,I,1.26,1.405,0.145
pavoque,pavoque::spike0023,15,n,1.405,1.588068,0.183068
pavoque,pavoque::spike0023,16,_,1.588068,2.575,0.986932
pavoque,pavoque::spike0024,1,H#,0.0,0.356116,0.356116
pavoque,pavoque::spike0024,2,m,0.356116,0.41,0.053884
pavoque,pavoque::spike0024,3,a,0.41,0.496122,0.086122
pavoque,pavoque::spike0024,4,x,0.496122,0.546664,0.050542
pavoque,pavoque::spike0024,5,m,0.546664,0.615,0.068336
pavoque,pavoque::spike0024,6,a:,0.615,0.689575,0.074575
pavoque,pavoque::spike0024,7,l,0.689575,0.729079,0.039504
pavoque,pavoque::spike0024,8,h,0.729079,0.835972,0.106893
pavoque,pavoque::spike0024,9,a,0.835972,0.936474,0.100502
pavoque,pavoque::spike0024,10,l,0.936474,0.994568,0.058094
pavoque,pavoque::spike0024,11,p,0.994568,1.089836,0.095268
pavoque,pavoque::spike0024,12,l,1.089836,1.13,0.040164
pavoque,pavoque::spike0024,13,a,1.13,1.3,0.17
pavoque,pavoque::spike0024,14,N,1.3,1.390769,0.090769
pavoque,pavoque::spike0024,15,_,1.390769,2.635,1.244231
pavoque,pavoque::spike0025,1,H#,0.0,0.246295,0.246295
pavoque,pavoque::spike0025,2,d,0.246295,0.317905,0.07161
