source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S12_WL_34,ccost_S12_WL_34,57.73,85.61,49.07,3.14,36.54,-4.95,85.66,60.66,63.03,54.56,CCOST_metadata.csv source row 89
ccost_2026,ccost_2026::ccost_S12_ST_123,ccost_S12_ST_123,57.06,68.37,49.32,2.77,19.05,-15.19,71.83,46.83,56.6,36.83,CCOST_metadata.csv source row 90
ccost_2026,ccost_2026::ccost_S13_INT_1,ccost_S13_INT_1,56.1,66.78,46.72,3.24,20.05,-18.1,70.16,45.16,55.64,14.9,CCOST_metadata.csv source row 91
ccost_2026,ccost_2026::ccost_S13_INT_2,ccost_S13_INT_2,55.97,67.32,44.37,3.51,22.95,-17.48,67.77,42.77,55.24,32.77,CCOST_metadata.csv source row 92
ccost_2026,ccost_2026::ccost_S13_INT_3,ccost_S13_INT_3,56.51,68.24,45.76,3.87,22.49,-17.61,68.98,43.98,55.86,44.8,CCOST_metadata.csv source row 93
ccost_2026,ccost_2026::ccost_S13_WL_12,ccost_S13_WL_12,55.78,66.82,11.33,3.42,55.49,-18.19,67.88,42.88,55.32,16.28,CCOST_metadata.csv source row 94
ccost_2026,ccost_2026::ccost_S13_WL_34,ccost_S13_WL_34,55.84,63.48,46.67,2.61,16.81,-15.21,70.52,45.52,55.34,18.5,CCOST_metadata.csv source row 95
ccost_2026,ccost_2026::ccost_S13_ST_123,ccost_S13_ST_123,56.45,65.68,47.81,3.47,17.87,-19.52,66.33,41.33,55.92,31.33,CCOST_metadata.csv source row 96
ccost_2026,ccost_2026::ccost_S14_INT_1,ccost_S14_INT_1,44.97,63.55,21.88,7.74,41.67,-24.67,63.55,38.55,47.68,30.2,CCOST_metadata.csv source row 97
ccost_2026,ccost_2026::ccost_S14_INT_2,ccost_S14_INT_2,44.91,68.44,21.92,7.42,46.53,-13.19,75.33,50.33,53.7,38.75,CCOST_metadata.csv source row 98
ccost_2026,ccost_2026::ccost_S14_INT_3,ccost_S14_INT_3,45.45,61.47,23.32,7.12,38.14,-23.91,64.35,39.35,47.98,31.79,CCOST_metadata.csv source row 99
ccost_2026,ccost_2026::ccost_S14_WL_12,ccost_S14_WL_12,49.41,66.28,23.79,7.54,42.49,-19.84,67.5,42.5,51.47,35,CCOST_metadata.csv source row 100
ccost_2026,ccost_2026::ccost_S14_WL_34,ccost_S14_WL_34,48.56,67.86,26.45,6.53,41.42,-20.76,67.95,42.95,50.51,36.55,CCOST_metadata.csv source row 101
ccost_2026,ccost_2026::ccost_S14_ST_123,ccost_S14_ST_123,48.32,63.26,26.82,7.19,36.45,-23.76,63.95,38.95,49.16,34.11,CCOST_metadata.csv source row 102
ccost_2026,ccost_2026::ccost_S15_INT_1,ccost_S15_INT_1,45.76,71.11,26.96,7.56,44.16,-11.54,81.34,56.34,60.87,45.42,CCOST_metadata.csv source row 103
ccost_2026,ccost_2026::ccost_S15_INT_2,ccost_S15_INT_2,44.71,60.74,27.25,7,33.49,-23.29,60.74,35.74,46.38,32.81,CCOST_metadata.csv source row 104
ccost_2026,ccost_2026::ccost_S15_INT_3,ccost_S15_INT_3,44.76,64.23,18.59,7.99,45.64,-18,64.26,39.26,48.01,30.4,CCOST_metadata.csv source row 105
ccost_2026,ccost_2026::ccost_S15_INT_4,ccost_S15_INT_4,46.3,66.86,18.25,8.28,48.61,-19.2,69.16,44.16,50.94,33.54,CCOST_metadata.csv source row 106
ccost_2026,ccost_2026::ccost_S15_WL_12,ccost_S15_WL_12,44.51,63.54,20.99,10.02,42.55,-20.36,64.3,39.3,50.54,31.97,CCOST_metadata.csv source row 107
ccost_2026,ccost_2026::ccost_S15_WL_34,ccost_S15_WL_34,47.17,67.57,30.46,8.16,37.11,-16.26,68.07,43.07,51.74,37.18,CCOST_metadata.csv source row 108
