source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S15_ST_123,ccost_S15_ST_123,49.37,62.58,32.75,6.35,29.84,-20.92,64,39,49.75,37.49,CCOST_metadata.csv source row 109
ccost_2026,ccost_2026::ccost_S16_INT_1,ccost_S16_INT_1,51.43,73.93,31.67,7.92,42.27,-12.74,74.86,49.86,56.18,41.55,CCOST_metadata.csv source row 110
ccost_2026,ccost_2026::ccost_S16_INT_2,ccost_S16_INT_2,50.53,66.17,33.99,6.32,32.18,-17.8,66.27,41.27,51.24,38.4,CCOST_metadata.csv source row 111
ccost_2026,ccost_2026::ccost_S16_INT_3,ccost_S16_INT_3,52.92,71.79,34.6,7.13,37.19,-13.04,72.98,47.98,55.73,42.09,CCOST_metadata.csv source row 112
ccost_2026,ccost_2026::ccost_S16_WL_12,ccost_S16_WL_12,55.56,69.09,34.04,8.91,35.04,-14.05,69.57,44.57,58.68,40.05,CCOST_metadata.csv source row 113
ccost_2026,ccost_2026::ccost_S16_WL_34,ccost_S16_WL_34,54.23,68.38,35.21,9.11,33.17,-15.3,69.25,44.25,58.13,40.18,CCOST_metadata.csv source row 114
ccost_2026,ccost_2026::ccost_S16_ST_123,ccost_S16_ST_123,56.12,68.34,35.82,7.02,32.53,-18.66,68.37,43.37,57.2,40.25,CCOST_metadata.csv source row 115
ccost_2026,ccost_2026::ccost_S17_INT_1,ccost_S17_INT_1,59.42,73.13,31.71,6.36,41.42,-9.32,78.03,53.03,60.98,46.48,CCOST_metadata.csv source row 116
ccost_2026,ccost_2026::ccost_S17_INT_2,ccost_S17_INT_2,60.04,78.67,33.91,6.84,44.75,-6.17,85.69,60.69,64.85,52.88,CCOST_metadata.csv source row 117
ccost_2026,ccost_2026::ccost_S17_INT_3,ccost_S17_INT_3,58.59,72.87,35.09,6.09,37.78,-11.43,81.9,56.9,61.68,49.93,CCOST_metadata.csv source row 118
ccost_2026,ccost_2026::ccost_S17_WL_12,ccost_S17_WL_12,62.12,79.64,28.61,10.24,51.04,-7.1,81.11,56.11,66.43,44.71,CCOST_metadata.csv source row 119
ccost_2026,ccost_2026::ccost_S17_WL_34,ccost_S17_WL_34,58.56,75.7,32.3,9.48,43.4,-11.01,75.71,50.71,62.1,42.17,CCOST_metadata.csv source row 120
ccost_2026,ccost_2026::ccost_S17_ST_123,ccost_S17_ST_123,58.99,78.52,2.96,7.76,75.56,-7.67,79,54,61.9,45.9,CCOST_metadata.csv source row 121
ccost_2026,ccost_2026::ccost_S18_INT_1,ccost_S18_INT_1,54.78,67.47,35.86,5,31.61,-14.35,68.87,43.87,54.42,41.65,CCOST_metadata.csv source row 122
ccost_2026,ccost_2026::ccost_S18_INT_2,ccost_S18_INT_2,57.57,73.94,36.34,5.24,37.6,-7.17,82.13,57.13,60.96,52.44,CCOST_metadata.csv source row 123
ccost_2026,ccost_2026::ccost_S18_INT_3,ccost_S18_INT_3,57.46,70.46,38.59,4.77,31.87,-13.26,71.14,46.14,56.98,44.36,CCOST_metadata.csv source row 124
ccost_2026,ccost_2026::ccost_S18_WL_12,ccost_S18_WL_12,62.71,76.53,40.48,5.2,36.05,-6.47,76.71,51.71,62.6,43.85,CCOST_metadata.csv source row 125
ccost_2026,ccost_2026::ccost_S18_WL_34,ccost_S18_WL_34,54.52,70.33,33.2,9.06,37.13,-12.64,71.2,46.2,58.63,41.84,CCOST_metadata.csv source row 126
ccost_2026,ccost_2026::ccost_S18_ST_123,ccost_S18_ST_123,57.65,74.42,34.33,5.94,40.09,-13.12,74.44,49.44,58.61,43.74,CCOST_metadata.csv source row 127
ccost_2026,ccost_2026::ccost_S19_INT_1,ccost_S19_INT_1,75.08,84.21,52.51,5.25,31.7,0.05,84.5,59.5,74.81,57.17,CCOST_metadata.csv source row 128
