source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S22_INT_5,ccost_S22_INT_5,64.22,85.11,41.15,7.91,43.96,-0.2,87.85,62.85,69.71,55.38,CCOST_metadata.csv source row 169
ccost_2026,ccost_2026::ccost_S22_INT_6,ccost_S22_INT_6,62.76,90.01,38.57,8.33,51.44,-0.17,90.11,65.11,70.84,55.05,CCOST_metadata.csv source row 170
ccost_2026,ccost_2026::ccost_S22_WL_1,ccost_S22_WL_1,71.55,91.03,38.77,7.36,52.26,-0.02,91.06,66.06,73.86,50.69,CCOST_metadata.csv source row 171
ccost_2026,ccost_2026::ccost_S22_WL_2,ccost_S22_WL_2,70.2,85.69,41.96,8.85,43.73,0.01,85.78,60.78,72.39,46.4,CCOST_metadata.csv source row 172
ccost_2026,ccost_2026::ccost_S22_WL_3,ccost_S22_WL_3,72.81,88.74,45.95,6.36,42.8,0.03,91.47,66.47,74.49,50.61,CCOST_metadata.csv source row 173
ccost_2026,ccost_2026::ccost_S22_WL_4,ccost_S22_WL_4,72.66,85.66,41,7.33,44.66,0.02,86.46,61.46,73.42,48.32,CCOST_metadata.csv source row 174
ccost_2026,ccost_2026::ccost_S22_ST_1,ccost_S22_ST_1,66.45,85.63,42.28,8.73,43.35,-0.43,88.6,63.6,70.62,51.96,CCOST_metadata.csv source row 175
ccost_2026,ccost_2026::ccost_S22_ST_2,ccost_S22_ST_2,67.76,83.97,44.28,8.38,39.69,-0.32,84,59,70.42,51.82,CCOST_metadata.csv source row 176
ccost_2026,ccost_2026::ccost_S22_ST_3,ccost_S22_ST_3,68.5,89.96,42.39,8.8,47.57,-0.03,90.02,65.02,72.3,52.87,CCOST_metadata.csv source row 177
ccost_2026,ccost_2026::ccost_S23_INT_1,ccost_S23_INT_1,68.88,89.29,42.42,8.36,46.88,-0.005,89.31,64.31,72.24,54.27,CCOST_metadata.csv source row 178
