source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S20_WL_4,ccost_S20_WL_4,67.27,91.21,52.61,5.28,38.6,-0.006,92.08,67.08,71.39,60.02,CCOST_metadata.csv source row 149
ccost_2026,ccost_2026::ccost_S20_ST_1,ccost_S20_ST_1,64.64,84.93,54.69,4.95,30.24,-1.24,87.48,62.48,67.56,59.83,CCOST_metadata.csv source row 150
ccost_2026,ccost_2026::ccost_S20_ST_2,ccost_S20_ST_2,62.45,79.78,52.38,4.36,27.4,-9.01,80.29,55.29,62.29,54.5,CCOST_metadata.csv source row 151
ccost_2026,ccost_2026::ccost_S20_ST_3,ccost_S20_ST_3,65.49,86.16,50.18,5.45,35.98,-2.09,86.66,61.66,67.58,59.43,CCOST_metadata.csv source row 152
ccost_2026,ccost_2026::ccost_S21_INT_1,ccost_S21_INT_1,67.14,87.88,42.86,8.39,45.02,-0.01,90.55,65.55,72.44,57.33,CCOST_metadata.csv source row 153
ccost_2026,ccost_2026::ccost_S21_INT_2,ccost_S21_INT_2,64.73,87.68,41.33,8.11,46.35,-0.09,90.23,65.23,71.44,57.27,CCOST_metadata.csv source row 154
ccost_2026,ccost_2026::ccost_S21_INT_3,ccost_S21_INT_3,66.95,91.42,42.88,7.94,48.53,-0.01,92.27,67.27,72.94,59.17,CCOST_metadata.csv source row 155
ccost_2026,ccost_2026::ccost_S21_INT_4,ccost_S21_INT_4,66.49,85.91,45.38,7.38,40.54,-0.23,85.92,60.92,69.37,55.29,CCOST_metadata.csv source row 156
ccost_2026,ccost_2026::ccost_S21_INT_5,ccost_S21_INT_5,65.7,84.62,39.04,7.54,45.58,-1.27,89.1,64.1,70.47,56.13,CCOST_metadata.csv source row 157
ccost_2026,ccost_2026::ccost_S21_WL_1,ccost_S21_WL_1,67.62,85.83,37.66,8.59,48.17,-0.25,86.27,61.27,70.81,50.69,CCOST_metadata.csv source row 158
ccost_2026,ccost_2026::ccost_S21_WL_2,ccost_S21_WL_2,68.18,86.28,40.25,8.4,46.03,-0.02,87.49,62.49,71.58,47.43,CCOST_metadata.csv source row 159
ccost_2026,ccost_2026::ccost_S21_WL_3,ccost_S21_WL_3,65.58,83.24,34.7,10.97,48.54,-2.62,84.16,59.16,70.64,46.89,CCOST_metadata.csv source row 160
ccost_2026,ccost_2026::ccost_S21_WL_4,ccost_S21_WL_4,68.31,87.27,38.78,8.15,48.5,-0.09,87.99,62.99,71.76,47.57,CCOST_metadata.csv source row 161
ccost_2026,ccost_2026::ccost_S21_ST_1,ccost_S21_ST_1,64.96,79.86,42.91,7.8,36.94,-7.12,80.17,55.17,67.04,48.6,CCOST_metadata.csv source row 162
ccost_2026,ccost_2026::ccost_S21_ST_2,ccost_S21_ST_2,62.99,78.16,41.61,7.95,36.55,-8.59,78.16,53.16,65.38,47.41,CCOST_metadata.csv source row 163
ccost_2026,ccost_2026::ccost_S21_ST_3,ccost_S21_ST_3,63.34,77.26,43.13,7.61,34.13,-7.86,78.13,53.13,65.12,48.68,CCOST_metadata.csv source row 164
ccost_2026,ccost_2026::ccost_S22_INT_1,ccost_S22_INT_1,61.72,81.13,38.47,7.67,42.66,0.008,82.76,57.76,65.38,51.36,CCOST_metadata.csv source row 165
ccost_2026,ccost_2026::ccost_S22_INT_2,ccost_S22_INT_2,63.42,85.46,38.96,7.91,46.5,-0.18,85.89,60.89,67.92,53.13,CCOST_metadata.csv source row 166
ccost_2026,ccost_2026::ccost_S22_INT_3,ccost_S22_INT_3,65.26,85.64,40.27,7.9,45.37,-0.19,92.75,67.75,73.15,58.64,CCOST_metadata.csv source row 167
ccost_2026,ccost_2026::ccost_S22_INT_4,ccost_S22_INT_4,63.31,91.21,41.52,6.73,49.68,-0.02,92.69,67.69,71.66,58.73,CCOST_metadata.csv source row 168
