source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S1_INT_1,ccost_S1_INT_1,74.39,93.47,39.85,10.25,53.62,1.56,93.48,68.48,78.63,58.45,CCOST_metadata.csv source row 1
ccost_2026,ccost_2026::ccost_S1_INT_2,ccost_S1_INT_2,72.61,90.36,36.74,9.65,53.61,0.82,90.96,65.96,76.15,57.0,CCOST_metadata.csv source row 2
ccost_2026,ccost_2026::ccost_S1_INT_3,ccost_S1_INT_3,77.64,93.31,44.82,9.72,48.49,3.02,93.32,68.32,80.86,58.95,CCOST_metadata.csv source row 3
ccost_2026,ccost_2026::ccost_S1_INT_4,ccost_S1_INT_4,70.81,88.08,36.51,9.94,51.56,0.7,89.86,64.86,74.95,53.84,CCOST_metadata.csv source row 4
ccost_2026,ccost_2026::ccost_S1_WL_12,ccost_S1_WL_12,83.03,92.12,52.05,5.79,40.07,1.49,92.4,67.4,82.37,51.61,CCOST_metadata.csv source row 5
ccost_2026,ccost_2026::ccost_S1_WL_34,ccost_S1_WL_34,78.57,90.58,43.34,6.74,47.25,1.34,90.73,65.73,78.67,48.94,CCOST_metadata.csv source row 6
ccost_2026,ccost_2026::ccost_S1_ST_123,ccost_S1_ST_123,74.85,90.73,44.43,7.88,46.3,0.42,90.76,65.76,76.67,54.29,CCOST_metadata.csv source row 7
ccost_2026,ccost_2026::ccost_S2_INT_1,ccost_S2_INT_1,73.98,91.18,57.34,6.24,33.83,0.41,93.99,68.99,76.42,65.2,CCOST_metadata.csv source row 8
ccost_2026,ccost_2026::ccost_S2_INT_2,ccost_S2_INT_2,72.48,87.18,57.04,6.71,30.14,0.44,87.57,62.57,73.55,61.25,CCOST_metadata.csv source row 9
ccost_2026,ccost_2026::ccost_S2_INT_3,ccost_S2_INT_3,73.42,87.01,57.63,5.91,29.38,0.15,88.94,63.94,74.34,61.98,CCOST_metadata.csv source row 10
ccost_2026,ccost_2026::ccost_S2_INT_4,ccost_S2_INT_4,71.33,87.37,57.29,6.19,30.07,0.71,89.56,64.56,72.93,62.2,CCOST_metadata.csv source row 11
