source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S6_ST_123,ccost_S6_ST_123,64.96,79.92,42.04,7.63,37.88,-2.55,80.44,55.44,66.7,48.88,CCOST_metadata.csv source row 49
ccost_2026,ccost_2026::ccost_S7_INT_1,ccost_S7_INT_1,45.78,68.74,25.83,7.75,42.92,-17.75,69.16,44.16,50.33,36.22,CCOST_metadata.csv source row 50
ccost_2026,ccost_2026::ccost_S7_INT_2,ccost_S7_INT_2,44.9,71.54,24.74,7.46,46.8,-17.76,72.92,47.92,51.7,38.57,CCOST_metadata.csv source row 51
ccost_2026,ccost_2026::ccost_S7_INT_3,ccost_S7_INT_3,56.95,76.18,38.74,6.69,37.43,-7.6,84.26,59.26,63.41,52.43,CCOST_metadata.csv source row 52
ccost_2026,ccost_2026::ccost_S7_INT_4,ccost_S7_INT_4,50.39,68.86,37.85,5.93,31.01,-17.5,70.25,45.25,52.52,42.35,CCOST_metadata.csv source row 53
ccost_2026,ccost_2026::ccost_S7_WL_12,ccost_S7_WL_12,55.07,70.62,37.09,6.71,33.54,-13.47,71.04,46.04,56.36,39.97,CCOST_metadata.csv source row 54
ccost_2026,ccost_2026::ccost_S7_WL_34,ccost_S7_WL_34,54.64,69.56,38.48,7.09,31.08,-10.58,74.24,49.24,57.22,41.77,CCOST_metadata.csv source row 55
ccost_2026,ccost_2026::ccost_S7_ST_123,ccost_S7_ST_123,56.12,70.45,37.41,6.97,33.04,-11.8,74.59,49.59,57.88,42.72,CCOST_metadata.csv source row 56
ccost_2026,ccost_2026::ccost_S8_INT_1,ccost_S8_INT_1,53.77,70.27,36.03,8.07,34.25,-11.19,79.56,54.56,60.06,44.31,CCOST_metadata.csv source row 57
ccost_2026,ccost_2026::ccost_S8_INT_2,ccost_S8_INT_2,51.98,65.48,37.29,6.94,28.19,-14.5,71.95,46.95,55.04,41.79,CCOST_metadata.csv source row 58
ccost_2026,ccost_2026::ccost_S8_INT_3,ccost_S8_INT_3,57.8,78.1,38.45,6.12,39.65,-9.29,78.28,53.28,60.16,48.83,CCOST_metadata.csv source row 59
ccost_2026,ccost_2026::ccost_S8_INT_4,ccost_S8_INT_4,57.81,75.49,38.69,6.64,36.79,-9.17,75.72,50.72,59.42,46.68,CCOST_metadata.csv source row 60
ccost_2026,ccost_2026::ccost_S8_INT_5,ccost_S8_INT_5,59.14,75.2,41.17,6.46,34.03,-9.31,75.59,50.59,59.71,46.26,CCOST_metadata.csv source row 61
ccost_2026,ccost_2026::ccost_S8_WL_12,ccost_S8_WL_12,56.19,82.71,29.25,10.11,53.46,-3.34,88.65,63.65,68.16,50.34,CCOST_metadata.csv source row 62
ccost_2026,ccost_2026::ccost_S8_WL_34,ccost_S8_WL_34,55.82,72.32,29.97,9.45,42.35,-14.46,76.27,51.27,60.03,41.57,CCOST_metadata.csv source row 63
ccost_2026,ccost_2026::ccost_S8_ST_123,ccost_S8_ST_123,53.65,77.79,32.98,7.42,44.82,-13.82,78.63,53.63,58.89,45.38,CCOST_metadata.csv source row 64
ccost_2026,ccost_2026::ccost_S9_WL_12,ccost_S9_WL_12,58.97,73.26,39.86,6.54,33.4,-12.57,73.26,48.26,59.95,45.31,CCOST_metadata.csv source row 65
ccost_2026,ccost_2026::ccost_S9_WL_34,ccost_S9_WL_34,59.68,72.34,41.99,6.46,30.35,-11.64,73.01,48.01,60.26,45.7,CCOST_metadata.csv source row 66
ccost_2026,ccost_2026::ccost_S9_ST_123,ccost_S9_ST_123,58.72,86.81,40.89,6.35,45.92,-1.52,89.33,64.33,66.82,56.26,CCOST_metadata.csv source row 67
ccost_2026,ccost_2026::ccost_S9_INT_1,ccost_S9_INT_1,51.92,71.61,36.54,6.42,35.07,-17.39,71.85,46.85,54.61,42.99,CCOST_metadata.csv source row 68
