source_id,recording_id,source_recording_id,speaker_id,task,interviewer_gender,audio_quality_grade,snr_db,audio_quality_issues,audio_quality_comment,wordlist_order,pace_condition,misread_frequency,total_duration_s,labeled_duration_s,num_intervals,provenance
ccost_2026,ccost_2026::ccost_S1_INT_1,ccost_S1_INT_1,ccost_2026::S1,INT,F,A,20.19,Clipping;,,,,none,336.16,174.51,597,CCOST_metadata.csv source row 1
ccost_2026,ccost_2026::ccost_S1_INT_2,ccost_S1_INT_2,ccost_2026::S1,INT,F,A,19.15,Clipping;,,,,none,344.11,178.79,677,CCOST_metadata.csv source row 2
ccost_2026,ccost_2026::ccost_S1_INT_3,ccost_S1_INT_3,ccost_2026::S1,INT,F,A,21.91,Clipping;,,,,none,209.44,103.22,387,CCOST_metadata.csv source row 3
ccost_2026,ccost_2026::ccost_S1_INT_4,ccost_S1_INT_4,ccost_2026::S1,INT,F,A,21.11,Clipping;,,,,none,309.84,202.0,766,CCOST_metadata.csv source row 4
ccost_2026,ccost_2026::ccost_S1_WL_12,ccost_S1_WL_12,ccost_2026::S1,WL,F,A,30.76,Clipping;,,A,A,none,242.05,104.77,211,CCOST_metadata.csv source row 5
ccost_2026,ccost_2026::ccost_S1_WL_34,ccost_S1_WL_34,ccost_2026::S1,WL,F,A,29.74,Clipping;,,A,A,none,259.46,108.19,205,CCOST_metadata.csv source row 6
ccost_2026,ccost_2026::ccost_S1_ST_123,ccost_S1_ST_123,ccost_2026::S1,ST,F,A,22.38,Clipping;,,,A,none,135.37,99.43,300,CCOST_metadata.csv source row 7
ccost_2026,ccost_2026::ccost_S2_INT_1,ccost_S2_INT_1,ccost_2026::S2,INT,F,A,11.22,Clipping;,,,,few,227.08,78.32,221,CCOST_metadata.csv source row 8
ccost_2026,ccost_2026::ccost_S2_INT_2,ccost_S2_INT_2,ccost_2026::S2,INT,F,A,12.3,Clipping;,,,,few,174.74,78.88,199,CCOST_metadata.csv source row 9
ccost_2026,ccost_2026::ccost_S2_INT_3,ccost_S2_INT_3,ccost_2026::S2,INT,F,A,12.36,Clipping;,,,,few,94.81,31.54,110,CCOST_metadata.csv source row 10
ccost_2026,ccost_2026::ccost_S2_INT_4,ccost_S2_INT_4,ccost_2026::S2,INT,F,A,10.73,Clipping;,,,,few,181.68,63.0,201,CCOST_metadata.csv source row 11
ccost_2026,ccost_2026::ccost_S2_INT_5,ccost_S2_INT_5,ccost_2026::S2,INT,F,A,12.45,Clipping;,,,,few,251.94,89.79,290,CCOST_metadata.csv source row 12
ccost_2026,ccost_2026::ccost_S2_INT_6,ccost_S2_INT_6,ccost_2026::S2,INT,F,A,10.98,Clipping;,,,,few,181.7,70.57,218,CCOST_metadata.csv source row 13
