source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S9_INT_2,ccost_S9_INT_2,52.9,67.42,36.64,5.9,30.77,-18.34,68.84,43.84,53.2,41.58,CCOST_metadata.csv source row 69
ccost_2026,ccost_2026::ccost_S9_INT_3,ccost_S9_INT_3,54.25,68.84,38.7,5.89,30.14,-17.2,69.12,44.12,54.4,42.2,CCOST_metadata.csv source row 70
ccost_2026,ccost_2026::ccost_S9_INT_4,ccost_S9_INT_4,55.31,71.84,38.67,6.4,33.16,-15.06,71.97,46.97,56.11,44.33,CCOST_metadata.csv source row 71
ccost_2026,ccost_2026::ccost_S10_WL_12,ccost_S10_WL_12,49.53,66.26,32.42,7,33.85,-18.62,66.34,41.34,51.36,37.62,CCOST_metadata.csv source row 72
ccost_2026,ccost_2026::ccost_S10_WL_34,ccost_S10_WL_34,46.99,61.67,31.61,6.91,30.07,-22.27,63.59,38.59,48.77,35.97,CCOST_metadata.csv source row 73
ccost_2026,ccost_2026::ccost_S10_ST_123,ccost_S10_ST_123,47.66,63.69,33.7,5.84,29.99,-22.81,64.62,39.62,48.5,37.82,CCOST_metadata.csv source row 74
ccost_2026,ccost_2026::ccost_S10_INT_1,ccost_S10_INT_1,51.75,66.42,33.34,6.5,33.07,-18.02,67.27,42.27,52.53,38.74,CCOST_metadata.csv source row 75
ccost_2026,ccost_2026::ccost_S10_INT_2,ccost_S10_INT_2,51.97,82.24,32.84,7.14,49.4,-10.76,82.49,57.49,60.36,48.12,CCOST_metadata.csv source row 76
ccost_2026,ccost_2026::ccost_S10_INT_3,ccost_S10_INT_3,50.76,67.66,32.3,6.98,35.36,-17.1,68.06,43.06,52.58,39.67,CCOST_metadata.csv source row 77
ccost_2026,ccost_2026::ccost_S10_INT_4,ccost_S10_INT_4,52.14,68.56,33.63,6.5,34.92,-16.84,69.52,44.52,53.52,40.42,CCOST_metadata.csv source row 78
ccost_2026,ccost_2026::ccost_S11_WL_12,ccost_S11_WL_12,54.66,73.97,31.83,10.74,42.14,-12.41,80.41,55.41,62.97,43.51,CCOST_metadata.csv source row 79
ccost_2026,ccost_2026::ccost_S11_WL_34,ccost_S11_WL_34,56.11,74.38,32.46,10.37,41.93,-11.72,74.86,49.86,61.33,42.05,CCOST_metadata.csv source row 80
ccost_2026,ccost_2026::ccost_S11_ST_123,ccost_S11_ST_123,56.71,72.18,37.7,7.36,34.48,-14.02,72.21,47.21,58.63,43.07,CCOST_metadata.csv source row 81
ccost_2026,ccost_2026::ccost_S11_INT_1,ccost_S11_INT_1,54.64,82.35,1.64,7.55,80.71,-10.28,82.93,57.93,61.72,49.02,CCOST_metadata.csv source row 82
ccost_2026,ccost_2026::ccost_S11_INT_2,ccost_S11_INT_2,54.12,71.96,32.02,7.2,39.94,-12.43,81.03,56.03,60.2,47.83,CCOST_metadata.csv source row 83
ccost_2026,ccost_2026::ccost_S12_INT_1,ccost_S12_INT_1,56.15,79.29,46.31,3.72,32.98,-10.1,79.24,54.24,57.93,52.06,CCOST_metadata.csv source row 84
ccost_2026,ccost_2026::ccost_S12_INT_2,ccost_S12_INT_2,56.46,80.99,45.71,3.5,35.28,-4.11,86.43,61.43,64.09,54.97,CCOST_metadata.csv source row 85
ccost_2026,ccost_2026::ccost_S12_INT_3,ccost_S12_INT_3,56.96,71.98,46.72,3.56,25.27,-13.91,76.07,51.07,56.95,50.89,CCOST_metadata.csv source row 86
ccost_2026,ccost_2026::ccost_S12_INT_4,ccost_S12_INT_4,58.02,70.8,47.97,3.88,22.84,-14.46,73.92,48.92,57.52,49.18,CCOST_metadata.csv source row 87
ccost_2026,ccost_2026::ccost_S12_WL_12,ccost_S12_WL_12,58.12,83.67,49.03,3.48,34.64,-3.92,86.11,61.11,63.81,54.37,CCOST_metadata.csv source row 88
