source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S24_WL_2,ccost_S24_WL_2,66.21,82.96,44.32,5.86,38.64,-5.57,82.97,57.97,67.14,51.2,CCOST_metadata.csv source row 196
ccost_2026,ccost_2026::ccost_S24_WL_3,ccost_S24_WL_3,67.61,83.27,48.4,5.27,34.87,-4.32,85.25,60.25,68.43,53.33,CCOST_metadata.csv source row 197
ccost_2026,ccost_2026::ccost_S24_WL_4,ccost_S24_WL_4,68.01,80.11,43.69,6.82,36.43,-4.2,89.32,64.32,70.8,55.48,CCOST_metadata.csv source row 198
ccost_2026,ccost_2026::ccost_S24_ST_1,ccost_S24_ST_1,64.5,78.98,47.75,5.95,31.23,-5.39,79,54,65.43,49.81,CCOST_metadata.csv source row 199
ccost_2026,ccost_2026::ccost_S24_ST_2,ccost_S24_ST_2,63.66,83.97,44.6,5.49,39.37,-6.39,84.3,59.3,65.65,52.97,CCOST_metadata.csv source row 200
ccost_2026,ccost_2026::ccost_S24_ST_3,ccost_S24_ST_3,65.93,82.69,47.33,5.35,35.36,-4.69,84.8,59.8,67.03,55.22,CCOST_metadata.csv source row 201
ccost_2026,ccost_2026::ccost_S25_INT_1,ccost_S25_INT_1,64.41,87.27,43.81,6.1,43.47,-0.59,88.32,63.32,68.28,57.79,CCOST_metadata.csv source row 202
ccost_2026,ccost_2026::ccost_S25_INT_2,ccost_S25_INT_2,64.91,89.44,44.33,6.04,45.11,-0.08,92.42,67.42,71.67,60.42,CCOST_metadata.csv source row 203
ccost_2026,ccost_2026::ccost_S25_INT_3,ccost_S25_INT_3,65.34,89.49,44.19,6.39,45.3,-0.06,92.66,67.66,72.1,61.09,CCOST_metadata.csv source row 204
ccost_2026,ccost_2026::ccost_S25_INT_4,ccost_S25_INT_4,65.78,88.71,43.99,6.45,44.72,-0.41,93.07,68.07,72.38,61.29,CCOST_metadata.csv source row 205
ccost_2026,ccost_2026::ccost_S25_INT_5,ccost_S25_INT_5,64.49,86.61,43.62,6.14,42.99,-0.06,92.52,67.52,71.32,61.16,CCOST_metadata.csv source row 206
ccost_2026,ccost_2026::ccost_S25_INT_6,ccost_S25_INT_6,63.6,86.47,42.17,6.68,44.3,-0.07,92.78,67.78,72.38,61.52,CCOST_metadata.csv source row 207
ccost_2026,ccost_2026::ccost_S25_WL_1,ccost_S25_WL_1,64.4,82.41,43.65,5.03,38.76,-0.9,90.71,65.71,70.17,56.6,CCOST_metadata.csv source row 208
ccost_2026,ccost_2026::ccost_S25_WL_2,ccost_S25_WL_2,65.74,84.56,43.54,4.76,41.03,-2.37,90.43,65.43,69.95,54.44,CCOST_metadata.csv source row 209
ccost_2026,ccost_2026::ccost_S25_WL_3,ccost_S25_WL_3,65.04,87.84,49.3,4.7,38.53,-0.07,88.9,63.9,68.27,54.31,CCOST_metadata.csv source row 210
ccost_2026,ccost_2026::ccost_S25_WL_4,ccost_S25_WL_4,64.13,80.2,41.31,4.61,38.89,-4.07,85.21,60.21,65.36,50.41,CCOST_metadata.csv source row 211
ccost_2026,ccost_2026::ccost_S25_ST_1,ccost_S25_ST_1,63.35,80.91,44.12,5.69,36.79,-4.58,92.89,67.89,72.03,60.74,CCOST_metadata.csv source row 212
ccost_2026,ccost_2026::ccost_S25_ST_2,ccost_S25_ST_2,62.42,85.27,43.52,5.93,41.75,-2.34,88.47,63.47,68.05,57.31,CCOST_metadata.csv source row 213
