source_id,utterance_id,segment_id,segment_index,original_label,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,start_derivation,end_provenance,annotation_scope,source_blob_sha
pavoque,pavoque::m0168,pavoque::m0168::seg001,1,H#,,0.000000,0.442112,0.442112,829.800000,830.242112,previous_source_endpoint_or_utterance_zero,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg002,2,b,,0.442112,0.510270,0.068158,830.242112,830.310270,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg003,3,aI,,0.510270,0.645000,0.134730,830.310270,830.445000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg004,4,m,,0.645000,0.700000,0.055000,830.445000,830.500000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg005,5,e:,,0.700000,0.770000,0.070000,830.500000,830.570000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg006,6,C,,0.770000,0.930000,0.160000,830.570000,830.730000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg007,7,a:,,0.930000,1.080000,0.150000,830.730000,830.880000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg008,8,n,,1.080000,1.125000,0.045000,830.880000,830.925000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg009,9,I,,1.125000,1.190000,0.065000,830.925000,830.990000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg010,10,S,,1.190000,1.276597,0.086597,830.990000,831.076597,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg011,11,g,,1.276597,1.330000,0.053403,831.076597,831.130000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg012,12,@,,1.330000,1.375000,0.045000,831.130000,831.175000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg013,13,S,,1.375000,1.478618,0.103618,831.175000,831.278618,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg014,14,t,,1.478618,1.535000,0.056382,831.278618,831.335000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0168,pavoque::m0168::seg015,15,OY,,1.535000,1.665000,0.130000,831.335000,831.465000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
