source_id,recording_id,source_recording_id,speaker_id,source_speaker_id,task
ccost_2026,ccost_2026::ccost_S12_WL_34,ccost_S12_WL_34,ccost_2026::S12,12,word_list
ccost_2026,ccost_2026::ccost_S12_ST_123,ccost_S12_ST_123,ccost_2026::S12,12,sentence_reading
ccost_2026,ccost_2026::ccost_S13_INT_1,ccost_S13_INT_1,ccost_2026::S13,13,interview
ccost_2026,ccost_2026::ccost_S13_INT_2,ccost_S13_INT_2,ccost_2026::S13,13,interview
ccost_2026,ccost_2026::ccost_S13_INT_3,ccost_S13_INT_3,ccost_2026::S13,13,interview
ccost_2026,ccost_2026::ccost_S13_WL_12,ccost_S13_WL_12,ccost_2026::S13,13,word_list
ccost_2026,ccost_2026::ccost_S13_WL_34,ccost_S13_WL_34,ccost_2026::S13,13,word_list
ccost_2026,ccost_2026::ccost_S13_ST_123,ccost_S13_ST_123,ccost_2026::S13,13,sentence_reading
ccost_2026,ccost_2026::ccost_S14_INT_1,ccost_S14_INT_1,ccost_2026::S14,14,interview
ccost_2026,ccost_2026::ccost_S14_INT_2,ccost_S14_INT_2,ccost_2026::S14,14,interview
ccost_2026,ccost_2026::ccost_S14_INT_3,ccost_S14_INT_3,ccost_2026::S14,14,interview
ccost_2026,ccost_2026::ccost_S14_WL_12,ccost_S14_WL_12,ccost_2026::S14,14,word_list
ccost_2026,ccost_2026::ccost_S14_WL_34,ccost_S14_WL_34,ccost_2026::S14,14,word_list
ccost_2026,ccost_2026::ccost_S14_ST_123,ccost_S14_ST_123,ccost_2026::S14,14,sentence_reading
ccost_2026,ccost_2026::ccost_S15_INT_1,ccost_S15_INT_1,ccost_2026::S15,15,interview
ccost_2026,ccost_2026::ccost_S15_INT_2,ccost_S15_INT_2,ccost_2026::S15,15,interview
ccost_2026,ccost_2026::ccost_S15_INT_3,ccost_S15_INT_3,ccost_2026::S15,15,interview
ccost_2026,ccost_2026::ccost_S15_INT_4,ccost_S15_INT_4,ccost_2026::S15,15,interview
ccost_2026,ccost_2026::ccost_S15_WL_12,ccost_S15_WL_12,ccost_2026::S15,15,word_list
ccost_2026,ccost_2026::ccost_S15_WL_34,ccost_S15_WL_34,ccost_2026::S15,15,word_list
ccost_2026,ccost_2026::ccost_S15_ST_123,ccost_S15_ST_123,ccost_2026::S15,15,sentence_reading
ccost_2026,ccost_2026::ccost_S16_INT_1,ccost_S16_INT_1,ccost_2026::S16,16,interview
ccost_2026,ccost_2026::ccost_S16_INT_2,ccost_S16_INT_2,ccost_2026::S16,16,interview
ccost_2026,ccost_2026::ccost_S16_INT_3,ccost_S16_INT_3,ccost_2026::S16,16,interview
ccost_2026,ccost_2026::ccost_S16_WL_12,ccost_S16_WL_12,ccost_2026::S16,16,word_list
ccost_2026,ccost_2026::ccost_S16_WL_34,ccost_S16_WL_34,ccost_2026::S16,16,word_list
ccost_2026,ccost_2026::ccost_S16_ST_123,ccost_S16_ST_123,ccost_2026::S16,16,sentence_reading
ccost_2026,ccost_2026::ccost_S17_INT_1,ccost_S17_INT_1,ccost_2026::S17,17,interview
ccost_2026,ccost_2026::ccost_S17_INT_2,ccost_S17_INT_2,ccost_2026::S17,17,interview
ccost_2026,ccost_2026::ccost_S17_INT_3,ccost_S17_INT_3,ccost_2026::S17,17,interview
