source_id,recording_id,source_recording_id,speaker_id,source_speaker_id,task
ccost_2026,ccost_2026::ccost_S6_ST_123,ccost_S6_ST_123,ccost_2026::S6,6,sentence_reading
ccost_2026,ccost_2026::ccost_S7_INT_1,ccost_S7_INT_1,ccost_2026::S7,7,interview
ccost_2026,ccost_2026::ccost_S7_INT_2,ccost_S7_INT_2,ccost_2026::S7,7,interview
ccost_2026,ccost_2026::ccost_S7_INT_3,ccost_S7_INT_3,ccost_2026::S7,7,interview
ccost_2026,ccost_2026::ccost_S7_INT_4,ccost_S7_INT_4,ccost_2026::S7,7,interview
ccost_2026,ccost_2026::ccost_S7_WL_12,ccost_S7_WL_12,ccost_2026::S7,7,word_list
ccost_2026,ccost_2026::ccost_S7_WL_34,ccost_S7_WL_34,ccost_2026::S7,7,word_list
ccost_2026,ccost_2026::ccost_S7_ST_123,ccost_S7_ST_123,ccost_2026::S7,7,sentence_reading
ccost_2026,ccost_2026::ccost_S8_INT_1,ccost_S8_INT_1,ccost_2026::S8,8,interview
ccost_2026,ccost_2026::ccost_S8_INT_2,ccost_S8_INT_2,ccost_2026::S8,8,interview
ccost_2026,ccost_2026::ccost_S8_INT_3,ccost_S8_INT_3,ccost_2026::S8,8,interview
ccost_2026,ccost_2026::ccost_S8_INT_4,ccost_S8_INT_4,ccost_2026::S8,8,interview
ccost_2026,ccost_2026::ccost_S8_INT_5,ccost_S8_INT_5,ccost_2026::S8,8,interview
ccost_2026,ccost_2026::ccost_S8_WL_12,ccost_S8_WL_12,ccost_2026::S8,8,word_list
ccost_2026,ccost_2026::ccost_S8_WL_34,ccost_S8_WL_34,ccost_2026::S8,8,word_list
ccost_2026,ccost_2026::ccost_S8_ST_123,ccost_S8_ST_123,ccost_2026::S8,8,sentence_reading
ccost_2026,ccost_2026::ccost_S9_WL_12,ccost_S9_WL_12,ccost_2026::S9,9,word_list
ccost_2026,ccost_2026::ccost_S9_WL_34,ccost_S9_WL_34,ccost_2026::S9,9,word_list
ccost_2026,ccost_2026::ccost_S9_ST_123,ccost_S9_ST_123,ccost_2026::S9,9,sentence_reading
ccost_2026,ccost_2026::ccost_S9_INT_1,ccost_S9_INT_1,ccost_2026::S9,9,interview
ccost_2026,ccost_2026::ccost_S9_INT_2,ccost_S9_INT_2,ccost_2026::S9,9,interview
ccost_2026,ccost_2026::ccost_S9_INT_3,ccost_S9_INT_3,ccost_2026::S9,9,interview
ccost_2026,ccost_2026::ccost_S9_INT_4,ccost_S9_INT_4,ccost_2026::S9,9,interview
ccost_2026,ccost_2026::ccost_S10_WL_12,ccost_S10_WL_12,ccost_2026::S10,10,word_list
ccost_2026,ccost_2026::ccost_S10_WL_34,ccost_S10_WL_34,ccost_2026::S10,10,word_list
ccost_2026,ccost_2026::ccost_S10_ST_123,ccost_S10_ST_123,ccost_2026::S10,10,sentence_reading
ccost_2026,ccost_2026::ccost_S10_INT_1,ccost_S10_INT_1,ccost_2026::S10,10,interview
ccost_2026,ccost_2026::ccost_S10_INT_2,ccost_S10_INT_2,ccost_2026::S10,10,interview
ccost_2026,ccost_2026::ccost_S10_INT_3,ccost_S10_INT_3,ccost_2026::S10,10,interview
ccost_2026,ccost_2026::ccost_S10_INT_4,ccost_S10_INT_4,ccost_2026::S10,10,interview
ccost_2026,ccost_2026::ccost_S11_WL_12,ccost_S11_WL_12,ccost_2026::S11,11,word_list
ccost_2026,ccost_2026::ccost_S11_WL_34,ccost_S11_WL_34,ccost_2026::S11,11,word_list
ccost_2026,ccost_2026::ccost_S11_ST_123,ccost_S11_ST_123,ccost_2026::S11,11,sentence_reading
ccost_2026,ccost_2026::ccost_S11_INT_1,ccost_S11_INT_1,ccost_2026::S11,11,interview
ccost_2026,ccost_2026::ccost_S11_INT_2,ccost_S11_INT_2,ccost_2026::S11,11,interview
ccost_2026,ccost_2026::ccost_S12_INT_1,ccost_S12_INT_1,ccost_2026::S12,12,interview
ccost_2026,ccost_2026::ccost_S12_INT_2,ccost_S12_INT_2,ccost_2026::S12,12,interview
ccost_2026,ccost_2026::ccost_S12_INT_3,ccost_S12_INT_3,ccost_2026::S12,12,interview
ccost_2026,ccost_2026::ccost_S12_INT_4,ccost_S12_INT_4,ccost_2026::S12,12,interview
ccost_2026,ccost_2026::ccost_S12_WL_12,ccost_S12_WL_12,ccost_2026::S12,12,word_list
