source_id,source_file,n_rows,n_columns,original_variables
cox_dideriksen_kerenportnoy_2023_danish_ids,cox_dideriksen_kerenportnoy_2023_danish_ids__model_parameters_thirty_sims.csv,60,7,Unnamed: 0 | seed | Estimate | Est.Error | Q2.5 | Q97.5 | parameters
cox_dideriksen_kerenportnoy_2023_danish_ids,cox_dideriksen_kerenportnoy_2023_danish_ids__utt_by_utt_control_data.csv,8618,20,Unnamed: 0 | filename | voicedcount | npause | originaldur | speakingtot | speakingrate | articulationrate | asd | minF0 | maxF0 | meanF0 | rangeF0 | q75F0 | q25F0 | medianF0 | quan_range | Subject | SpeechStyle | VocNum
cox_dideriksen_kerenportnoy_2023_danish_ids,cox_dideriksen_kerenportnoy_2023_danish_ids__utt_by_utt_data.csv,22033,22,filename | voicedcount | npause | originaldur | speakingtot | speakingrate | articulationrate | asd | minF0 | maxF0 | meanF0 | rangeF0 | q75F0 | q25F0 | medianF0 | quan_range | Subject | SpeechStyle | ChildGender | ChildAge | Education | First_child
mitra_dutta_2023_bengali_english,mitra_dutta_2023_bengali_english__RCode_formant_data_5.csv,2333,19,Gender | Subject | Task | FileName | Word | Context | Vowel | F1_5 | F2_5 | F1_15 | F2_15 | F1_25 | F2_25 | F1_35 | F2_35 | F1_45 | F2_45 | Vowel_Duration | F1_mid
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_Persson_2023_L1_vowels_wDistrOutliers.csv,50080,17,Talker | Age | Gender | category | Transcribed_vowel | Word | Token | Trial | Location | Duration | SR | F0 | F1 | F2 | F3 | Quantity | Unreliable_measurement
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_F0_no2_repaired.csv,275,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_F0_no3_repaired.csv,1095,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_F0_repaired.csv,300,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F0.mean
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_F0_to_repair.csv,300,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F0
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_F0_to_repair_no2.csv,275,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_F0_to_repair_no3.csv,1095,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_F3_to_repair.csv,608,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_SW048_backvowels_repaired.csv,100,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_SW048_backvowels_to_repair.csv,100,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_allCuesvowels_repairedF0.csv,2079,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_allCuesvowels_repairedF0Dur.csv,2160,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_allCuesvowels_to_repair.csv,2160,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_female_backvowels_repaired.csv,170,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_female_backvowels_to_repair.csv,170,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_F0_repaired.csv,1355,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F0
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_F0_to_repair.csv,1500,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F0
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_SW032_repaired.csv,50,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_SW032_to_repair.csv,168,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_allCuesvowels_repaired.csv,2458,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_allCuesvowels_to_repair.csv,2458,13,Talker | Vowel | Token | Trial | Location | Quantity | F0 | F1 | F2 | F3 | Duration | cumulative_probability | outlier_source
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_backvowels_repaired.csv,240,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_male_backvowels_to_repair.csv,240,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | F3
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_vowels_repaired.csv,781,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | cumulative_probability_F1F2
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_corrected-vowel-data_repair-files_Persson_2023_L1_vowels_to_repair.csv,781,9,Talker | Vowel | Token | Trial | Location | Quantity | F1 | F2 | cumulative_probability_F1F2
swehvd_2023_2024,swehvd_2023_2024__data_phonetic_vowel_statistics_Published_databases_Persson-2023_raw-formant-data_vowel_formants_swe_summary_native.csv,4730,1,Filename;Word;Vowel;Token;Preceding Phone;Following Phone;Begin Time (s);End Time (s);Duration (s);F0.mean;F1_35;F1_50;F1_65;F2_35;F2_50;F2_65;F3_35;F3_50;F3_65;Date;Settings;Praat Version;OS;;
pavoque,pavoque_segments.csv,232958,7,style | prompt | segment | duration_s | prev | next | is_vowel
