bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S30_INT_1,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,19.64,Clipping;,,,,,many,,,294.84,122.82,442,62.69,85.38,36.55,8.79,48.83,0.53,91.1,66.1,71.97,52.33,Sep2022_1_a1_LT1,Sep2022_1_LT1
ccost_S30_INT_2,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,18.34,Clipping;,,,,,many,,,316.97,132.93,492,60.82,80.66,36.09,8.49,44.57,0.06,90.17,65.17,70.16,51.82,Sep2022_1_a2_LT1,Sep2022_1_LT1
ccost_S30_INT_3,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,18.31,Clipping;,,,,,many,,,405.49,177.54,654,60.69,82.4,34.48,8.63,47.92,0.13,88.71,63.71,69.25,50.93,Sep2022_1_a3_LT1,Sep2022_1_LT1
ccost_S30_INT_4,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,17.7,None,,,,,many,,,147.56,70.9,268,58.9,78.98,33.13,8.12,45.85,-3.15,82.05,57.05,64.07,46.36,Sep2022_1_a4_LT1,Sep2022_1_LT1
ccost_S30_WL_1,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,25.32,None,,C,A,,many, corrector guessed the intended tone and wrote it on the MAU level,WL 3 times,149.33,56.04,100,55.45,71.61,31.73,7.95,39.87,-11.31,72.01,47.01,57.32,32.01,Sep2022_1_b1_LT1_clean,Sep2022_1_LT1
ccost_S30_WL_2,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,27.39,Near-Clip;,,C,A,,many, corrector guessed the intended tone and wrote it on the MAU level,WL 3 times,151.98,50.58,106,58.35,74.96,34.21,7.89,40.74,-2.81,81.09,56.09,63.13,35.75,Sep2022_1_b2_LT1_clean,Sep2022_1_LT1
ccost_S30_WL_3,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,32.55,Clipping;,,C,A,,many, corrector guessed the intended tone and wrote it on the MAU level,WL 3 times,122.57,49.79,100,69.7,84.1,41.27,7.93,42.84,0.18,84.41,59.41,71.46,38.91,Sep2022_1_b3_LT1_clean,Sep2022_1_LT1
ccost_S30_WL_4,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,28.82,Clipping;,,C,A,,many, corrector guessed the intended tone and wrote it on the MAU level,WL 3 times,121.49,50.19,106,66.93,84.6,39.78,8.17,44.82,0.003,85.06,60.06,69.95,41.13,Sep2022_1_b4_LT1_clean,Sep2022_1_LT1
ccost_S30_WL_5,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,29.89,Clipping;,,C,A,,many, corrector guessed the intended tone and wrote it on the MAU level,WL 3 times,101.91,51.39,100,67.99,84.81,42.29,7.88,42.53,0.02,84.89,59.89,70.25,40.37,Sep2022_1_b5_LT1_clean,Sep2022_1_LT1
ccost_S30_WL_6,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,29.48,Clipping;,,C,A,,many, corrector guessed the intended tone and wrote it on the MAU level,WL 3 times,117.99,53.93,106,67.01,82.38,37.27,8.87,45.11,0.13,83.83,58.83,70.05,40.57,Sep2022_1_b6_LT1_clean,Sep2022_1_LT1
ccost_S30_ST_1,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,24.47,None,,,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,45.31,33.03,100,64.13,80.15,36.82,9.93,43.33,-3.45,80.79,55.79,67.32,42.84,Sep2022_1_c1_LT1_clean,Sep2022_1_LT1
ccost_S30_ST_2,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,24.12,Near-Clip;,,,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,44.27,32.67,100,64.48,80.85,36.49,9.47,44.36,-3,81.24,56.24,67.27,43.15,Sep2022_1_c2_LT1_clean,Sep2022_1_LT1
ccost_S30_ST_3,30,Male,1952,Bangkok,Greater BKK,NA,70,4,OM,162,F,A,21.76,None,,,A,,many, corrector guessed the intended tone and wrote it on the MAU level,,47.04,32.64,100,63.13,81.44,36.49,9.1,44.95,-3.19,81.8,56.8,66.05,44.29,Sep2022_1_c3_LT1_clean,Sep2022_1_LT1
ccost_S31_INT_1,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,22.89,Near-Clip;,,,,,few,,,280.35,139.74,535,62.85,82.58,32.99,9.58,49.59,-1.84,82.77,57.77,66.68,43.79,Sep2022_1_a1_LT2,Sep2022_1_LT2
ccost_S31_INT_2,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,18.93,None,,,,,few,,,267.76,75.54,298,61.69,82.44,33.08,8.26,49.36,-4.36,89.72,64.72,68.79,49.87,Sep2022_1_a2_LT2,Sep2022_1_LT2
ccost_S31_INT_3,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,21,Clipping;,,,,,few,,,357.33,142.48,483,60.59,83.99,32.37,9.77,51.62,0.06,85.11,60.11,66.71,45.71,Sep2022_1_a3_LT2,Sep2022_1_LT2
ccost_S31_WL_1,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,27.36,None,,B,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,93.91,48.78,101,61.78,77.3,32.26,6.49,45.03,-6.29,78.09,53.09,62.92,35.56,Sep2022_1_b1_LT2_clean,Sep2022_1_LT2
ccost_S31_WL_2,31,Female,1969,Bangkok,Greater BKK,NA,53,-,MF,158,F,A,26.1,None,,B,A,,few, corrector guessed the intended word and changed all levels to match their guess,WL 3 times; ST 2 times,129.12,52.9,106,60.23,75.79,32.73,6.65,43.05,-5.97,77.6,52.6,61.77,35.67,Sep2022_1_b2_LT2_clean,Sep2022_1_LT2
