bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S20_WL_4,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,11.37,Clipping;,recorded in public space; music playing in background,A,A,,none,,,124.96,41.54,107,67.27,91.21,52.61,5.28,38.6,-0.006,92.08,67.08,71.39,60.02,Oct2020_1_b4,Oct2020_1_I
ccost_S20_ST_1,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,7.73,Low-SNR;Near-Clip;,recorded in public space; music playing in background,,A,,none,,,53.98,30.72,100,64.64,84.93,54.69,4.95,30.24,-1.24,87.48,62.48,67.56,59.83,Oct2020_1_c1,Oct2020_1_I
ccost_S20_ST_2,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,7.78,Low-SNR;,recorded in public space; music playing in background,,A,,none,,,47.23,39.77,100,62.45,79.78,52.38,4.36,27.4,-9.01,80.29,55.29,62.29,54.5,Oct2020_1_c2,Oct2020_1_I
ccost_S20_ST_3,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,8.15,Low-SNR;Near-Clip;,recorded in public space; music playing in background,,A,,none,,,45.19,31.08,100,65.49,86.16,50.18,5.45,35.98,-2.09,86.66,61.66,67.58,59.43,Oct2020_1_c3,Oct2020_1_I
ccost_S21_INT_1,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,15.11,Clipping;,,,,,none,,,246.83,136.99,535,67.14,87.88,42.86,8.39,45.02,-0.01,90.55,65.55,72.44,57.33,Oct2020_2_a_1,Oct2020_2_I
ccost_S21_INT_2,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,14.17,Clipping;,,,,,none,,,248.14,137.54,528,64.73,87.68,41.33,8.11,46.35,-0.09,90.23,65.23,71.44,57.27,Oct2020_2_a_2,Oct2020_2_I
ccost_S21_INT_3,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,13.77,Clipping;,,,,,none,,,249.38,151.75,632,66.95,91.42,42.88,7.94,48.53,-0.01,92.27,67.27,72.94,59.17,Oct2020_2_a_3,Oct2020_2_I
ccost_S21_INT_4,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,14.08,Clipping;,,,,,none,,,224.44,103.59,407,66.49,85.91,45.38,7.38,40.54,-0.23,85.92,60.92,69.37,55.29,Oct2020_2_a_4,Oct2020_2_I
ccost_S21_INT_5,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,14.34,Near-Clip;,,,,,none,,,201.51,125.57,471,65.7,84.62,39.04,7.54,45.58,-1.27,89.1,64.1,70.47,56.13,Oct2020_2_a_5,Oct2020_2_I
ccost_S21_WL_1,21,Female,1991,Bangkok,Greater BKK,NA,29,16,YF,156,F,A,20.12,Clipping;,,A,A,,none,,,89.88,58.26,100,67.62,85.83,37.66,8.59,48.17,-0.25,86.27,61.27,70.81,50.69,Oct2020_2_b1_clean,Oct2020_2_I
