bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S33_WL_3,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,31.61,None,,A,A,,many,corrector guessed the intended tone and wrote it on the MAU level in b3,,123.24,55.36,101,58.82,72.15,27.53,9.36,44.62,-11.5,72.16,47.16,61.62,30.02,Sep2022_1_b3_LT4_clean,Sep2022_1_LT4
ccost_S33_WL_4,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,32.79,None,,A,A,,many,corrector guessed the intended word and changed all levels to match their guess in b4,,145.13,55.87,106,58.23,72.81,27.25,10.31,45.56,-10.43,73.03,48.03,62.17,29.39,Sep2022_1_b4_LT4_clean,Sep2022_1_LT4
ccost_S33_ST_1,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,28.7,None,,,A,,many,,,61.09,42.43,100,58.51,71.82,27.35,10.67,44.48,-10.43,72.17,47.17,61.08,32.38,Sep2022_1_c1_LT4_clean,Sep2022_1_LT4
ccost_S33_ST_2,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,29.52,None,,,A,,many,,,63.43,46.69,100,57.39,69.92,27.18,11.27,42.74,-12.63,70.72,45.72,60.4,30.89,Sep2022_1_c2_LT4_clean,Sep2022_1_LT4
ccost_S33_ST_3,33,Female,1951,Ratchaburi,Central,1968,71,4,OF,150,M,A,29.4,None,,,A,,many,,,62.38,45.94,100,56.96,69.71,27.15,11.15,42.56,-12.73,69.77,44.77,59.86,30.46,Sep2022_1_c3_LT4_clean,Sep2022_1_LT4
ccost_S34_INT_1,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,11.45,None,low level static noise;,,,,some,,,355.69,123.25,347,50.11,66.91,33.9,5.92,33.01,-20.83,67.01,42.01,50.67,39.22,Sep2022_1_a1_LT5,Sep2022_1_LT5
ccost_S34_INT_2,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,11.76,None,low level static noise;,,,,some,,,348.94,125.57,337,50.42,68.08,33.9,6.16,34.19,-16.61,68.73,43.73,51.89,40.13,Sep2022_1_a2_LT5,Sep2022_1_LT5
ccost_S34_INT_3,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,11.62,None,low level static noise;,,,,some,,,176.64,62.33,167,49.34,64.36,34.16,5.66,30.2,-21.36,64.36,39.36,49.06,37.44,Sep2022_1_a3_LT5,Sep2022_1_LT5
ccost_S34_INT_4,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,11.49,None,low level static noise;,,,,some,,,289.45,103.14,273,49.72,63.91,34.78,6.01,29.13,-18.33,66.44,41.44,50.35,38.86,Sep2022_1_a4_LT5,Sep2022_1_LT5
ccost_S34_INT_5,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,11.97,None,low level static noise;,,,,some,,,428.06,181.97,500,49.8,64.7,33.08,5.79,31.61,-21.63,66.74,41.74,50.62,38.65,Sep2022_1_a5_LT5,Sep2022_1_LT5
ccost_S34_WL_1,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,13.12,None,low level static noise;,D,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times,145.15,84.19,100,48.02,65.17,33.7,6.71,31.47,-21.38,65.34,40.34,50.08,36.96,Sep2022_1_b1_LT5,Sep2022_1_LT5
ccost_S34_WL_2,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,14.79,None,low level static noise;,D,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times,154.95,65.09,107,52.12,68.34,34.31,5.4,34.04,-18.42,75.38,50.38,55.18,40.39,Sep2022_1_b2_LT5,Sep2022_1_LT5
ccost_S34_WL_3,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,14.02,None,low level static noise;,D,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times,129.92,84.14,100,49.46,66.16,33.39,7.2,32.77,-21.46,66.31,41.31,51.98,37.95,Sep2022_1_b3_LT5,Sep2022_1_LT5
ccost_S34_WL_4,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,12.23,None,low level static noise;,D,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times,162.66,98.73,107,47.73,65.36,33.04,6.94,32.32,-21.43,66.85,41.85,51.06,38.84,Sep2022_1_b4_LT5,Sep2022_1_LT5
ccost_S34_WL_5,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,11.81,None,low level static noise;,D,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times,150.17,72.17,100,48.84,62.02,35.95,4.93,26.08,-24.41,62.13,37.13,48.31,36.49,Sep2022_1_b5_LT5,Sep2022_1_LT5
ccost_S34_WL_6,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,11.82,None,low level static noise;,D,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,WL 3 times,167.29,91.18,106,46.53,62.58,31.73,6.54,30.86,-21.87,65.4,40.4,49.34,37.52,Sep2022_1_b6_LT5,Sep2022_1_LT5
ccost_S34_ST_1,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,13.36,None,low level static noise;,,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,87.59,55.26,100,52.42,65.15,34.85,6.62,30.3,-20.51,66.01,41.01,52.23,38.87,Sep2022_1_c1_LT5,Sep2022_1_LT5
ccost_S34_ST_2,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,13.47,None,low level static noise;,,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,83.91,60.65,100,52.36,64.57,35.56,6.43,29.02,-21.21,66.06,41.06,52.38,38.91,Sep2022_1_c2_LT5,Sep2022_1_LT5
ccost_S34_ST_3,34,Female,1966,Bangkok,Greater BKK,NA,56,-,MF,156,M,B,12.48,None,low level static noise;,,A,,some,corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,82.94,60.73,100,48.88,61.29,33.06,6.03,28.22,-23.73,62.01,37.01,48.41,35.93,Sep2022_1_c3_LT5,Sep2022_1_LT5
ccost_S35_INT_1,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,22.69,Clipping;,,,,,none,,,356.72,182.75,701,61.52,80.57,32.46,9.51,48.11,-0.82,81.42,56.42,65.59,42.9,Sep2022_2_a1_LT1,Sep2022_2_LT1
ccost_S35_INT_2,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,22,Clipping;,,,,,none,,,317.9,131.86,523,62.04,83.39,33.17,9.71,50.21,0.01,84.01,59.01,66.92,44.93,Sep2022_2_a2_LT1,Sep2022_2_LT1
ccost_S35_INT_3,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,23.28,Clipping;,,,,,none,,,296.51,124.9,512,60.8,78.43,33.32,9.23,45.11,-0.92,78.47,53.47,64.02,40.74,Sep2022_2_a3_LT1,Sep2022_2_LT1
ccost_S35_WL_1,35,Male,2000,Ubon Ratchathani,Northeastern,NA,22,16,YM,173,F,A,32.41,Near-Clip;,,C,A,,none,,WL 3 times,110.25,45.08,100,64.59,79.84,32.15,10.46,47.69,-1.68,80.88,55.88,67.78,35.37,Sep2022_2_b1_LT1,Sep2022_2_LT1
