bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S1_INT_1,1,Female,1989,Roi-et,Northeastern,NA,31,-,MF,158,F,A,20.19,Clipping;,,,,,none,,,336.16,174.51,597,74.39,93.47,39.85,10.25,53.62,1.56,93.48,68.48,78.63,58.45,Jan2020_1_a1_1,Jan2020_1_I
ccost_S1_INT_2,1,Female,1989,Roi-et,Northeastern,NA,31,-,MF,158,F,A,19.15,Clipping;,,,,,none,,,344.11,178.79,677,72.61,90.36,36.74,9.65,53.61,0.82,90.96,65.96,76.15,57,Jan2020_1_a1_2,Jan2020_1_I
ccost_S1_INT_3,1,Female,1989,Roi-et,Northeastern,NA,31,-,MF,158,F,A,21.91,Clipping;,,,,,none,,,209.44,103.22,387,77.64,93.31,44.82,9.72,48.49,3.02,93.32,68.32,80.86,58.95,Jan2020_1_a2,Jan2020_1_I
ccost_S1_INT_4,1,Female,1989,Roi-et,Northeastern,NA,31,-,MF,158,F,A,21.11,Clipping;,,,,,none,,,309.84,202,766,70.81,88.08,36.51,9.94,51.56,0.7,89.86,64.86,74.95,53.84,Jan2020_1_a3,Jan2020_1_I
ccost_S1_WL_12,1,Female,1989,Roi-et,Northeastern,NA,31,-,MF,158,F,A,30.76,Clipping;,,A,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,242.05,104.77,211,83.03,92.12,52.05,5.79,40.07,1.49,92.4,67.4,82.37,51.61,Jan2020_1_b12,Jan2020_1_I
ccost_S1_WL_34,1,Female,1989,Roi-et,Northeastern,NA,31,-,MF,158,F,A,29.74,Clipping;,,A,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,259.46,108.19,205,78.57,90.58,43.34,6.74,47.25,1.34,90.73,65.73,78.67,48.94,Jan2020_1_b3,Jan2020_1_I
ccost_S1_ST_123,1,Female,1989,Roi-et,Northeastern,NA,31,-,MF,158,F,A,22.38,Clipping;,,,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,135.37,99.43,300,74.85,90.73,44.43,7.88,46.3,0.42,90.76,65.76,76.67,54.29,Jan2020_1_c1,Jan2020_1_I
ccost_S2_INT_1,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,11.22,Clipping;,,,,,few,,,227.08,78.32,221,73.98,91.18,57.34,6.24,33.83,0.41,93.99,68.99,76.42,65.2,Jan2020_2_a1_I_1,Jan2020_2_I
ccost_S2_INT_2,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,12.3,Clipping;,,,,,few,,,174.74,78.88,199,72.48,87.18,57.04,6.71,30.14,0.44,87.57,62.57,73.55,61.25,Jan2020_2_a1_I_2,Jan2020_2_I
ccost_S2_INT_3,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,12.36,Clipping;,,,,,few,,,94.81,31.54,110,73.42,87.01,57.63,5.91,29.38,0.15,88.94,63.94,74.34,61.98,Jan2020_2_a1_I_3,Jan2020_2_I
ccost_S2_INT_4,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,10.73,Clipping;,,,,,few,,,181.68,63,201,71.33,87.37,57.29,6.19,30.07,0.71,89.56,64.56,72.93,62.2,Jan2020_2_a1_I_4,Jan2020_2_I
ccost_S2_INT_5,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,12.45,Clipping;,,,,,few,,,251.94,89.79,290,72.97,88.66,56.49,6.77,32.17,0.56,89.46,64.46,74.46,62.01,Jan2020_2_a2_I_1,Jan2020_2_I
ccost_S2_INT_6,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,10.98,Clipping;,,,,,few,,,181.7,70.57,218,71.7,86.14,56.46,6.21,29.68,0.28,92.17,67.17,74.24,63.26,Jan2020_2_a2_I_2,Jan2020_2_I
ccost_S2_INT_7,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,11.36,Clipping;,,,,,few,,,136.43,49.57,158,71.71,89.98,55.94,6.62,34.04,0.27,90.03,65.03,73.77,62.41,Jan2020_2_a2_I_3,Jan2020_2_I
ccost_S2_INT_8,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,11.28,Clipping;,,,,,few,,,110.02,29.92,94,72.67,90.59,58.16,6.22,32.43,2.16,92.57,67.57,74.97,63.69,Jan2020_2_a2_I_4,Jan2020_2_I
ccost_S2_INT_9,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,12.52,Clipping;,,,,,few,,,97.95,30.88,117,73.09,89.01,56.34,6.53,32.67,0.15,89.8,64.8,74.4,61.87,Jan2020_2_a3,Jan2020_2_I
ccost_S2_WL_12,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,14.35,Clipping;,,A,A,,few,"  for the one misread word, corrector guessed the intended word and changed all levels to match their guess, this was marked as a reading error by blanking the MAS label",,271.89,104.42,206,77.78,90.2,59.92,5.11,30.28,0.46,91.79,66.79,77.33,62.98,Jan2020_2_b1,Jan2020_2_I
ccost_S2_WL_34,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,14.74,Clipping;,,A,A,,few,,,246.81,121.81,206,76.24,89.16,57.89,6.92,31.28,0.34,90.62,65.62,77.32,62.58,Jan2020_2_b2,Jan2020_2_I
ccost_S2_ST_123,2,Female,1989,Roi-et,Northeastern,NA,31,-,MF,157,F,A,12.94,Clipping;,,,A,,few,,,121.75,98.23,300,73.8,84.44,59.35,5.1,25.09,0.11,84.62,59.62,72.8,59.86,Jan2020_2_c1,Jan2020_2_I
ccost_S3_INT_1,3,Female,1992,Pathum Thani,Greater BKK,NA,28,19,YF,174,F,B,9.24,Low-SNR;,low level static in background,,,,none,,,195.11,154.58,439,52.43,73.02,39.33,5.35,33.69,-13.26,73.34,48.34,54.51,45.26,Jan2020_3_a1_Pang_1,Jan2020_3_I
ccost_S3_INT_2,3,Female,1992,Pathum Thani,Greater BKK,NA,28,19,YF,174,F,B,9.92,Low-SNR;,low level static in background,,,,none,,,190.55,137.91,433,52.55,65.84,40.5,4.95,25.34,-19.41,67.07,42.07,51.95,42.03,Jan2020_3_a1_Pang_2,Jan2020_3_I
ccost_S3_INT_3,3,Female,1992,Pathum Thani,Greater BKK,NA,28,19,YF,174,F,B,10.26,None,low level static in background,,,,none,,,228.1,166.01,488,53.07,67.85,39.29,5.53,28.55,-18.2,68.65,43.65,53.23,42.97,Jan2020_3_a1_Pang_3,Jan2020_3_I
ccost_S3_INT_4,3,Female,1992,Pathum Thani,Greater BKK,NA,28,19,YF,174,F,B,10.57,None,low level static in background,,,,none,,,187.93,150.48,489,53.6,67.22,39.34,5.37,27.88,-17.57,69.36,44.36,53.92,43.35,Jan2020_3_a1_Pang_4,Jan2020_3_I
