bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S27_WL_3,27,Female,2000,Phra Nakhon Si Ayutthaya,Central,2018,20,14,YF,158,F,A,13,None,,A,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,108.09,74.48,100,67.29,78.92,49.97,6.62,28.95,-5.84,80.81,55.81,67.68,54.67,Aug2022_1_b3_I_clean,Aug2022_1_I
ccost_S27_WL_4,27,Female,2000,Phra Nakhon Si Ayutthaya,Central,2018,20,14,YF,158,F,A,13.18,None,,A,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,107.93,72.97,100,67.59,79.91,51,6.53,28.92,-5.84,80.81,55.81,67.86,54.68,Aug2022_1_b4_I_clean,Aug2022_1_I
ccost_S27_ST_1,27,Female,2000,Phra Nakhon Si Ayutthaya,Central,2018,20,14,YF,158,F,C,/,No-Noise-Detected;,low level static noise,,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,47.58,42.61,100,68.22,82.14,59.04,4.05,23.1,-5.82,82.35,57.35,67.77,47.35,Aug2022_1_c1_I_clean,Aug2022_1_I
ccost_S27_ST_2,27,Female,2000,Phra Nakhon Si Ayutthaya,Central,2018,20,14,YF,158,F,B,10,Low-SNR;,low level static noise,,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,39.97,33.31,100,66.38,81.44,54.03,5.07,27.41,-5.8,83.27,58.27,66.31,56.31,Aug2022_1_c2_I_clean,Aug2022_1_I
ccost_S27_ST_3,27,Female,2001,Phra Nakhon Si Ayutthaya,Central,2018,20,14,YF,159,F,B,11.2,None,low level static noise,,A,,none, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,41.15,33.51,100,68.34,82.98,54.42,5.59,28.56,-5.42,83.83,58.83,68.23,57.03,Aug2022_1_c3_I_clean,Aug2022_1_I
ccost_S28_INT_1,28,Male,1943,Phra Nakhon Si Ayutthaya,Central,1963,77,16,OM,160,F,B,20.48,Clipping;,low level static noise and echo,,,,many,,,299.95,117.96,435,74.94,83.34,50.49,5.76,32.85,-0.008,84.66,59.66,74.85,54.37,Aug2022_2_a2_I,Aug2022_2_I
ccost_S28_INT_2,28,Male,1943,Phra Nakhon Si Ayutthaya,Central,1963,77,16,OM,160,F,B,19.58,Clipping;,low level static noise and echo,,,,many,,,299.98,149.78,559,75.26,83.12,52.28,5.42,30.85,-0.22,84.6,59.6,74.76,55.18,Aug2022_2_a3_I,Aug2022_2_I
ccost_S28_INT_3,28,Male,1943,Phra Nakhon Si Ayutthaya,Central,1963,77,16,OM,160,F,B,19.27,Clipping;,low level static noise and echo,,,,many,,,299.98,125.83,467,75.04,84.22,52.87,5.58,31.35,0.02,85.91,60.91,74.84,55.57,Aug2022_2_a4_I,Aug2022_2_I
ccost_S28_INT_4,28,Male,1943,Phra Nakhon Si Ayutthaya,Central,1963,77,16,OM,160,F,B,19.89,Clipping;,low level static noise and echo,,,,many,,,193.32,91.39,341,74.93,83.42,53.26,5.56,30.15,-0.55,84.03,59.03,74.47,54.57,Aug2022_2_a5_I,Aug2022_2_I
ccost_S28_WL_1,28,Male,1943,Phra Nakhon Si Ayutthaya,Central,1963,77,16,OM,160,F,B,22.54,Clipping;,low level static noise and echo,A,A,,many,,,139.12,59.87,106,73.33,84.23,48.52,9.38,35.71,0.05,85.04,60.04,75.92,53.38,Aug2022_2_b1_I_clean,Aug2022_2_I
