bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S23_INT_2,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,19.8,Clipping;,,,,,few,,,222.56,140.11,442,69.91,87.41,43.04,8.65,44.37,0.05,89.22,64.22,73.39,53.59,Oct2020_4_a_2,Oct2020_4_I
ccost_S23_INT_3,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,18.63,Clipping;,,,,,few,,,192.07,109.96,352,70.92,89.95,44.81,9.05,45.14,0.07,91.03,66.03,74.97,56.33,Oct2020_4_a_3,Oct2020_4_I
ccost_S23_INT_4,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,17.79,Clipping;,,,,,few,,,194.1,104.02,379,68.73,90.7,43.33,8.59,47.37,0.05,90.68,65.68,73.17,55.38,Oct2020_4_a_4,Oct2020_4_I
ccost_S23_INT_5,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,17.37,Clipping;,,,,,few,,,178.23,81.76,309,68.61,86.83,44.95,8.17,41.88,0.02,88.64,63.64,72.1,54.73,Oct2020_4_a_5,Oct2020_4_I
ccost_S23_WL_1,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,25.44,Clipping;,,A,A,,few,,,130.6,52.55,100,74.1,86.5,45.32,8.14,41.19,0.05,86.78,61.78,75.11,49.66,Oct2020_4_b1_clean,Oct2020_4_I
ccost_S23_WL_2,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,26.52,Clipping;,,A,A,,few,,,131.68,52.15,106,75.06,90.65,47.49,8.08,43.16,0.06,90.73,65.73,77.19,50.68,Oct2020_4_b2_clean,Oct2020_4_I
ccost_S23_WL_3,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,27.71,Clipping;,,A,A,,few,,,130.34,53.42,100,74.21,88.19,44.92,8.07,43.27,0.09,89.06,64.06,75.92,48.21,Oct2020_4_b3_clean,Oct2020_4_I
ccost_S23_WL_4,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,23.69,Clipping;,,A,A,,few,,,137.54,58.48,106,69.89,86.1,46.8,8.06,39.3,-0.11,87.49,62.49,72.74,49.05,Oct2020_4_b4_clean,Oct2020_4_I
ccost_S23_ST_1,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,21.28,Clipping;,,,A,,few,,,57.66,35.76,100,70.47,83.05,49.11,7.5,33.94,-0.45,83.42,58.42,71.13,49.85,Oct2020_4_c1_clean,Oct2020_4_I
ccost_S23_ST_2,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,22.03,Clipping;,,,A,,few,,,54.53,36.28,100,70.49,84.55,44.94,8.45,39.61,-0.03,88.14,63.14,72.92,50.89,Oct2020_4_c2_clean,Oct2020_4_I
ccost_S23_ST_3,23,Female,1962,Roi-et,Northeastern,NA,58,16,MF,156,F,A,19.88,Clipping;,,,A,,few,,,57.6,36.52,100,70.27,86.92,47.28,7.89,39.64,-0.09,87.04,62.04,72.38,52.5,Oct2020_4_c3_clean,Oct2020_4_I
ccost_S24_INT_1,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,11.63,Clipping;,occasional background noise,,,,none,,,247.48,158.97,552,65.05,89.8,41.22,6.86,48.58,-0.03,90.67,65.67,70.17,58.54,Oct2020_5_a_1,Oct2020_5_I
ccost_S24_INT_2,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,11.88,None,occasional background noise,,,,none,,,202.86,122.27,446,64.47,83.82,44.45,5.76,39.37,-3.94,85.1,60.1,66.42,54.54,Oct2020_5_a_2,Oct2020_5_I
ccost_S24_INT_3,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,10.01,Clipping;,occasional background noise,,,,none,,,241.39,153.2,565,62.84,87.53,42.47,5.67,45.07,-0.22,89.24,64.24,68.02,58.01,Oct2020_5_a_3,Oct2020_5_I
ccost_S24_INT_4,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,10.93,Clipping;,occasional background noise,,,,none,,,182.46,79.65,281,64.04,87.75,42.66,5.97,45.09,-0.88,87.76,62.76,67.17,56.24,Oct2020_5_a_4,Oct2020_5_I
ccost_S24_INT_5,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,11.24,None,occasional background noise,,,,none,,,222.55,97.69,369,66.34,82.76,41.53,6.16,41.24,-3,92.2,67.2,71.24,60.01,Oct2020_5_a_5,Oct2020_5_I
ccost_S24_WL_1,24,Female,1975,Roi-et,Northeastern,NA,45,16,MF,160,F,B,16.64,None,occasional background noise,A,A,,none,,,117.83,54.52,101,65.25,80.21,42.7,5.83,37.51,-6.97,81.56,56.56,66.14,49.5,Oct2020_5_b1_clean,Oct2020_5_I
