bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S6_ST_123,6,Male,1994,Bangkok,Greater BKK,NA,26,-,YM,184,F,A,17.82,Near-Clip;,,,B,slightly fast,none,,,129.25,93.99,300,64.96,79.92,42.04,7.63,37.88,-2.55,80.44,55.44,66.7,48.88,Jan2020_6_c123,Jan2020_6_I
ccost_S7_INT_1,7,Female,1976,Bangkok,Greater BKK,NA,44,16,MF,173,F,A,14.11,None,,,,,few,,,299.11,161.22,497,45.78,68.74,25.83,7.75,42.92,-17.75,69.16,44.16,50.33,36.22,Mar2020_1_a1_B,Mar2020_1_B
ccost_S7_INT_2,7,Female,1976,Bangkok,Greater BKK,NA,44,16,MF,173,F,A,13.13,Weak-Signal;,,,,,few,,,147.89,85.94,285,44.9,71.54,24.74,7.46,46.8,-17.76,72.92,47.92,51.7,38.57,Mar2020_1_a2_B,Mar2020_1_B
ccost_S7_INT_3,7,Female,1976,Bangkok,Greater BKK,NA,44,16,MF,173,F,A,10.97,None,,,,,few,,,234.5,139.76,455,56.95,76.18,38.74,6.69,37.43,-7.6,84.26,59.26,63.41,52.43,Mar2020_1_a3_B,Mar2020_1_B
ccost_S7_INT_4,7,Female,1976,Bangkok,Greater BKK,NA,44,16,MF,173,F,A,10.17,None,,,,,few,,,212.57,157.21,521,50.39,68.86,37.85,5.93,31.01,-17.5,70.25,45.25,52.52,42.35,Mar2020_1_a4_B,Mar2020_1_B
ccost_S7_WL_12,7,Female,1976,Bangkok,Greater BKK,NA,44,16,MF,173,F,A,16.39,None,,B,A,,few," for misread words, corrector put <usb> on all levels except MAS (blank)",,240.3,131.99,206,55.07,70.62,37.09,6.71,33.54,-13.47,71.04,46.04,56.36,39.97,Mar2020_1_b12_B,Mar2020_1_B
ccost_S7_WL_34,7,Female,1976,Bangkok,Greater BKK,NA,44,16,MF,173,F,A,15.44,None,,B,A,,few," for misread words, corrector put <usb> on all levels except MAS (blank)",,220.72,135.2,206,54.64,69.56,38.48,7.09,31.08,-10.58,74.24,49.24,57.22,41.77,Mar2020_1_b34_B,Mar2020_1_B
ccost_S7_ST_123,7,Female,1976,Bangkok,Greater BKK,NA,44,16,MF,173,F,A,15.16,None,,,A,,few," for misread words, corrector put <usb> on all levels except MAS (blank)",,153.49,107.39,296,56.12,70.45,37.41,6.97,33.04,-11.8,74.59,49.59,57.88,42.72,Mar2020_1_c123_B,Mar2020_1_B
ccost_S8_INT_1,8,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,A,15.75,None,,,,,few,,,156.51,40.62,123,53.77,70.27,36.03,8.07,34.25,-11.19,79.56,54.56,60.06,44.31,Mar2020_2_a1_B_1,Mar2020_2_B
ccost_S8_INT_2,8,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,A,13.25,None,,,,,few,,,195.71,63.72,206,51.98,65.48,37.29,6.94,28.19,-14.5,71.95,46.95,55.04,41.79,Mar2020_2_a1_B_2,Mar2020_2_B
