bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S17_WL_12,17,Male,1998,Chonburi,Central,NA,22,16,YM,170,F,A,21.71,None,,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,202.95,111.08,206,62.12,79.64,28.61,10.24,51.04,-7.1,81.11,56.11,66.43,44.71,Jul2020_6_b12_B,Jul2020_6_B
ccost_S17_WL_34,17,Male,1998,Chonburi,Central,NA,22,16,YM,170,F,A,19.93,None,,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,187.86,108.98,206,58.56,75.7,32.3,9.48,43.4,-11.01,75.71,50.71,62.1,42.17,Jul2020_6_b34_B,Jul2020_6_B
ccost_S17_ST_123,17,Male,1998,Chonburi,Central,NA,22,16,YM,170,F,A,16,None,,,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,125.27,93.23,300,58.99,78.52,2.96,7.76,75.56,-7.67,79,54,61.9,45.9,Jul2020_6_c123_B,Jul2020_6_B
ccost_S18_INT_1,18,Male,1997,Sakon Nakorn,Northeastern,NA,23,16,YM,166,F,A,12.76,None,,,,,few,,,280.52,135.1,486,54.78,67.47,35.86,5,31.61,-14.35,68.87,43.87,54.42,41.65,Jul2020_7_a1_B,Jul2020_7_B
ccost_S18_INT_2,18,Male,1997,Sakon Nakorn,Northeastern,NA,23,16,YM,166,F,A,8.52,Low-SNR;,,,,,few,,,309.83,159.39,597,57.57,73.94,36.34,5.24,37.6,-7.17,82.13,57.13,60.96,52.44,Jul2020_7_a2_B,Jul2020_7_B
ccost_S18_INT_3,18,Male,1997,Sakon Nakorn,Northeastern,NA,23,16,YM,166,F,A,12.62,None,,,,,few,,,382.36,181.37,702,57.46,70.46,38.59,4.77,31.87,-13.26,71.14,46.14,56.98,44.36,Jul2020_7_a3_B,Jul2020_7_B
ccost_S18_WL_12,18,Male,1997,Sakon Nakorn,Northeastern,NA,23,16,YM,166,F,A,18.75,None,,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,207.52,93.86,205,62.71,76.53,40.48,5.2,36.05,-6.47,76.71,51.71,62.6,43.85,Jul2020_7_b12_B,Jul2020_7_B
ccost_S18_WL_34,18,Male,1997,Sakon Nakorn,Northeastern,NA,23,16,YM,166,F,A,16.79,None,,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,194.53,140.21,206,54.52,70.33,33.2,9.06,37.13,-12.64,71.2,46.2,58.63,41.84,Jul2020_7_b34_B,Jul2020_7_B
ccost_S18_ST_123,18,Male,1997,Sakon Nakorn,Northeastern,NA,23,16,YM,166,F,A,14.87,None,,,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop;,,145.8,109.98,300,57.65,74.42,34.33,5.94,40.09,-13.12,74.44,49.44,58.61,43.74,Jul2020_7_c123_B,Jul2020_7_B
ccost_S19_INT_1,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,17.64,Clipping;,"clock ticking, low level background noise",,,,few,,,138.07,73.59,285,75.08,84.21,52.51,5.25,31.7,0.05,84.5,59.5,74.81,57.17,Jul2020_1_a_I_1,Jul2020_1_I
ccost_S19_INT_2,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,18.57,Clipping;,"clock ticking, low level background noise",,,,few,,,161.86,96.75,420,76.64,84.77,52.64,4.88,32.13,0.26,85.46,60.46,76.17,57.6,Jul2020_1_a_I_2,Jul2020_1_I
ccost_S19_INT_3,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,18.41,Clipping;,"clock ticking, low level background noise",,,,few,,,141.23,88.61,387,77.84,85.21,54.19,4.55,31.01,0.1,88.74,63.74,77.88,59.47,Jul2020_1_a_I_3,Jul2020_1_I
ccost_S19_INT_4,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,19.16,Clipping;,"clock ticking, low level background noise",,,,few,,,159.01,85.5,373,77.92,84.98,58.13,3.95,26.85,0.06,86.86,61.86,77.48,58.33,Jul2020_1_a_I_4,Jul2020_1_I
ccost_S19_WL_1,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,17.39,Clipping;,"clock ticking, low level background noise",A,A,,few,,,123.81,63.82,100,75.39,84.19,53.22,7.23,30.98,0.07,84.54,59.54,75.21,57.82,Jul2020_1_b1_I_1_clean,Jul2020_1_I
ccost_S19_WL_2,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,17.2,Clipping;,"clock ticking, low level background noise",A,A,,few,,,130.4,63.95,106,74.66,84.46,54.02,7.45,30.44,0.13,85.08,60.08,75.08,57.88,Jul2020_1_b1_I_2_clean,Jul2020_1_I
ccost_S19_WL_3,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,17.71,Clipping;,"clock ticking, low level background noise",A,A,,few,,,114.15,57.05,100,76.75,85.27,55.14,6.22,30.12,0.04,85.44,60.44,76.18,58.47,Jul2020_1_b2_I_1_clean,Jul2020_1_I
ccost_S19_WL_4,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,15.78,Clipping;,"clock ticking, low level background noise",A,A,,few,,,120.94,62.06,106,73.81,83.22,53.53,6.94,29.69,0.05,84.66,59.66,73.62,57.84,Jul2020_1_b2_I_2_clean,Jul2020_1_I
ccost_S19_ST_1,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,18.72,Clipping;,"clock ticking, low level background noise",,A,,few,,,48,32.72,100,76.88,84.26,59.93,5.24,24.32,0.03,85.55,60.55,76.29,57.58,Jul2020_1_c1_I_clean,Jul2020_1_I
ccost_S19_ST_2,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,18.63,Clipping;,"clock ticking, low level background noise",,A,,few,,,43.09,32.52,100,77,84.34,59.74,4.89,24.6,0.02,84.63,59.63,76.35,57.72,Jul2020_1_c2_I_clean,Jul2020_1_I
ccost_S19_ST_3,19,Male,1950,Bangkok,Greater BKK,NA,70,-,OM,168,F,B,17.07,Clipping;,"clock ticking, low level background noise",,A,,few,,,46.68,34.68,100,75.49,83.94,57.32,5.62,26.62,0.008,84.13,59.13,74.71,57.64,Jul2020_1_c3_I_clean,Jul2020_1_I
ccost_S20_INT_1,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,8.85,Low-SNR;,recorded in public space; music playing in background,,,,none,,,176.57,98.39,509,57.56,70.93,45.79,4.67,25.14,-13.5,86.52,61.52,64.01,55.16,Oct2020_1_a1,Oct2020_1_I
ccost_S20_INT_2,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,10.06,None,recorded in public space; music playing in background,,,,none,,,148.79,100.36,472,57.97,72.62,44.58,4.68,28.04,-12.81,72.81,47.81,57.4,47.34,Oct2020_1_a2,Oct2020_1_I
ccost_S20_INT_3,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,8.78,Low-SNR;,recorded in public space; music playing in background,,,,none,,,140.91,74.9,369,57.15,73.29,41.87,4.58,31.43,-11.64,74.27,49.27,57.11,48.33,Oct2020_1_a3,Oct2020_1_I
ccost_S20_INT_4,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,9.2,Low-SNR;,recorded in public space; music playing in background,,,,none,,,156.01,95.95,436,56.6,67.66,42.92,4.07,24.74,-13.3,72.46,47.46,56.09,46.9,Oct2020_1_a4,Oct2020_1_I
ccost_S20_INT_5,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,8.6,Low-SNR;,recorded in public space; music playing in background,,,,none,,,152.94,104.67,493,57.5,74.39,44.3,4.49,30.09,-12.19,75.33,50.33,57.68,49.07,Oct2020_1_a5,Oct2020_1_I
ccost_S20_INT_6,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,7.34,Low-SNR;,recorded in public space; music playing in background,,,,none,,,165.77,89.03,456,56.56,71.53,44.26,4.11,27.27,-14.44,76.87,51.87,57.26,49.91,Oct2020_1_a6_1,Oct2020_1_I
ccost_S20_INT_7,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,8.58,Low-SNR;,recorded in public space; music playing in background,,,,none,,,159.89,91.4,465,57.77,69.45,46.09,3.99,23.36,-12.86,74.85,49.85,57.66,49.08,Oct2020_1_a6_2,Oct2020_1_I
ccost_S20_INT_8,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,9.31,Low-SNR;,recorded in public space; music playing in background,,,,none,,,143.01,82.74,374,57.67,71.15,45.22,4.65,25.93,-12,73.34,48.34,57.14,47.83,Oct2020_1_a6_3,Oct2020_1_I
ccost_S20_WL_2,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,12.87,Clipping;,recorded in public space; music playing in background,A,A,,none,,,129.76,38.65,107,68.74,91.04,53.12,5.87,37.92,-0.02,92.83,67.83,73.45,60.58,Oct2020_1_b2_clean,Oct2020_1_I
ccost_S20_WL_3,20,Male,1991,Phrae,Northern,NA,29,16,YM,171,F,B,8.55,Low-SNR;Near-Clip;,recorded in public space; music playing in background,A,A,,none,,,111.59,42.84,100,66.87,81.9,53.98,5.19,27.92,-2.58,86.02,61.02,67.8,59.25,Oct2020_1_b3_clean,Oct2020_1_I
