bundle,Speaker,Sex,YOB,BirthPlace,Region,Year_to_BKK,Age,Education,Age_Group,Height,Interviewer_gender,Quality_grade,SNR.dB,Quality_issues,Quality_comment,WL_order,Pace,Pace_comment,Misread,Annotation_comment,Other_comment,TotalDur.s,LabeledDur.s,NumIntervals,MeanIntensity.dB,MaxIntensity.dB,MinIntensity.dB,StdDev.dB,DynamicRange.dB,PeakLevel.dBFS,PeakIntensity.dB,Threshold.dB,AvgSpeech.dB,AvgNoise.dB,old_filename,old_filecode
ccost_S12_WL_34,12,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,150,F,C,8.47,Low-SNR;,static in background interferes with pitch estimator,B,A,,few,,,277.11,110.99,206,57.73,85.61,49.07,3.14,36.54,-4.95,85.66,60.66,63.03,54.56,Jul2020_1_b34_B,Jul2020_1_B
ccost_S12_ST_123,12,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,150,F,C,/,Low-Range;No-Noise-Detected;,static in background interferes with pitch estimator,,A,,few,,,164.03,94.48,300,57.06,68.37,49.32,2.77,19.05,-15.19,71.83,46.83,56.6,36.83,Jul2020_1_c123_B,Jul2020_1_B
ccost_S13_INT_1,13,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,163,F,C,40.74,None,static in background,,,,few,,,311.26,124.47,443,56.1,66.78,46.72,3.24,20.05,-18.1,70.16,45.16,55.64,14.9,Jul2020_2_a_B_1,Jul2020_2_B
ccost_S13_INT_2,13,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,163,F,C,/,No-Noise-Detected;,static in background,,,,few,,,341.64,196.67,711,55.97,67.32,44.37,3.51,22.95,-17.48,67.77,42.77,55.24,32.77,Jul2020_2_a_B_2,Jul2020_2_B
ccost_S13_INT_3,13,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,163,F,C,11.06,None,static in background,,,,few,,,321.13,185.14,768,56.51,68.24,45.76,3.87,22.49,-17.61,68.98,43.98,55.86,44.8,Jul2020_2_a_B_3,Jul2020_2_B
ccost_S13_WL_12,13,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,163,F,C,39.04,None,static in background interferes with pitch estimator,B,A,,few,,,331.61,116.83,206,55.78,66.82,11.33,3.42,55.49,-18.19,67.88,42.88,55.32,16.28,Jul2020_2_b12_B,Jul2020_2_B
ccost_S13_WL_34,13,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,163,F,C,36.85,Low-Range;,static in background interferes with pitch estimator,B,A,,few,,,286.54,116.28,206,55.84,63.48,46.67,2.61,16.81,-15.21,70.52,45.52,55.34,18.5,Jul2020_2_b34_B,Jul2020_2_B
ccost_S13_ST_123,13,Female,1999,Bangkok,Greater BKK,NA,21,15,YF,163,F,C,/,Low-Range;No-Noise-Detected;,static in background interferes with pitch estimator,,A,,few,,,139.86,92.8,300,56.45,65.68,47.81,3.47,17.87,-19.52,66.33,41.33,55.92,31.33,Jul2020_2_c123_B,Jul2020_2_B
ccost_S14_INT_1,14,Female,1997,Phrae,Northern,NA,23,16,YF,164,F,B,17.48,Weak-Signal;,low volume,,,,few,,,300.28,101.71,352,44.97,63.55,21.88,7.74,41.67,-24.67,63.55,38.55,47.68,30.2,Jul2020_3_a1_B,Jul2020_3_B
ccost_S14_INT_2,14,Female,1997,Phrae,Northern,NA,23,16,YF,164,F,B,14.95,Weak-Signal;,low volume,,,,few,,,412.43,148.3,512,44.91,68.44,21.92,7.42,46.53,-13.19,75.33,50.33,53.7,38.75,Jul2020_3_a2_B,Jul2020_3_B
ccost_S14_INT_3,14,Female,1997,Phrae,Northern,NA,23,16,YF,164,F,B,16.19,None,low volume,,,,few,,,218.43,67.68,242,45.45,61.47,23.32,7.12,38.14,-23.91,64.35,39.35,47.98,31.79,Jul2020_3_a3_B,Jul2020_3_B
ccost_S14_WL_12,14,Female,1997,Phrae,Northern,NA,23,16,YF,164,F,B,16.47,None,low volume but does not affect pitch estimator;,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,188.88,112.79,206,49.41,66.28,23.79,7.54,42.49,-19.84,67.5,42.5,51.47,35,Jul2020_3_b12_B,Jul2020_3_B
ccost_S14_WL_34,14,Female,1997,Phrae,Northern,NA,23,16,YF,164,F,B,13.96,None,low volume but does not affect pitch estimator;,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,188.91,110.08,206,48.56,67.86,26.45,6.53,41.42,-20.76,67.95,42.95,50.51,36.55,Jul2020_3_b34_B,Jul2020_3_B
ccost_S14_ST_123,14,Female,1997,Phrae,Northern,NA,23,16,YF,164,F,B,15.05,None,low volume but does not affect pitch estimator;,,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,144.18,116.41,300,48.32,63.26,26.82,7.19,36.45,-23.76,63.95,38.95,49.16,34.11,Jul2020_3_c123_B,Jul2020_3_B
ccost_S15_INT_1,15,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,B,15.46,None,low volume,,,,few,,,267.14,61.42,261,45.76,71.11,26.96,7.56,44.16,-11.54,81.34,56.34,60.87,45.42,Jul2020_4_a1_B,Jul2020_4_B
ccost_S15_INT_2,15,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,B,13.58,Weak-Signal;,low volume,,,,few,,,169.3,55.77,208,44.71,60.74,27.25,7,33.49,-23.29,60.74,35.74,46.38,32.81,Jul2020_4_a2_B,Jul2020_4_B
ccost_S15_INT_3,15,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,B,17.61,Weak-Signal;,low volume,,,,few,,,305.26,144.46,582,44.76,64.23,18.59,7.99,45.64,-18,64.26,39.26,48.01,30.4,Jul2020_4_a3_B,Jul2020_4_B
ccost_S15_INT_4,15,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,B,17.4,None,low volume,,,,few,,,304.81,142,590,46.3,66.86,18.25,8.28,48.61,-19.2,69.16,44.16,50.94,33.54,Jul2020_4_a4_B,Jul2020_4_B
ccost_S15_WL_12,15,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,B,18.58,Weak-Signal;,low volume but does not affect pitch estimator;,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,252.83,137.89,206,44.51,63.54,20.99,10.02,42.55,-20.36,64.3,39.3,50.54,31.97,Jul2020_4_b12_B,Jul2020_4_B
ccost_S15_WL_34,15,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,B,14.56,None,low volume but does not affect pitch estimator;,B,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,190.33,117.68,206,47.17,67.57,30.46,8.16,37.11,-16.26,68.07,43.07,51.74,37.18,Jul2020_4_b34_B,Jul2020_4_B
ccost_S15_ST_123,15,Male,1998,Bangkok,Greater BKK,NA,22,16,YM,169,F,B,12.26,None,low volume but does not affect pitch estimator;,,A,,few, corrector did not insert <p:> between words IF the preceding word ended with a stop OR if the following word began with a voiceless stop,,134.1,85.2,300,49.37,62.58,32.75,6.35,29.84,-20.92,64,39,49.75,37.49,Jul2020_4_c123_B,Jul2020_4_B
